ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778410438,17,11345,55,24.45,0,3.11
1778410439,35,11345,55,22.52,0,3.11
1778410441,7,1199,56,30.50,0,3.11
1778410442,52,11341,57,48.56,0,3.11
1778410444,3,11341,57,52.78,0,2.94
1778410445,26,11345,59,86.37,0,2.94
1778410446,22,11345,58,64.39,0,2.94
1778410448,30,11345,57,44.03,0,2.79
1778410449,41,11345,57,44.32,0,2.79
1778410451,33,11345,57,43.75,0,2.79
1778410452,32,11345,58,43.83,0,2.79
1778410454,43,11345,57,43.61,0,2.72
1778410455,30,11345,57,43.45,0,2.72
1778410456,43,11345,57,43.87,0,2.72
1778410458,33,11345,57,43.00,0,2.75
1778410459,30,11345,58,43.26,0,2.75
1778410461,43,11345,57,43.28,0,2.75
1778410462,34,11345,57,43.01,0,2.75
1778410464,31,11345,57,43.33,0,2.60
1778410465,38,11345,58,43.47,0,2.60
1778410467,7,11345,56,36.47,0,2.60
