ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778410470,15,11345,56,24.85,0,2.56
1778410471,29,11345,56,24.30,0,2.56
1778410473,7,6383,57,31.81,0,2.59
1778410474,56,11341,58,57.24,0,2.59
1778410476,21,11345,61,86.06,0,2.59
1778410477,22,11345,60,78.76,0,2.59
1778410479,23,11345,59,60.34,0,2.46
1778410480,32,11345,58,44.83,0,2.46
1778410481,42,11345,58,44.64,0,2.46
1778410483,42,11345,58,44.38,0,2.35
1778410484,30,11345,58,43.67,0,2.35
1778410486,39,11345,58,44.06,0,2.35
1778410487,31,11345,58,43.35,0,2.35
1778410489,43,11345,58,43.66,0,2.40
1778410490,32,11345,58,43.27,0,2.40
1778410492,44,11345,58,43.44,0,2.40
1778410493,43,11345,58,43.01,0,2.37
1778410494,43,11345,58,43.01,0,2.37
1778410496,44,11345,58,43.00,0,2.37
1778410497,35,11345,58,43.31,0,2.37
1778410499,34,11345,58,43.05,0,2.42
1778410500,32,11345,58,42.66,0,2.42
1778410502,39,11345,58,42.59,0,2.42
1778410503,35,11345,59,42.29,0,2.30
1778410505,44,11345,58,43.16,0,2.30
1778410506,43,11345,58,43.22,0,2.30
1778410507,44,11345,58,43.09,0,2.30
1778410509,42,11345,58,42.94,0,2.28
1778410510,42,11345,58,42.90,0,2.28
1778410512,44,11345,59,42.72,0,2.28
1778410513,32,11345,59,43.26,0,2.26
1778410515,44,11345,58,43.21,0,2.26
1778410516,41,11345,59,42.81,0,2.26
1778410517,33,11345,59,42.77,0,2.26
1778410519,45,11345,58,43.01,0,2.16
1778410520,45,11345,59,43.03,0,2.16
1778410522,32,11345,58,42.59,0,2.16
1778410523,45,11345,59,43.16,0,2.06
