ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778410528,17,11345,57,24.68,0,2.06
1778410529,36,11345,57,22.77,0,2.06
1778410530,6,1199,58,30.49,0,2.06
1778410532,50,11341,59,56.25,0,2.06
1778410533,20,11345,62,86.07,0,1.97
1778410535,22,11345,61,78.38,30,1.97
1778410536,23,11345,59,64.67,30,1.97
1778410538,35,11345,58,50.29,30,1.97
1778410539,40,11345,58,45.44,30,2.05
1778410540,33,11345,57,45.02,30,2.05
1778410542,42,11345,57,44.28,30,2.05
1778410543,34,11345,56,43.98,30,1.97
1778410545,30,11345,55,43.51,30,1.97
1778410546,39,11345,56,42.96,30,1.97
1778410548,40,11345,54,42.95,30,1.97
1778410549,44,11345,54,42.80,30,1.89
1778410550,43,11345,54,42.28,30,1.89
1778410552,37,11345,54,42.17,30,1.89
1778410553,32,11345,53,41.94,30,1.98
1778410555,34,11345,52,41.83,30,1.98
1778410556,41,11345,52,41.48,30,1.98
1778410558,34,11345,51,40.93,30,1.98
1778410559,37,11345,51,41.32,30,1.90
1778410561,45,11345,50,41.44,30,1.90
1778410562,44,11345,50,41.33,30,1.90
1778410563,37,11345,50,40.57,30,1.91
1778410565,31,11345,50,41.06,30,1.91
1778410566,40,11345,50,41.08,30,1.91
1778410568,38,11345,49,40.33,30,1.91
1778410569,33,11345,49,40.61,30,1.84
1778410571,39,11345,49,40.65,30,1.84
1778410572,35,11345,48,40.38,30,1.84
1778410574,37,11345,48,40.49,30,2.01
1778410575,38,11345,48,40.30,30,2.01
1778410576,39,11345,48,40.32,30,2.01
1778410578,45,11345,47,40.48,30,2.01
1778410579,36,11345,47,40.11,30,2.01
1778410581,32,11345,46,40.11,30,2.01
1778410582,36,11345,47,40.01,30,2.01
1778410584,46,11345,46,40.20,30,2.01
1778410585,41,11345,46,39.93,0,2.01
1778410587,46,11345,45,39.52,0,2.01
1778410588,32,11345,46,39.26,0,2.01
1778410589,39,11345,47,39.80,0,1.93
1778410591,46,11345,46,39.56,0,1.93
1778410592,40,11345,46,39.34,0,1.93
1778410594,33,11345,46,39.34,0,1.85
1778410595,37,11345,47,39.40,0,1.85
1778410597,38,11345,46,39.22,0,1.85
1778410598,39,11345,47,39.51,0,1.85
1778410600,43,11345,47,40.03,0,1.86
1778410601,34,11345,47,39.62,0,1.86
1778410602,45,11345,47,40.05,0,1.86
1778410604,33,11345,47,39.48,0,1.79
1778410605,45,11345,47,40.13,0,1.79
1778410607,9,11345,46,22.56,0,1.79
