ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778410611,22,11345,46,22.00,0,1.73
1778410612,33,11345,46,17.23,0,1.73
1778410614,7,3567,47,30.12,0,1.67
1778410615,52,11343,49,54.89,0,1.67
1778410617,28,11347,52,89.43,0,1.67
1778410618,22,11347,50,74.98,0,1.70
1778410620,32,11347,49,52.06,0,1.70
1778410621,39,11347,49,42.08,0,1.70
1778410623,32,11347,49,41.43,0,1.70
1778410624,40,11347,49,41.82,0,1.64
1778410626,41,11347,49,41.80,0,1.64
1778410627,36,11347,50,41.10,0,1.64
1778410628,31,11347,49,41.04,0,1.99
1778410630,38,11347,49,41.25,0,1.99
1778410631,40,11347,49,41.27,0,1.99
1778410633,44,11347,49,40.71,0,1.99
1778410634,43,11347,49,40.88,0,1.99
1778410636,42,11347,49,41.30,0,1.99
1778410637,42,11347,49,40.71,0,1.99
1778410639,42,11347,49,40.37,0,1.99
1778410640,36,11347,50,40.64,0,1.99
1778410642,33,11347,50,40.52,0,1.99
1778410643,32,11347,50,40.42,0,1.99
1778410644,35,11347,50,40.98,0,1.91
1778410646,41,11347,51,40.72,0,1.91
1778410647,45,11347,50,40.87,0,1.91
1778410649,45,11347,50,40.97,0,1.84
1778410650,41,11347,50,40.50,0,1.84
1778410652,32,11347,50,40.62,0,1.84
1778410653,32,11347,50,40.40,0,1.84
1778410655,35,11347,51,40.84,0,1.77
1778410656,39,11347,51,41.08,0,1.77
1778410657,44,11347,50,41.19,0,1.77
1778410659,40,11347,50,40.87,0,1.87
1778410660,34,11347,51,40.65,0,1.87
1778410662,45,11347,50,40.89,0,1.87
1778410663,43,11347,51,41.03,0,1.87
1778410665,33,11347,51,41.04,0,1.80
1778410666,40,11347,51,41.31,0,1.80
1778410668,44,11347,52,41.15,0,1.80
1778410669,36,11347,52,40.56,0,1.89
1778410671,44,11347,51,40.90,0,1.89
1778410672,34,11347,52,40.30,0,1.89
1778410673,32,11347,51,40.79,0,2.06
1778410675,33,11347,51,40.18,0,2.06
1778410676,41,11347,51,40.94,0,2.06
1778410678,38,11347,52,40.73,0,2.06
1778410679,46,11347,52,41.23,0,2.06
1778410681,39,11347,52,40.85,0,2.06
1778410683,44,11347,52,41.22,0,2.06
1778410684,33,11347,52,40.57,0,1.97
1778410685,39,11347,52,41.57,0,1.97
1778410687,33,11347,52,41.04,0,1.97
1778410688,7,11347,51,27.53,0,1.97
