ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778410693,23,11347,51,22.82,0,1.97
1778410694,35,11347,51,18.09,0,2.38
1778410695,8,1199,51,29.67,0,2.38
1778410697,50,11341,53,55.50,0,2.38
1778410698,3,11341,53,50.76,0,2.38
1778410700,24,11345,55,85.33,0,2.27
1778410701,23,11345,53,63.46,0,2.27
1778410702,40,11345,53,47.93,0,2.27
1778410704,30,11345,53,42.83,0,2.41
1778410705,36,11345,53,42.95,0,2.41
1778410707,43,11345,53,42.75,0,2.41
1778410708,34,11345,54,42.15,0,2.41
1778410710,41,11345,53,41.93,0,2.29
1778410711,31,11345,53,42.17,0,2.29
1778410713,34,11345,53,42.07,0,2.29
1778410714,31,11345,53,41.93,0,2.19
1778410715,43,11345,54,42.36,0,2.19
1778410717,41,11345,53,42.28,0,2.19
1778410718,39,11345,53,41.91,0,2.19
1778410720,34,11345,53,41.85,0,2.17
1778410721,33,11345,53,41.99,0,2.17
1778410723,36,11345,53,42.08,0,2.17
1778410724,35,11345,54,41.87,0,2.16
1778410726,37,11345,54,41.68,0,2.16
1778410727,37,11345,54,41.67,0,2.16
1778410728,33,11345,54,41.54,0,2.16
1778410730,32,11345,54,41.83,0,2.23
1778410731,32,11345,54,41.82,0,2.23
1778410733,34,11345,53,41.98,0,2.23
1778410734,44,11345,54,42.15,0,2.21
1778410736,34,11345,54,41.99,0,2.21
1778410737,32,11345,54,42.30,0,2.21
1778410739,43,11345,54,42.05,0,2.75
1778410740,32,11345,54,41.37,0,2.75
1778410741,35,11345,54,42.05,0,2.75
1778410743,38,11345,54,41.96,0,2.75
1778410744,43,11345,54,42.12,0,2.69
1778410746,33,11345,54,41.26,0,2.69
1778410747,42,11345,54,41.87,0,2.69
1778410749,33,11345,55,41.37,0,2.56
1778410750,35,11345,54,42.00,0,2.56
1778410752,47,11345,55,41.88,0,2.56
1778410753,39,11345,55,41.69,0,2.56
1778410755,45,11345,54,41.86,0,2.51
