ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778410770,25,7053,53,22.25,30,2.56
1778410771,26,982,52,17.33,30,2.56
1778410772,4,5567,52,35.26,30,2.56
1778410774,96,7053,62,73.37,31,2.43
1778410775,94,7053,65,209.01,31,2.43
1778410777,3,7053,56,175.98,31,2.43
1778410778,3,7053,53,48.86,32,2.43
1778410779,10,982,51,28.33,32,2.96
1778410781,3,5567,51,35.04,32,2.96
1778410782,100,7175,63,57.89,32,2.96
1778410784,95,7181,63,205.04,31,2.96
1778410785,94,7181,64,208.80,31,2.80
