ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778410925,12,11247,43,22.44,30,2.66
1778410927,16,982,43,22.25,30,2.66
1778410928,4,8537,43,33.94,30,2.66
1778410929,25,8537,44,49.18,30,2.53
1778410931,56,11247,52,121.91,30,2.53
1778410932,63,11247,50,131.43,30,2.53
1778410934,62,11247,50,130.79,30,2.53
1778410935,56,11247,49,130.62,30,2.72
1778410937,50,11247,52,131.23,30,2.72
1778410938,55,11247,53,130.56,30,2.72
1778410939,63,11247,51,131.13,30,2.75
1778410941,62,11247,50,131.96,30,2.75
1778410942,60,11247,50,133.47,30,2.75
1778410944,55,11247,52,131.53,30,2.75
1778410945,59,11247,51,133.26,30,2.77
1778410947,49,11247,52,131.87,30,2.77
1778410948,56,11247,51,131.11,30,2.77
1778410949,3,11247,48,115.22,30,2.86
