ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778410953,14,11247,44,22.57,30,2.86
1778410955,19,982,44,22.55,30,2.71
1778410956,4,8537,44,34.40,30,2.71
1778410957,25,8537,45,49.00,30,2.71
1778410959,59,11247,52,99.14,30,2.71
1778410960,63,11247,51,132.03,30,2.66
1778410962,59,11247,50,131.20,30,2.66
1778410963,59,11247,50,131.76,30,2.66
1778410965,51,11247,52,131.40,30,2.84
1778410966,52,11247,50,129.71,30,2.84
1778410967,50,11247,52,130.52,30,2.84
1778410969,52,11247,53,130.24,30,2.84
1778410970,56,11247,51,131.84,30,3.02
1778410972,63,11247,51,131.57,30,3.02
1778410973,65,11247,52,133.10,30,3.02
1778410975,63,11247,52,132.55,30,2.85
1778410976,4,982,47,94.10,30,2.85
1778410977,97,8205,46,44.67,30,2.85
1778410979,28,8205,46,49.30,30,2.85
1778410980,98,11163,61,151.44,30,2.87
1778410982,51,11163,53,116.83,30,2.87
1778410983,52,11163,53,117.23,30,2.87
1778410985,50,11163,52,118.54,30,2.72
1778410986,51,11163,53,118.64,30,2.72
1778410987,51,11163,52,117.71,30,2.72
1778410989,51,11163,52,118.32,30,2.72
1778410990,52,11163,52,118.01,30,3.38
1778410992,52,11163,53,117.91,30,3.38
1778410993,42,11163,51,117.23,30,3.38
1778410995,51,11163,54,117.23,30,3.75
1778410996,46,11163,52,117.40,30,3.75
1778410998,42,11163,51,118.38,30,3.75
1778410999,48,11163,54,117.19,30,3.75
1778411001,42,11163,51,117.48,30,3.61
