ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778411004,10,11163,45,22.49,30,3.48
1778411006,8,982,45,23.62,30,3.48
1778411007,22,8537,45,36.61,30,3.48
1778411009,8,10073,45,49.02,30,3.48
1778411010,53,11247,50,114.98,30,3.28
1778411012,55,11247,50,130.11,30,3.28
1778411013,49,11247,53,131.21,30,3.28
1778411014,53,11247,54,130.98,30,3.28
1778411016,57,11247,54,131.65,30,3.90
1778411017,63,11247,51,132.56,30,3.90
1778411019,52,11247,53,132.22,30,3.90
1778411020,54,11247,55,132.02,30,3.75
1778411022,55,11247,55,131.65,30,3.75
