ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778411026,11,11247,44,22.79,30,3.85
1778411027,4,982,44,25.42,30,3.85
1778411029,26,8537,45,39.00,30,3.85
1778411030,26,10229,45,48.99,30,3.62
1778411032,48,11247,50,124.16,30,3.62
1778411033,49,11247,50,129.34,30,3.62
1778411034,51,11247,51,129.42,30,3.41
1778411036,59,11247,50,130.65,30,3.41
1778411037,60,11247,53,131.57,30,3.41
1778411039,53,11247,54,132.40,30,3.41
1778411040,52,11247,54,131.96,30,3.22
1778411042,57,11247,54,131.40,30,3.22
1778411043,49,11247,52,131.83,30,3.22
1778411044,51,11247,53,132.11,30,3.22
1778411046,4,982,47,86.18,30,3.76
1778411047,97,8205,46,43.62,30,3.76
1778411049,29,8205,46,49.29,30,3.76
1778411050,94,11119,52,73.16,30,3.54
1778411052,50,11119,50,118.42,30,3.54
1778411053,52,11119,52,118.91,30,3.54
1778411055,46,11119,53,118.78,30,3.41
1778411056,43,11119,51,117.21,30,3.41
1778411058,50,11119,51,118.10,30,3.41
1778411059,52,11119,50,118.02,30,3.41
1778411061,52,11119,53,119.65,30,3.30
1778411062,48,11119,54,119.36,30,3.30
1778411063,42,11119,54,119.80,30,3.30
1778411065,50,11119,53,118.31,30,3.20
1778411066,51,11119,50,117.91,30,3.20
1778411068,16,11119,50,115.10,30,3.20
