ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778411072,11,11119,45,22.78,30,3.10
1778411073,19,982,44,22.45,30,3.10
1778411074,97,8537,45,35.14,30,3.10
1778411076,26,8537,45,49.14,30,3.01
1778411077,59,11247,52,140.45,30,3.01
1778411079,52,11247,52,130.43,30,3.01
1778411080,53,11247,51,130.60,30,3.09
1778411082,53,11247,51,130.95,30,3.09
1778411083,64,11247,52,132.45,30,3.09
1778411084,53,11247,54,131.71,30,3.09
1778411086,49,11247,52,131.70,30,2.92
1778411087,55,11247,52,131.27,30,2.92
1778411089,53,11247,52,130.48,30,2.92
1778411090,57,11247,52,132.03,30,3.01
1778411092,55,11247,52,131.41,30,3.01
1778411093,4,11247,49,116.22,30,3.01
