ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778411097,13,11247,45,22.64,30,3.09
1778411098,16,11247,44,22.52,30,3.09
1778411100,14,1131,44,26.33,30,3.09
1778411101,11,8245,45,41.26,30,3.08
1778411102,12,8245,44,45.22,30,3.08
1778411104,12,8245,44,34.18,30,3.08
1778411105,3,8245,44,33.97,30,3.23
1778411107,3,10489,43,34.50,30,3.23
1778411108,7,10489,43,22.99,30,3.23
1778411109,23,10489,42,18.24,30,3.23
1778411111,26,10489,42,15.56,30,3.29
1778411112,25,10489,42,14.57,0,3.29
1778411114,58,10535,50,66.23,0,3.29
1778411115,48,10535,50,117.23,0,3.11
1778411116,49,10535,48,116.53,0,3.11
1778411118,41,10535,50,117.10,0,3.11
1778411119,51,10535,51,117.55,0,3.11
1778411121,41,10535,51,117.90,0,3.74
1778411122,40,10535,54,119.27,0,3.74
1778411123,48,10535,50,117.38,0,3.74
1778411125,41,10535,54,119.58,0,3.52
1778411126,51,10535,52,118.71,0,3.52
1778411128,41,10535,53,118.61,0,3.52
1778411129,51,10535,54,119.81,0,3.52
1778411131,41,10535,53,118.94,0,3.32
1778411132,47,10535,53,119.79,30,3.32
1778411134,49,10535,54,121.07,30,3.32
1778411135,41,10535,54,120.03,30,3.13
1778411137,3,10716,51,108.87,30,3.13
1778411138,45,8245,49,48.31,30,3.13
1778411139,26,8245,49,50.08,30,3.13
1778411141,100,10689,61,93.20,30,3.04
1778411142,44,10705,52,117.34,30,3.04
1778411144,52,10705,52,119.27,30,3.04
1778411145,51,10705,54,119.90,30,2.96
1778411147,43,10705,56,120.07,30,2.96
1778411148,47,10705,56,118.88,30,2.96
1778411149,48,10705,56,118.46,30,2.96
1778411151,41,10705,52,119.45,30,2.88
1778411153,44,10705,53,118.78,30,2.88
1778411154,41,10705,52,118.42,30,2.88
1778411156,4,966,49,47.58,30,2.81
1778411157,25,8051,48,49.26,30,2.81
1778411159,8,10469,47,46.68,30,2.81
1778411160,39,10471,55,155.96,30,2.83
1778411161,40,10471,51,110.10,30,2.83
1778411163,40,10471,53,113.17,30,2.83
1778411164,42,10471,54,111.83,30,2.83
1778411166,40,10471,51,110.91,30,2.68
1778411167,40,10471,55,112.83,30,2.68
1778411169,43,10471,52,111.34,30,2.68
1778411170,41,10471,53,111.62,30,2.62
1778411172,40,10471,51,111.22,30,2.62
1778411173,42,10471,53,112.46,30,2.62
1778411175,40,10471,54,111.76,30,2.62
1778411176,9,1147,48,50.67,30,3.29
1778411177,25,8051,47,42.93,30,3.29
1778411179,99,10577,57,51.91,30,3.29
1778411180,40,10579,51,138.38,30,3.19
1778411182,39,10579,52,111.12,30,3.19
1778411183,40,10579,53,108.76,30,3.19
1778411185,40,10579,55,110.94,30,3.19
1778411186,40,10579,54,109.46,30,3.02
1778411188,40,10579,54,109.12,30,3.02
1778411189,42,10579,54,109.60,30,3.02
1778411191,42,10579,54,110.13,30,3.01
1778411192,41,10579,54,109.66,30,3.01
1778411193,39,10579,54,109.74,30,3.01
1778411195,39,10579,53,108.93,30,3.01
