ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778411199,9,10579,45,23.05,30,2.85
1778411200,5,975,45,24.45,30,2.78
1778411202,26,8261,46,39.38,30,2.78
1778411203,47,10549,45,49.14,30,2.78
1778411205,51,10551,52,112.66,30,2.78
1778411206,45,10551,51,117.48,30,2.80
1778411208,41,10551,50,118.82,30,2.80
1778411209,40,10551,51,119.05,30,2.80
1778411210,52,10551,54,117.39,30,2.74
1778411212,41,10551,50,116.73,30,2.74
1778411213,41,10551,51,118.99,30,2.74
1778411215,49,10551,54,118.58,30,2.74
1778411216,41,10551,51,118.03,30,2.60
1778411218,47,10551,53,119.17,30,2.60
1778411219,41,10551,51,116.67,30,2.60
1778411221,46,10551,51,116.84,30,2.47
1778411222,7,1143,47,61.67,30,2.47
1778411224,26,8261,47,49.89,30,2.47
1778411225,100,10639,54,67.51,30,2.47
1778411226,49,10641,54,116.79,30,2.35
1778411228,41,10641,51,118.28,30,2.35
1778411229,47,10641,53,116.42,30,2.35
1778411231,41,10641,51,117.75,30,2.32
1778411232,41,10641,50,117.41,30,2.32
1778411233,48,10641,51,117.45,30,2.32
1778411235,48,10641,54,120.18,30,2.32
1778411236,40,10641,51,118.03,30,2.30
1778411238,41,10641,51,117.64,30,2.30
1778411239,47,10641,53,117.89,30,2.30
1778411241,3,966,49,111.94,30,2.35
1778411242,36,8051,47,47.69,30,2.35
1778411244,25,8051,47,49.22,30,2.35
1778411245,100,10469,60,123.53,30,2.35
1778411246,40,10469,50,111.24,30,2.40
1778411248,40,10469,50,112.10,30,2.40
1778411249,40,10469,51,113.10,30,2.40
1778411251,43,10469,52,110.43,30,2.37
1778411252,40,10469,50,109.37,30,2.37
1778411254,40,10469,54,111.24,30,2.37
1778411255,43,10469,53,111.19,30,2.37
1778411256,40,10469,50,111.32,30,2.34
1778411258,41,10469,50,109.88,30,2.34
1778411259,40,10469,54,111.74,30,2.34
1778411261,40,10469,50,110.28,30,2.23
1778411262,7,1403,47,47.47,30,2.23
1778411264,25,8051,46,42.66,30,2.23
1778411265,4,10577,48,35.05,30,2.23
1778411266,40,10577,50,142.41,30,2.38
1778411268,41,10577,50,110.74,30,2.38
1778411269,40,10577,50,110.14,30,2.38
1778411271,40,10577,52,109.99,30,2.26
1778411272,41,10577,51,110.42,30,2.26
1778411274,40,10577,51,110.11,30,2.26
1778411275,41,10577,50,111.28,30,2.32
1778411277,41,10577,53,110.54,30,2.32
1778411278,40,10577,54,110.87,30,2.32
1778411279,40,10577,52,111.26,30,2.32
1778411281,38,10577,51,108.74,30,2.22
1778411282,4,10577,48,92.97,30,2.22
