ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778411287,12,10577,44,22.41,30,2.28
1778411288,4,966,44,25.85,30,2.28
1778411290,24,8261,45,40.50,30,2.28
1778411291,24,10549,45,48.90,30,2.26
1778411293,51,10549,48,119.51,30,2.26
1778411294,42,10549,49,116.61,30,2.26
1778411295,48,10549,52,118.31,30,2.16
1778411297,46,10549,49,116.30,30,2.16
1778411298,44,10549,50,117.96,30,2.16
1778411300,40,10549,51,118.40,30,2.16
1778411301,53,10549,51,117.88,30,2.14
1778411303,41,10549,50,117.14,30,2.14
1778411304,49,10549,51,117.31,30,2.14
1778411305,41,10549,51,118.20,30,2.05
1778411307,51,10549,52,117.94,30,2.05
1778411308,41,10549,51,117.10,30,2.05
1778411310,40,10549,53,119.85,30,2.05
1778411311,45,10549,50,116.59,30,2.05
1778411313,46,10549,53,119.41,30,2.05
1778411314,4,966,47,77.43,30,2.05
1778411315,25,8261,47,49.31,30,1.96
1778411317,5,10705,45,46.87,30,1.96
1778411318,42,10705,54,127.75,30,1.96
1778411320,48,10705,53,116.02,30,1.96
1778411321,41,10705,54,116.05,30,1.89
1778411323,41,10705,53,115.96,30,1.89
1778411324,42,10705,51,115.41,30,1.89
1778411326,48,10705,50,116.18,30,1.89
1778411327,43,10705,50,115.85,30,1.89
1778411328,42,10705,51,115.68,30,1.89
1778411330,11,8129,48,95.55,30,1.89
1778411331,21,8261,47,48.56,30,1.82
1778411333,25,8261,46,48.64,30,1.82
1778411334,100,10641,59,90.54,30,1.82
1778411336,47,10641,50,115.31,30,1.76
1778411337,41,10641,54,117.79,30,1.76
1778411338,51,10641,52,116.60,30,1.76
1778411340,41,10641,54,117.03,30,1.76
1778411341,41,10641,51,115.14,30,1.70
1778411343,43,10641,50,115.46,30,1.70
1778411344,44,10641,50,115.47,30,1.70
1778411346,50,10641,51,116.70,30,1.64
1778411347,51,10641,52,116.48,30,1.64
1778411349,45,10641,50,115.47,30,1.64
1778411350,52,10641,52,117.71,30,1.64
1778411352,45,10641,51,115.16,30,1.67
1778411353,47,10641,51,116.17,30,1.67
1778411355,51,10641,51,107.80,30,1.67
1778411356,49,10641,53,116.61,30,1.61
1778411357,41,10641,53,116.36,30,1.61
1778411359,50,10641,52,116.64,30,1.61
1778411360,44,10641,54,117.25,30,1.61
1778411362,41,10641,55,116.07,30,1.57
1778411363,44,10641,54,116.42,30,1.57
1778411365,45,10641,55,116.55,30,1.57
1778411366,41,10641,55,117.14,30,1.52
1778411367,41,10641,52,116.19,30,1.52
1778411369,50,10641,52,116.77,30,1.52
1778411370,49,10641,54,117.72,30,1.48
1778411372,41,10641,52,115.59,30,1.48
