ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778411377,12,10641,45,22.65,30,1.52
1778411378,5,966,45,24.32,30,1.52
1778411379,25,8261,46,39.28,30,1.52
1778411381,50,10549,46,49.05,30,1.56
1778411382,52,10548,52,113.58,30,1.56
1778411384,45,10548,50,116.78,30,1.56
1778411385,49,10548,50,117.54,30,1.56
1778411387,41,10548,51,117.13,30,1.51
1778411388,42,10548,54,118.65,30,1.51
1778411389,47,10548,53,118.98,30,1.51
1778411391,41,10548,51,116.93,30,1.47
1778411392,49,10548,53,118.49,30,1.47
1778411394,49,10548,50,117.93,30,1.47
1778411395,41,10548,54,119.54,30,1.47
1778411397,44,10548,51,117.09,30,1.43
1778411398,43,10548,54,119.84,30,1.43
1778411400,43,10548,51,117.54,30,1.43
1778411401,44,10548,54,119.91,30,1.48
1778411402,41,10548,54,117.48,30,1.48
1778411404,41,10548,51,116.82,30,1.48
1778411405,47,10548,53,117.99,30,1.48
1778411407,29,965,49,117.34,30,1.52
1778411408,3,8260,47,47.44,30,1.52
1778411410,25,8260,47,49.29,30,1.52
1778411411,50,10706,54,130.78,30,1.48
1778411412,47,10706,53,118.58,30,1.48
1778411414,48,10706,55,117.07,30,1.48
1778411415,47,10706,54,117.16,30,1.48
1778411417,41,10706,51,116.38,30,1.44
1778411418,41,10706,51,115.87,30,1.44
1778411420,41,10706,51,116.00,30,1.44
1778411421,41,10706,51,116.23,30,1.40
1778411423,42,10706,51,116.18,30,1.40
1778411424,41,10706,53,116.43,30,1.40
1778411425,49,10706,55,117.34,30,1.40
1778411427,41,10706,52,115.77,30,1.61
1778411428,47,10706,55,116.53,30,1.61
1778411430,45,10706,52,115.69,30,1.61
1778411431,41,10706,52,116.47,30,1.72
1778411433,47,10706,54,116.88,30,1.72
1778411434,41,10706,52,116.43,30,1.72
1778411436,42,10706,51,114.97,30,1.72
1778411437,3,1146,48,47.46,30,1.82
1778411438,27,8050,47,49.41,30,1.82
1778411440,92,10576,60,110.30,30,1.82
1778411441,41,10576,54,109.91,30,1.76
1778411443,40,10576,51,110.11,30,1.76
1778411444,40,10576,51,110.25,30,1.76
1778411446,41,10576,54,112.03,30,1.76
1778411447,40,10576,54,111.79,30,1.78
1778411448,38,10576,53,109.37,30,1.78
1778411450,42,10576,53,111.08,30,1.78
1778411451,41,10576,54,111.44,30,1.71
1778411453,40,10576,53,110.65,30,1.71
1778411454,42,10576,53,110.22,30,1.71
1778411456,40,10576,53,110.43,30,2.14
1778411457,40,10576,54,111.18,30,2.14
1778411459,40,10576,54,110.46,30,2.14
1778411460,39,10576,54,109.22,30,2.14
1778411461,41,10576,51,110.57,30,2.05
1778411463,41,10576,53,111.52,30,2.05
1778411464,42,10576,54,110.95,30,2.05
1778411466,40,10576,51,109.72,30,2.20
1778411467,41,10576,52,111.26,30,2.20
1778411469,28,965,50,108.60,30,2.20
1778411470,77,7862,48,48.25,30,2.20
1778411471,26,7862,46,36.10,30,2.35
1778411473,99,10400,61,113.31,30,2.35
1778411474,40,10402,51,118.76,30,2.35
1778411476,40,10402,54,105.16,30,2.35
1778411477,30,10402,50,104.38,30,2.40
1778411479,40,10402,52,104.49,30,2.40
1778411480,39,10402,52,106.43,30,2.40
1778411482,40,10402,51,104.61,30,2.37
1778411483,38,10402,53,106.23,30,2.37
1778411485,35,10402,50,103.96,30,2.37
1778411486,33,10402,51,103.31,30,2.26
1778411487,40,10402,54,104.42,30,2.26
1778411489,40,10402,51,99.80,30,2.26
1778411490,30,10402,50,103.00,30,2.26
1778411492,40,10402,52,105.03,30,2.24
1778411493,40,10402,52,104.25,30,2.24
1778411495,36,10402,50,104.30,30,2.24
1778411496,30,10402,49,100.13,30,2.22
1778411498,36,10402,50,97.63,30,2.22
1778411499,40,10402,52,87.45,30,2.22
1778411501,41,10402,50,89.72,30,2.22
1778411502,40,10402,51,96.83,30,2.20
1778411503,40,10402,50,98.13,30,2.20
