ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778411508,8,10402,44,22.71,30,2.42
1778411509,15,965,44,23.21,30,2.42
1778411511,26,8260,45,38.01,30,3.11
1778411512,3,10548,45,48.43,30,3.11
1778411514,40,10548,49,111.60,30,3.11
1778411515,53,10548,53,117.99,30,3.11
1778411517,44,10548,49,116.26,30,5.26
1778411518,44,10548,49,118.58,30,5.26
1778411519,41,10548,51,118.79,30,5.26
1778411521,52,10548,53,117.52,30,4.92
1778411522,41,10548,50,117.98,30,4.92
1778411524,41,10548,51,119.40,30,4.92
1778411525,40,10548,50,117.09,30,4.92
1778411527,48,10548,53,116.97,30,4.85
1778411528,40,10548,51,118.81,30,4.85
1778411530,50,10548,54,119.69,30,4.85
1778411531,49,10548,52,119.12,30,4.54
1778411532,41,10548,51,118.60,30,4.54
1778411534,51,10548,53,119.06,30,4.54
1778411535,45,10548,52,117.65,30,4.54
1778411537,41,10548,51,117.63,30,4.74
1778411538,40,10548,50,117.17,30,4.74
1778411540,50,10548,53,119.42,30,4.74
1778411541,41,10548,53,118.76,30,4.52
1778411542,46,10548,51,117.79,30,4.52
1778411544,48,10548,52,118.59,30,4.52
1778411545,42,10548,54,118.87,30,4.52
1778411547,3,965,48,98.83,30,4.55
1778411548,10,8050,47,48.81,30,4.55
1778411549,3,9266,47,49.16,30,4.55
1778411551,40,10468,54,152.19,30,4.55
1778411552,40,10468,54,110.58,30,4.27
1778411554,40,10468,54,110.82,30,4.27
1778411555,43,10468,51,109.63,30,4.27
1778411557,43,10468,52,110.10,30,4.25
1778411558,43,10468,50,108.99,30,4.25
1778411559,40,10468,50,109.04,30,4.25
1778411561,40,10468,52,110.82,30,4.25
1778411562,40,10468,54,110.75,30,4.15
1778411564,39,10468,50,108.39,30,4.15
1778411565,40,10468,52,111.34,30,4.15
1778411567,43,10468,50,108.60,30,3.90
1778411568,42,10468,53,109.22,30,3.90
1778411570,40,10468,51,109.11,30,3.90
1778411571,5,974,48,80.65,30,3.90
1778411572,25,8050,47,48.59,30,3.66
1778411574,56,10576,46,47.54,30,3.66
1778411575,98,10578,58,153.06,30,3.66
1778411577,40,10578,50,109.97,30,3.61
1778411578,41,10578,54,112.32,30,3.61
1778411580,40,10578,52,111.00,30,3.61
1778411581,41,10578,50,110.78,30,3.61
1778411582,41,10578,51,109.90,30,3.48
1778411584,39,10578,50,109.99,30,3.48
1778411586,41,10578,50,110.80,30,3.48
1778411587,41,10578,50,110.35,30,3.28
1778411589,39,10578,51,110.35,30,3.28
1778411590,41,10578,51,110.74,30,3.28
1778411592,40,10578,54,109.93,30,3.18
1778411593,40,10578,50,108.58,30,3.18
1778411594,40,10578,51,110.66,30,3.18
1778411596,3,1146,48,76.21,30,3.18
1778411597,24,7862,47,49.05,30,3.32
1778411599,3,10400,47,48.86,30,3.32
1778411600,91,10402,57,132.72,30,3.32
1778411602,32,10402,53,104.83,30,3.14
1778411603,33,10402,52,99.79,30,3.14
1778411604,33,10402,50,96.07,30,3.14
1778411606,33,10402,48,83.78,30,3.14
1778411607,40,10402,49,83.01,30,3.61
1778411609,40,10402,50,85.53,30,3.61
1778411610,31,10402,50,85.31,30,3.61
1778411612,40,10402,48,82.75,30,3.40
1778411613,33,10402,50,83.31,30,3.40
1778411615,40,10402,48,83.62,30,3.40
1778411616,29,10402,50,85.06,30,3.40
1778411617,41,10402,48,83.13,30,3.21
1778411619,30,10402,49,83.76,30,3.21
1778411620,40,10402,48,86.23,30,3.21
1778411622,40,10402,51,87.64,30,3.11
