ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778411626,8,10402,44,22.22,30,3.11
1778411627,4,965,44,23.23,30,3.50
1778411629,24,8260,45,38.35,30,3.50
1778411630,3,8260,45,48.24,30,3.50
1778411632,41,10548,52,127.36,30,3.54
1778411633,51,10548,48,116.39,30,3.54
1778411635,40,10548,49,117.42,30,3.54
1778411636,49,10548,51,117.66,30,3.54
1778411637,50,10548,49,117.05,30,3.58
1778411639,52,10548,49,117.77,30,3.58
1778411640,41,10548,50,116.61,30,3.58
1778411642,41,10548,50,118.37,30,3.37
1778411643,51,10548,51,117.62,30,3.37
1778411645,41,10548,51,116.79,30,3.37
1778411646,48,10548,50,116.80,30,3.37
1778411648,47,10548,53,119.43,30,3.42
1778411649,42,10548,54,117.55,30,3.42
1778411651,10,965,47,64.50,30,3.42
1778411652,25,8260,46,49.48,30,3.23
1778411653,100,10638,53,59.60,30,3.23
1778411655,49,10640,52,114.56,30,3.23
1778411656,40,10640,53,117.48,30,3.37
1778411658,40,10640,51,116.01,30,3.37
1778411659,50,10640,51,118.29,30,3.37
1778411661,44,10640,53,119.04,30,3.37
1778411662,41,10640,51,118.68,30,3.18
1778411663,42,10640,50,118.05,30,3.18
1778411665,46,10640,51,116.93,30,3.18
1778411666,48,10640,52,117.72,30,3.08
1778411668,49,10640,54,117.63,30,3.08
1778411669,47,10640,53,117.71,30,3.08
1778411671,42,10640,50,117.94,30,3.08
1778411672,3,965,48,111.18,30,3.00
1778411673,95,8050,47,48.38,30,3.00
1778411675,21,8050,46,49.09,30,3.00
1778411676,41,10470,50,143.16,30,3.00
1778411678,40,10470,54,112.35,30,2.84
1778411679,41,10470,51,109.96,30,2.84
1778411681,40,10470,50,110.33,30,2.84
1778411682,40,10470,54,112.22,30,3.49
1778411683,40,10470,50,109.67,30,3.49
1778411685,43,10470,53,112.72,30,3.49
1778411686,41,10470,50,110.31,30,3.37
1778411688,40,10470,53,112.89,30,3.37
1778411689,40,10470,50,109.95,30,3.37
1778411691,40,10470,52,112.16,30,3.37
1778411692,41,10470,52,111.13,30,3.18
1778411694,40,10470,50,110.14,30,3.18
1778411695,40,10470,53,111.79,30,3.18
1778411696,4,1146,47,74.37,30,3.17
1778411698,23,8050,47,49.40,30,3.17
1778411699,25,10576,46,49.35,30,3.17
1778411701,91,10576,60,142.73,30,3.17
1778411702,40,10576,51,111.34,30,2.99
1778411703,41,10576,51,110.10,30,2.99
1778411705,41,10576,50,111.74,30,2.99
1778411706,40,10576,50,110.32,30,2.99
1778411708,41,10576,51,110.34,30,2.83
1778411709,41,10576,52,110.91,30,2.83
1778411711,41,10576,51,110.63,30,2.83
1778411712,40,10576,50,110.76,30,2.69
1778411713,40,10576,51,110.72,30,2.69
1778411715,41,10576,54,110.58,30,2.69
1778411716,39,10576,50,108.81,30,2.69
1778411718,41,10576,51,111.03,30,2.55
1778411719,41,10576,51,111.20,30,2.55
1778411721,41,10576,52,111.72,30,2.55
