ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778411725,15,10576,44,22.52,30,2.43
1778411727,22,965,44,22.60,30,2.39
1778411728,65,8260,45,35.33,30,2.39
1778411730,17,10548,44,36.85,30,2.39
1778411731,42,10550,50,128.37,30,2.39
1778411732,49,10550,52,117.13,30,3.08
1778411734,40,10550,50,118.17,30,3.08
1778411735,50,10550,52,116.78,30,3.08
1778411737,40,10550,50,118.38,30,3.15
1778411738,42,10550,51,118.36,30,3.15
1778411740,51,10550,52,117.10,30,3.15
1778411741,50,10550,53,117.41,30,3.15
1778411742,41,10550,50,117.10,30,3.06
1778411744,44,10535,51,116.36,30,3.06
1778411745,44,10535,51,119.57,30,3.06
1778411747,40,10535,50,117.00,30,2.98
1778411748,49,10535,53,117.85,30,2.98
1778411750,41,10535,52,120.40,30,2.98
1778411751,3,5163,47,47.17,30,2.98
1778411752,27,8245,46,48.89,30,2.82
1778411754,73,10689,51,116.48,30,2.82
1778411755,41,10689,50,117.11,30,2.82
1778411757,41,10689,50,116.42,30,2.67
1778411758,48,10689,53,117.80,30,2.67
1778411760,50,10689,54,120.12,30,2.67
1778411761,41,10689,51,118.54,30,2.67
1778411762,41,10689,51,117.36,30,2.54
1778411764,41,10689,51,116.63,30,2.54
1778411765,41,10689,51,116.69,30,2.54
1778411767,41,10689,51,116.89,30,2.41
1778411768,41,10689,51,117.30,30,2.41
1778411770,47,10689,53,117.93,30,2.41
1778411771,49,10689,53,117.34,30,2.41
1778411772,48,10689,53,119.26,30,2.54
1778411774,23,10689,49,114.99,30,2.54
1778411775,4,8035,47,50.95,30,2.54
1778411777,26,8035,47,50.00,30,2.42
1778411778,96,10519,53,97.22,30,2.42
1778411779,41,10519,53,110.61,30,2.42
1778411781,40,10519,50,109.81,30,2.42
1778411782,39,10519,54,112.93,30,2.46
1778411784,42,10519,53,112.50,30,2.46
1778411785,40,10519,51,111.07,30,2.46
1778411787,40,10519,50,110.23,30,2.35
1778411788,40,10519,53,112.16,30,2.35
1778411790,41,10519,50,109.86,30,2.35
1778411791,4,950,47,61.39,30,2.35
1778411792,26,8035,47,50.08,30,2.24
1778411794,95,10561,57,71.65,30,2.24
1778411795,41,10561,50,156.74,30,2.24
1778411797,43,10561,53,111.55,30,2.30
1778411798,40,10561,54,111.14,30,2.30
1778411800,40,10561,51,110.59,30,2.30
1778411801,41,10561,50,110.43,30,2.30
1778411802,40,10561,50,111.25,30,2.59
1778411804,40,10561,50,109.80,30,2.59
1778411805,40,10561,50,110.57,30,2.59
1778411807,40,10561,50,110.40,30,2.47
