ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778411811,16,10561,44,22.79,30,2.47
1778411813,20,950,44,22.85,30,2.51
1778411814,12,8245,44,35.37,30,2.51
1778411816,5,10421,45,48.57,30,2.51
1778411817,45,10535,52,135.53,30,2.39
1778411818,46,10535,52,118.20,30,2.39
1778411820,42,10535,50,115.82,30,2.39
1778411821,41,10535,51,118.38,30,2.39
1778411823,45,10535,53,119.15,30,2.52
1778411824,47,10535,50,116.43,30,2.52
1778411826,40,10535,52,118.78,30,2.52
1778411827,44,10535,50,116.44,30,2.48
1778411829,49,10535,52,119.25,30,2.48
1778411830,41,10535,51,116.88,30,2.48
1778411832,48,10535,53,118.89,30,2.60
1778411833,41,10535,53,118.40,30,2.60
1778411835,41,10535,51,116.65,30,2.60
1778411836,50,10535,52,118.01,30,2.60
1778411838,41,10535,53,118.83,30,2.55
1778411839,43,10535,51,116.86,30,2.55
1778411840,52,10535,52,120.35,30,2.55
1778411842,41,10535,55,118.71,30,3.23
1778411843,43,10535,51,117.85,30,3.23
1778411845,46,10535,54,120.48,30,3.23
1778411846,41,10535,52,117.57,30,3.23
1778411848,43,10535,51,118.33,30,3.05
1778411849,50,10535,52,118.76,30,3.05
1778411851,46,10535,53,119.47,30,3.05
1778411852,41,10535,52,118.08,30,2.96
1778411854,41,10535,52,117.71,30,2.96
1778411855,42,10535,54,117.89,30,2.96
1778411856,41,10535,54,117.62,30,2.96
1778411858,3,1131,48,47.42,30,2.97
1778411859,25,8035,47,49.39,30,2.97
1778411861,4,10517,46,45.27,30,2.97
1778411862,40,10519,54,149.46,30,2.97
1778411864,40,10519,51,109.90,30,2.97
1778411865,42,10519,53,111.19,30,2.97
1778411866,41,10519,53,110.68,30,2.97
1778411868,41,10519,50,110.68,30,3.13
1778411869,41,10519,51,111.14,30,3.13
1778411871,40,10519,51,110.41,30,3.13
1778411872,41,10519,54,113.21,30,3.04
1778411874,41,10519,51,110.80,30,3.04
1778411875,41,10519,53,111.70,30,3.04
1778411876,40,10519,52,111.14,30,3.04
1778411878,40,10519,51,110.34,30,3.04
1778411879,41,10519,51,110.43,30,3.04
1778411881,40,10519,51,110.30,30,3.04
1778411882,39,10519,50,110.49,30,2.95
1778411884,37,10519,53,111.16,30,2.95
1778411885,4,958,48,71.00,30,2.95
1778411887,25,7847,47,49.29,30,2.95
1778411888,4,10343,46,46.35,30,2.80
1778411889,31,10345,50,157.40,30,2.80
1778411891,34,10345,51,104.39,30,2.80
1778411892,36,10345,51,88.93,30,2.65
1778411894,35,10345,51,86.87,30,2.65
1778411895,33,10345,49,80.29,30,2.65
1778411897,31,10345,48,81.23,30,2.68
1778411898,31,10345,48,84.24,30,2.68
1778411900,41,10345,49,84.61,30,2.68
1778411901,39,10345,51,87.65,30,2.68
1778411903,33,10345,51,87.50,30,2.55
1778411904,32,10345,49,91.47,30,2.55
1778411906,32,10345,48,92.97,30,2.55
1778411907,40,10345,48,87.14,30,2.50
1778411908,40,10345,49,85.16,30,2.50
1778411910,35,10345,48,85.46,30,2.50
1778411911,40,10345,50,90.33,30,2.50
1778411913,40,10345,48,92.09,30,2.38
1778411914,3,10055,47,85.97,30,2.38
1778411916,4,7847,45,34.43,30,2.38
1778411917,27,7847,46,48.92,30,2.35
1778411919,96,10429,59,104.72,30,2.35
1778411920,40,10431,52,125.03,30,2.35
1778411921,39,10431,52,105.39,30,2.35
1778411923,40,10431,50,103.53,30,2.24
1778411924,28,10431,49,104.43,30,2.24
1778411926,40,10431,52,95.75,30,2.24
1778411927,33,10431,48,91.74,30,2.38
1778411929,41,10431,52,97.48,30,2.38
1778411930,40,10431,51,103.39,30,2.38
1778411932,30,10431,49,103.62,30,2.38
1778411933,37,10431,51,103.41,30,2.27
1778411935,40,10431,50,103.43,30,2.27
1778411936,30,10431,49,104.07,30,2.27
1778411937,40,10431,53,104.36,30,2.17
1778411939,40,10431,50,97.62,30,2.17
1778411940,38,10431,49,102.06,30,2.17
1778411942,37,10431,50,104.57,30,2.17
1778411943,33,10431,49,104.61,30,2.08
