ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778411948,8,10431,44,22.78,30,2.15
1778411949,4,10793,44,24.50,30,2.15
1778411951,13,5845,45,39.09,30,2.15
1778411952,13,5845,45,46.79,30,2.22
1778411954,4,7467,44,34.39,30,2.22
1778411955,97,7467,56,199.41,30,2.22
1778411957,3,971,46,109.59,30,2.22
1778411958,27,7455,45,49.30,30,2.20
1778411959,97,7507,57,201.24,30,2.20
1778411961,6,7688,48,173.15,30,2.20
1778411962,14,5845,46,47.65,30,2.10
1778411964,100,7547,56,61.26,30,2.10
1778411965,97,7547,57,201.18,30,2.10
1778411966,10,1131,47,100.53,30,2.10
1778411968,24,6741,46,49.23,30,2.10
1778411969,97,7547,57,154.63,30,2.10
1778411971,97,7547,58,202.56,30,2.10
