ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778411975,19,7547,44,25.59,30,2.17
1778411976,4,1131,44,20.50,30,2.17
1778411977,24,5845,45,41.05,30,2.31
1778411979,94,7467,55,86.53,30,2.31
1778411980,97,7467,57,200.69,30,2.31
1778411982,3,959,47,101.72,30,2.31
1778411983,27,5845,46,49.31,30,2.29
1778411984,3,7499,46,81.87,30,2.29
1778411986,3,7499,46,46.20,30,2.29
1778411987,3,7499,44,33.54,30,2.29
1778411988,96,7507,50,50.80,30,2.19
1778411990,97,7507,56,200.01,30,2.19
1778411991,3,950,47,112.93,30,2.19
1778411993,26,5845,46,48.14,30,2.25
1778411994,95,7547,56,92.51,30,2.25
1778411996,97,7547,58,200.98,30,2.25
1778411997,4,959,48,133.91,30,2.25
1778411998,25,5845,46,49.10,30,2.23
1778412000,100,7587,59,75.80,30,2.23
1778412001,96,7587,58,200.95,30,2.23
1778412003,3,7587,49,158.75,30,2.37
