ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778412007,16,7587,44,22.41,30,2.37
1778412008,5,1063,44,24.53,30,2.34
1778412010,26,5845,45,39.58,30,2.34
1778412011,96,7467,55,112.95,30,2.34
1778412013,97,7467,57,198.79,30,2.31
1778412014,3,7648,49,180.15,30,2.31
1778412015,29,5845,46,48.01,30,2.31
1778412017,97,7507,56,123.32,30,2.31
1778412018,97,7507,58,202.21,30,2.21
1778412020,97,7507,58,202.23,30,2.21
1778412021,4,5845,47,49.61,30,2.21
1778412023,100,7547,59,69.91,30,2.19
1778412024,97,7547,59,202.83,30,2.19
1778412025,97,7547,59,203.46,30,2.19
1778412027,3,950,49,115.40,30,2.19
1778412028,27,7579,48,49.78,30,2.10
1778412030,97,7587,58,196.44,30,2.10
1778412031,97,7587,59,203.90,30,2.10
1778412032,3,7587,50,141.35,30,2.01
