ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778412037,29,7587,45,21.50,30,2.01
1778412038,3,1131,45,24.31,30,2.81
1778412040,26,5845,46,37.49,30,2.81
1778412041,97,7467,56,113.01,30,2.81
1778412043,97,7467,58,201.55,30,2.74
1778412044,97,7467,59,202.23,30,2.74
1778412045,97,7467,59,202.88,30,2.74
1778412047,97,7467,60,203.75,30,2.74
1778412048,3,950,51,161.87,30,2.68
1778412050,27,5845,49,49.43,30,2.68
1778412051,97,7547,59,98.94,30,2.68
1778412052,97,7547,60,203.46,30,2.55
1778412054,96,7547,60,204.32,30,2.55
1778412055,96,7547,61,204.40,30,2.55
1778412057,96,7547,61,204.52,30,2.55
1778412058,64,7728,61,200.60,30,2.66
1778412059,29,5845,50,49.44,30,2.66
1778412061,100,7627,63,101.00,30,2.66
1778412062,97,7627,61,204.71,30,2.66
1778412064,97,7627,62,205.04,30,2.53
1778412065,96,7627,61,205.73,30,2.53
1778412067,97,7627,62,206.39,30,2.53
1778412068,97,7627,63,207.12,30,2.65
1778412069,7,3563,51,48.77,30,2.65
1778412071,100,7741,63,89.90,30,2.65
1778412072,97,7749,62,209.99,30,2.65
1778412074,97,7749,63,204.54,30,2.52
1778412075,97,7749,63,205.51,30,2.52
1778412076,97,7749,63,205.42,30,2.52
1778412078,97,7749,63,206.10,30,2.55
