ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778412083,27,7749,49,21.16,31,2.51
1778412084,4,950,49,21.15,31,2.51
1778412085,26,5845,49,36.15,31,2.51
1778412087,96,7467,60,108.17,30,2.51
1778412088,97,7467,61,204.26,30,2.39
1778412090,97,7467,62,205.21,30,2.39
1778412091,3,7648,54,171.98,30,2.39
1778412092,9,5845,51,49.01,30,2.39
1778412094,100,7547,63,88.03,30,2.36
1778412095,96,7547,62,204.66,30,2.36
1778412097,96,7547,62,205.36,30,2.36
1778412098,97,7547,63,205.99,30,2.33
1778412099,11,1131,52,101.92,30,2.33
1778412101,26,7579,51,51.12,30,2.33
1778412102,97,7587,62,194.07,30,2.33
1778412103,97,7587,63,206.24,30,2.38
1778412105,97,7587,63,206.71,30,2.38
1778412106,4,950,54,152.52,30,2.38
1778412108,31,5845,52,49.28,30,2.51
1778412109,81,7659,59,62.68,31,2.51
1778412111,96,7667,63,206.01,31,2.51
1778412112,97,7667,63,207.10,31,2.51
1778412113,97,7667,63,207.75,31,2.47
