ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778412118,11,7667,49,23.41,32,2.51
1778412120,5,1131,49,23.00,32,2.51
1778412121,25,5845,49,36.41,31,2.51
1778412122,97,7467,60,128.10,30,2.51
1778412124,96,7467,61,203.81,30,2.63
1778412125,97,7467,62,204.34,30,2.63
1778412127,34,7648,59,196.42,30,2.63
1778412128,32,5845,51,48.57,30,2.90
1778412129,92,7547,59,64.87,30,2.90
1778412131,97,7547,62,204.63,30,2.90
1778412132,96,7547,62,205.23,30,2.90
1778412134,97,7547,63,205.81,30,2.75
1778412135,7,961,52,91.89,30,2.75
1778412137,24,7579,51,51.18,30,2.75
1778412138,97,7587,62,205.83,30,2.77
1778412139,96,7587,63,206.10,30,2.77
1778412141,95,7587,63,206.33,30,2.77
1778412142,4,1131,54,153.27,30,2.77
1778412144,27,5845,52,50.08,30,2.71
1778412145,96,7667,62,141.53,31,2.71
1778412146,97,7667,63,206.66,31,2.71
1778412148,97,7667,64,207.07,30,2.65
1778412149,97,7667,64,208.07,31,2.65
