ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778412153,27,7667,50,22.17,32,2.68
1778412155,30,959,49,17.42,32,2.68
1778412156,27,5845,50,39.65,31,2.68
1778412157,96,7467,60,118.14,30,2.68
1778412159,96,7467,62,204.44,30,2.54
1778412160,97,7467,62,205.10,30,2.54
1778412162,96,7467,62,205.37,30,2.54
1778412163,3,950,54,188.34,30,2.50
1778412165,27,5845,52,49.92,30,2.50
1778412166,96,7547,60,80.16,30,2.50
1778412167,96,7547,62,203.60,30,2.50
1778412169,97,7547,63,206.20,30,2.38
1778412170,97,7547,63,206.82,30,2.38
1778412172,96,7547,63,207.24,30,2.38
1778412173,17,5845,53,49.22,31,2.43
1778412174,27,7619,52,51.46,31,2.43
1778412176,96,7627,62,206.97,31,2.43
1778412177,97,7627,63,207.38,32,2.43
1778412179,96,7627,64,207.65,32,2.39
1778412180,97,7627,64,208.71,32,2.39
1778412181,3,1131,53,78.30,32,2.39
1778412183,28,5845,52,50.52,33,2.39
1778412184,93,7709,63,140.80,33,2.44
1778412186,96,7709,63,207.41,33,2.44
1778412187,97,7709,64,208.21,33,2.44
1778412188,97,7709,64,208.92,33,2.33
1778412190,97,7709,65,209.36,34,2.33
