ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778412194,11,7709,50,24.28,34,3.90
1778412195,4,1131,50,22.90,34,3.90
1778412196,26,5845,50,40.61,33,3.90
1778412198,97,7467,61,188.13,32,3.99
1778412199,97,7467,62,205.55,30,3.99
1778412201,97,7467,63,205.96,30,3.99
1778412202,49,6481,56,199.81,30,3.99
1778412204,40,5845,52,49.70,30,3.83
1778412205,97,7547,62,121.03,30,3.83
1778412206,97,7547,62,206.47,30,3.83
1778412208,97,7547,63,207.22,30,3.83
1778412209,97,7547,64,207.34,30,3.76
1778412211,9,950,53,92.22,30,3.76
1778412212,26,7619,52,51.55,31,3.76
1778412213,97,7627,63,207.99,31,3.54
1778412215,95,7627,63,207.52,32,3.54
1778412216,97,7627,64,207.96,32,3.54
1778412218,97,7808,64,208.27,32,3.54
1778412219,85,5845,53,49.60,33,3.34
1778412220,100,7659,64,74.35,33,3.34
1778412222,97,7667,63,206.82,33,3.34
1778412223,97,7667,63,207.69,33,3.23
1778412225,97,7667,64,208.26,33,3.23
1778412226,4,7667,55,181.91,33,3.23
