ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778412233,32,7848,48,18.02,32,3.05
1778412234,10,1163,49,34.97,31,2.89
1778412235,24,10405,50,50.98,31,2.89
1778412237,25,10405,48,41.76,30,2.89
1778412238,96,10411,59,140.52,30,2.98
1778412240,96,10411,61,208.29,30,2.98
1778412241,96,10411,62,209.17,30,2.98
1778412243,96,10411,62,209.52,30,2.98
1778412244,97,10411,62,209.77,30,2.90
1778412245,97,10411,63,210.42,30,2.90
1778412247,97,10411,64,210.92,30,2.90
1778412248,97,10411,63,211.10,31,2.75
1778412250,96,10411,64,211.61,32,2.75
1778412251,96,10411,64,212.37,33,2.75
1778412252,96,10411,65,212.19,34,2.75
1778412254,97,10411,65,213.04,35,2.69
1778412255,96,10411,65,213.17,35,2.69
1778412257,97,10411,66,213.45,36,2.69
1778412258,96,10411,66,213.86,37,2.69
1778412259,97,10411,66,214.05,37,2.71
1778412261,96,10411,66,213.95,38,2.71
1778412262,97,10411,66,214.82,39,2.71
1778412263,97,10411,66,215.04,39,2.65
1778412265,96,10413,66,188.85,39,2.65
1778412266,96,10413,66,213.59,40,2.65
1778412268,96,10413,66,214.08,40,2.65
1778412269,96,10413,66,214.14,40,2.68
1778412271,96,10413,67,214.28,41,2.68
1778412272,96,10413,67,214.38,41,2.68
1778412273,97,10413,67,214.53,41,2.95
1778412275,97,10413,67,215.06,42,2.95
1778412276,96,10413,66,213.97,42,2.95
1778412278,96,10413,67,212.85,42,2.95
1778412279,97,10413,67,212.72,42,2.87
1778412281,97,10413,67,212.73,42,2.87
1778412282,96,10413,67,212.91,43,2.87
1778412283,97,10413,67,212.55,43,2.96
1778412285,96,10413,66,212.92,43,2.96
1778412286,96,10413,66,212.86,43,2.96
1778412287,97,10413,67,213.13,43,2.96
1778412289,96,10413,67,213.47,43,2.88
1778412290,97,10413,67,213.42,43,2.88
1778412292,96,10413,67,213.50,43,2.88
1778412293,96,10413,67,212.62,43,2.88
1778412294,97,10413,67,214.32,44,2.73
1778412296,97,10413,67,214.48,44,2.73
1778412297,96,10413,67,214.70,44,2.73
1778412299,96,10413,67,215.05,44,2.75
1778412300,96,10413,67,212.35,44,2.75
1778412301,96,10413,67,212.74,44,2.75
1778412303,97,10413,67,212.85,44,2.75
1778412304,97,10413,67,213.13,44,3.25
1778412306,96,10413,67,212.90,44,3.25
1778412307,97,10413,67,213.36,44,3.25
1778412308,96,10413,67,213.58,44,3.23
1778412310,97,10413,67,213.42,44,3.23
1778412311,97,10413,67,213.20,45,3.23
1778412313,50,10413,67,206.31,44,3.23
1778412314,97,10413,67,214.85,45,3.05
1778412315,96,10413,67,215.30,45,3.05
1778412317,96,10413,67,215.12,44,3.05
1778412318,97,10413,67,214.93,45,3.05
1778412320,96,10413,67,215.16,45,2.89
1778412321,97,10413,67,215.69,45,2.89
1778412322,96,10413,67,215.20,45,2.89
1778412324,96,10413,67,215.23,45,2.74
1778412325,97,10413,67,215.29,45,2.74
1778412326,96,10413,67,215.63,45,2.74
1778412328,96,10413,67,215.92,45,2.74
1778412329,96,10413,67,216.08,45,2.92
1778412331,96,10413,67,215.56,45,2.92
