ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778412335,100,10413,52,23.50,45,2.84
1778412336,96,10413,64,184.20,44,2.84
1778412338,96,10413,65,212.17,43,2.84
1778412339,96,10413,66,212.50,42,2.78
1778412340,96,10413,65,212.98,41,2.78
1778412342,97,10429,66,213.19,41,2.78
1778412343,97,10429,66,213.78,40,2.78
1778412345,96,10429,66,213.40,40,2.71
1778412346,96,10429,66,213.93,41,2.71
1778412347,97,10429,66,214.33,41,2.71
1778412349,96,10429,66,214.26,41,2.58
1778412350,100,10429,68,204.55,41,2.58
1778412352,96,10429,66,214.24,41,2.58
1778412353,97,10429,67,212.79,41,2.58
1778412355,96,10429,67,212.76,42,2.61
1778412356,96,10429,67,212.91,42,2.61
1778412357,96,10429,67,212.88,42,2.61
1778412359,95,10429,67,212.62,42,2.48
1778412360,96,10429,67,213.27,43,2.48
1778412362,96,10429,67,213.24,43,2.48
1778412363,96,10429,67,213.87,43,2.48
1778412364,97,10429,67,213.25,43,2.44
1778412366,96,10429,67,213.44,43,2.44
1778412367,97,10429,67,213.28,43,2.44
1778412369,97,10429,67,213.50,44,3.53
1778412370,96,10429,67,213.83,44,3.53
