ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778412374,11,10429,52,24.98,44,4.21
1778412376,97,10429,64,200.86,43,4.21
1778412377,97,10429,65,212.36,42,4.21
1778412378,96,10429,66,211.25,41,4.27
1778412380,96,10429,66,210.75,41,4.27
1778412381,96,10429,66,210.89,40,4.27
1778412383,96,10429,66,210.90,40,4.27
1778412384,97,10429,66,211.02,40,4.01
1778412385,97,10429,66,211.99,41,4.01
1778412387,96,10429,66,211.75,41,4.01
1778412388,96,10429,66,212.11,41,4.01
1778412390,97,10429,66,212.25,41,3.77
1778412391,96,10429,67,212.52,41,3.77
1778412393,97,10429,67,212.48,41,3.77
1778412394,96,10429,67,212.56,41,3.54
1778412395,97,10429,67,212.73,42,3.54
1778412397,97,10429,67,213.20,42,3.54
1778412398,97,10429,67,213.35,42,3.54
1778412399,97,10429,67,213.71,42,3.34
1778412401,96,10429,67,213.66,43,3.34
1778412402,97,10429,67,213.42,43,3.34
1778412404,96,10429,67,213.43,43,3.23
1778412405,97,10429,67,213.88,43,3.23
1778412406,97,10429,67,213.88,44,3.23
1778412408,96,10429,67,213.27,44,3.23
1778412409,96,10429,68,213.86,44,3.13
1778412411,96,10429,67,213.93,44,3.13
1778412412,97,10429,67,214.23,44,3.13
1778412413,96,10429,67,213.81,44,3.04
1778412415,97,10429,68,213.93,45,3.04
1778412416,96,10429,67,213.99,45,3.04
1778412418,96,10429,67,214.16,45,3.04
1778412419,96,10429,68,213.76,45,3.04
1778412420,97,10429,67,214.24,45,3.04
1778412422,96,10429,67,214.66,45,3.04
1778412423,97,10429,68,214.68,45,3.04
1778412425,97,10429,67,214.40,45,3.12
1778412426,97,10429,68,214.11,45,3.12
1778412428,97,10429,68,214.75,45,3.12
1778412429,97,10429,68,214.16,46,3.03
1778412430,97,10429,67,214.68,46,3.03
1778412432,97,10429,68,215.02,45,3.03
1778412433,97,10429,68,217.01,46,3.03
1778412435,96,10429,67,216.77,46,2.86
1778412436,96,10429,68,216.97,46,2.86
1778412437,97,10429,68,215.76,46,2.86
1778412439,96,10429,68,217.01,46,3.03
1778412440,97,10429,68,216.28,46,3.03
1778412442,97,10429,68,216.89,46,3.03
1778412443,96,10429,68,216.76,46,3.03
1778412444,97,10429,68,216.30,46,2.87
1778412446,98,10429,71,194.88,46,2.87
1778412447,96,10429,68,214.02,46,2.87
1778412449,97,10429,68,216.92,47,2.87
1778412450,97,10429,68,217.06,47,3.76
1778412451,97,10429,68,216.41,47,3.76
1778412453,97,10429,68,216.77,48,3.76
1778412454,97,10429,67,209.62,48,3.54
1778412456,97,10429,67,210.01,48,3.54
1778412457,97,10429,67,209.87,48,3.54
1778412458,97,10429,67,209.81,48,3.54
1778412460,96,10429,67,209.66,48,3.34
1778412461,97,10429,67,210.07,48,3.34
1778412463,96,10429,67,209.65,48,3.34
1778412465,97,10429,67,209.51,48,3.15
1778412466,97,10429,67,209.80,48,3.15
