ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778412470,11,10429,52,25.38,48,3.06
1778412471,96,10429,64,200.30,46,3.06
1778412473,96,10429,65,205.27,44,3.06
1778412474,97,10429,65,205.79,42,2.89
1778412476,97,10429,65,205.69,41,2.89
1778412477,97,10429,65,206.36,40,2.89
1778412479,97,10429,65,206.28,40,2.89
1778412480,96,10429,65,206.67,40,2.74
1778412481,96,10429,66,207.00,40,2.74
1778412483,96,10429,66,207.28,40,2.74
1778412484,97,10429,66,207.16,40,2.60
1778412486,97,10429,66,207.23,40,2.60
1778412487,97,10429,66,207.61,40,2.60
1778412488,97,10429,67,207.90,40,2.60
1778412490,97,10429,66,207.68,40,2.47
1778412491,97,10429,66,208.12,40,2.47
1778412493,97,10429,67,208.18,40,2.47
1778412494,96,10429,67,208.75,41,2.35
1778412495,97,10429,67,208.93,41,2.35
1778412497,97,10429,66,209.01,41,2.35
1778412498,96,10429,67,208.88,42,2.35
1778412500,96,10429,67,208.52,42,2.25
1778412501,96,10429,67,208.96,42,2.25
1778412503,96,10429,67,208.86,42,2.25
1778412504,97,10429,67,208.98,43,2.15
1778412505,96,10429,67,209.01,43,2.15
1778412507,97,10429,67,209.18,43,2.15
1778412508,97,10429,67,209.42,43,2.15
1778412510,97,10429,67,209.14,43,2.05
1778412511,96,10429,67,208.94,44,2.05
1778412513,97,10429,67,209.46,44,2.05
1778412514,97,10429,67,209.27,44,2.13
1778412515,96,10429,67,209.30,44,2.13
1778412517,97,10429,67,208.99,44,2.13
1778412518,97,10429,67,209.50,44,2.13
1778412520,97,10429,67,209.35,44,2.12
1778412521,97,10429,67,209.59,44,2.12
1778412522,97,10429,67,209.61,44,2.12
1778412524,96,10429,67,209.82,45,2.11
1778412525,97,10429,67,209.57,45,2.11
1778412527,96,10429,67,209.52,45,2.11
1778412528,97,10429,67,209.79,45,2.11
1778412530,97,10429,67,210.03,45,2.02
1778412531,97,10429,67,210.10,45,2.02
1778412532,97,10429,67,209.76,45,2.02
1778412534,96,10429,67,210.04,45,2.02
1778412535,97,10429,67,209.72,45,2.02
1778412537,97,10429,67,209.69,45,2.02
1778412538,96,10429,67,209.47,45,2.02
1778412539,97,10429,67,209.53,45,2.02
1778412541,96,10429,67,209.88,45,2.02
1778412542,97,10429,67,209.76,45,2.02
1778412544,97,10429,67,209.52,45,2.02
1778412545,97,10429,67,209.54,45,2.02
1778412546,97,10429,67,209.48,45,2.02
1778412548,97,10429,67,209.09,45,2.02
1778412549,97,10429,67,209.92,45,2.09
1778412551,97,10429,67,210.05,45,2.09
1778412552,96,10429,67,210.02,45,2.09
1778412553,96,10429,67,209.76,46,2.09
1778412555,97,10429,67,209.83,45,2.01
1778412556,97,10429,68,209.78,46,2.01
1778412558,97,10429,67,209.86,45,2.01
1778412559,97,10429,67,210.21,46,1.93
1778412560,97,10429,67,209.78,46,1.93
1778412562,97,10429,67,209.77,46,1.93
1778412563,97,10429,67,209.61,46,1.93
1778412565,97,10429,67,209.63,46,1.93
1778412566,96,10429,67,209.63,46,1.93
1778412567,97,10429,67,209.74,46,1.93
1778412569,97,10429,67,209.51,46,1.93
1778412570,97,10429,67,209.74,46,2.02
1778412572,97,10429,67,209.82,46,2.02
1778412573,97,10429,67,209.60,46,2.02
1778412574,97,10429,67,209.65,46,1.94
1778412576,96,10429,67,209.62,46,1.94
1778412577,96,10429,66,209.22,46,1.94
1778412579,97,10429,67,210.09,46,1.94
1778412580,96,10429,67,209.97,46,1.94
1778412582,97,10429,67,209.90,46,1.94
1778412583,97,10429,67,209.55,46,1.94
