ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778412694,26,10429,51,17.93,46,1.64
1778412695,95,10429,64,205.52,43,1.75
1778412696,97,10429,64,204.81,41,1.75
1778412698,97,10429,64,205.18,39,1.75
1778412699,96,10429,64,205.42,38,1.75
1778412701,96,10429,65,206.22,37,1.69
1778412702,96,10429,65,206.74,37,1.69
1778412703,96,10429,65,206.90,37,1.69
1778412705,96,10429,65,205.65,37,1.72
1778412706,96,10429,66,205.24,37,1.72
1778412708,97,10429,66,205.59,38,1.72
1778412709,97,10429,66,204.90,38,1.72
1778412710,97,10429,66,205.36,38,1.66
1778412712,96,10429,66,205.89,39,1.66
1778412713,97,10429,66,206.15,39,1.66
1778412715,97,10429,66,206.43,40,1.69
1778412716,96,10429,66,206.79,40,1.69
1778412718,97,10429,67,206.67,40,1.69
1778412719,97,10429,67,207.07,41,1.69
1778412720,97,10429,67,206.68,41,2.43
1778412722,97,10429,67,207.13,42,2.43
1778412723,96,10429,67,207.29,42,2.43
1778412725,97,10429,67,207.36,42,2.64
1778412726,97,10429,67,207.23,42,2.64
1778412727,97,10429,67,207.32,43,2.64
1778412729,97,10429,67,207.51,43,2.64
1778412730,97,10429,67,207.52,43,2.51
1778412732,96,10429,67,207.98,43,2.51
1778412733,97,10429,67,207.63,43,2.51
1778412735,97,10429,67,207.74,44,2.46
1778412736,96,10429,67,208.12,44,2.46
1778412737,96,10429,67,207.63,44,2.46
1778412739,97,10429,67,207.94,44,2.46
1778412740,97,10429,67,208.03,44,2.35
1778412742,97,10429,67,207.58,44,2.35
1778412743,97,10429,67,207.85,44,2.35
1778412744,96,10429,67,207.62,44,2.35
1778412746,96,10429,67,207.37,44,2.32
1778412747,97,10429,67,208.18,44,2.32
1778412749,96,10429,67,208.66,44,2.32
1778412750,96,10429,67,210.13,44,2.29
1778412751,97,10429,67,209.86,45,2.29
1778412753,97,10429,67,209.96,45,2.29
1778412754,97,10429,67,209.71,45,2.29
1778412756,97,10429,67,209.92,45,2.19
1778412757,96,10429,67,209.76,45,2.19
1778412759,97,10429,67,209.88,45,2.19
1778412760,97,10429,67,209.96,45,2.17
1778412761,97,10429,67,209.86,45,2.17
1778412763,97,10429,67,209.70,45,2.17
1778412764,97,10429,68,210.05,45,2.17
1778412766,96,10429,67,209.46,45,2.32
1778412767,96,10429,67,209.85,45,2.32
1778412768,97,10429,67,209.59,45,2.32
1778412770,97,10429,67,210.18,45,2.37
1778412771,97,10429,67,210.12,46,2.37
1778412773,97,10429,67,209.92,45,2.37
1778412774,97,10429,67,209.65,46,2.37
1778412776,97,10429,67,210.31,46,2.42
1778412777,97,10429,67,209.98,46,2.42
1778412778,96,10429,67,210.15,46,2.42
1778412780,97,10429,67,210.03,46,2.47
1778412781,97,10429,67,210.00,46,2.47
1778412783,97,10429,67,210.18,46,2.47
1778412784,96,10429,67,210.26,46,2.47
1778412786,97,10429,67,210.18,46,2.43
1778412787,97,10429,67,210.20,46,2.43
1778412788,96,10429,67,210.07,46,2.43
1778412790,97,10429,67,210.10,46,2.32
1778412791,97,10429,67,210.45,46,2.32
1778412793,97,10429,67,209.81,46,2.32
1778412794,97,10429,67,210.55,46,2.32
1778412795,96,10429,67,210.06,46,2.45
1778412797,97,10429,67,210.11,46,2.45
1778412798,97,10429,67,210.10,46,2.45
1778412800,97,10429,67,210.50,46,2.45
1778412801,97,10429,67,210.49,46,2.66
1778412802,97,10429,67,210.22,46,2.66
1778412804,97,10429,67,209.82,46,2.66
1778412805,97,10429,67,210.19,46,2.52
1778412807,97,10429,67,210.46,46,2.52
1778412808,97,10429,67,210.20,46,2.52
1778412809,97,10429,67,210.52,46,2.52
1778412811,97,10429,67,210.49,46,2.48
1778412812,97,10429,67,209.82,47,2.48
1778412814,97,10429,67,210.40,46,2.48
1778412815,97,10429,67,210.29,46,2.44
1778412816,97,10429,67,210.15,47,2.44
1778412818,97,10429,67,210.30,46,2.44
1778412819,97,10429,67,209.57,47,2.44
1778412821,97,10429,67,209.65,46,2.49
1778412822,97,10429,67,209.85,47,2.49
1778412824,96,10429,67,209.61,47,2.49
1778412825,97,10429,67,209.57,47,3.17
1778412826,97,10429,67,209.90,47,3.17
1778412828,96,10429,67,209.80,47,3.17
1778412829,97,10429,67,209.75,47,3.17
1778412831,97,10429,67,209.80,47,3.07
1778412832,97,10429,67,209.90,47,3.07
1778412833,97,10429,67,210.25,47,3.07
1778412835,97,10429,67,209.91,47,2.99
1778412836,97,10429,67,209.88,47,2.99
1778412838,97,10429,67,209.79,47,2.99
1778412840,97,10429,67,209.50,47,2.91
1778412842,97,10429,67,209.71,47,2.91
1778412843,97,10429,67,209.94,47,2.91
1778412845,4,10429,58,175.01,47,2.91
