ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778412849,15,10429,52,24.69,45,2.92
1778412851,97,10429,63,199.70,43,2.84
1778412852,97,10429,64,204.88,41,2.84
1778412854,97,10429,64,205.27,39,2.84
1778412855,96,10429,65,205.14,38,2.84
1778412856,97,10429,65,205.57,38,2.77
1778412858,97,10429,65,205.80,38,2.77
1778412859,97,10429,65,205.85,38,2.77
1778412861,97,10429,66,206.32,38,2.71
1778412862,97,10429,66,207.75,38,2.71
1778412863,97,10429,66,207.29,39,2.71
1778412865,97,10429,66,207.30,39,2.71
1778412866,97,10429,67,207.30,40,2.90
1778412868,97,10428,67,207.33,40,2.90
1778412869,97,10428,67,207.34,40,2.90
1778412870,97,10428,67,207.82,41,2.82
1778412872,97,10428,67,208.10,41,2.82
1778412873,97,10428,67,207.95,42,2.82
1778412875,97,10428,67,208.87,42,2.82
1778412876,97,10428,67,208.68,42,2.84
1778412878,97,10428,67,209.29,43,2.84
1778412879,97,10428,68,209.17,43,2.84
1778412880,97,10428,68,209.25,43,2.77
1778412882,97,10428,67,209.34,43,2.77
1778412883,97,10428,67,209.57,44,2.77
1778412885,97,10428,67,209.39,44,2.77
1778412886,97,10428,67,209.76,44,4.15
1778412887,96,10428,68,209.21,44,4.15
1778412889,97,10428,67,209.67,44,4.15
1778412890,96,10428,67,209.70,44,3.90
1778412892,97,10428,68,209.37,44,3.90
1778412893,97,10428,67,209.56,45,3.90
1778412894,97,10428,68,209.61,45,3.90
1778412896,97,10428,67,209.53,45,3.74
1778412897,97,10428,67,210.14,45,3.74
1778412899,97,10428,67,209.75,45,3.74
1778412900,97,10428,67,209.83,45,3.74
1778412901,96,10428,67,209.95,45,5.21
1778412903,97,10428,67,209.23,45,5.21
1778412904,97,10428,68,209.47,45,5.21
1778412906,97,10428,67,209.61,45,4.87
1778412907,96,10428,67,209.57,45,4.87
1778412908,97,10428,67,209.75,46,4.87
1778412910,96,10428,67,209.49,46,4.87
1778412911,97,10428,67,209.74,46,4.72
1778412913,96,10428,67,209.63,46,4.72
1778412914,97,10428,67,209.32,46,4.72
1778412916,97,10428,67,209.64,46,4.50
1778412918,97,10428,67,209.71,46,4.50
1778412919,96,10428,67,209.62,46,4.50
1778412921,96,10428,67,209.79,46,4.46
1778412923,97,10428,67,209.72,46,4.46
1778412924,97,10428,68,209.85,46,4.46
1778412926,97,10428,67,209.90,46,4.18
1778412927,97,10428,67,210.08,46,4.18
1778412929,97,10428,67,210.18,46,4.18
1778412930,97,10428,67,209.61,46,3.93
1778412932,97,10428,67,210.06,46,3.93
1778412933,97,10428,67,209.96,46,3.93
1778412935,97,10428,67,209.83,46,3.93
1778412936,97,10428,67,210.18,46,3.85
1778412938,97,10428,67,210.05,46,3.85
1778412939,97,10428,67,209.89,46,3.85
1778412940,97,10428,67,210.01,46,4.83
1778412942,97,10428,67,210.14,46,4.83
1778412943,97,10428,67,209.97,46,4.83
1778412945,97,10428,67,210.16,46,4.83
1778412946,97,10428,67,209.96,46,4.60
1778412947,97,10428,67,210.32,46,4.60
1778412949,96,10428,67,210.02,46,4.60
1778412950,97,10428,67,209.90,46,4.60
1778412952,97,10428,67,209.83,47,4.31
1778412953,97,10428,67,209.32,46,4.31
1778412954,97,10428,67,209.70,47,4.31
1778412956,97,10428,67,209.65,47,4.13
1778412957,97,10428,67,210.19,46,4.13
1778412959,97,10428,67,209.88,47,4.13
1778412960,97,10428,67,209.88,47,4.13
1778412961,97,10428,67,209.87,47,3.88
1778412963,97,10428,67,209.98,47,3.88
1778412964,96,10428,67,209.86,47,3.88
1778412966,97,10428,67,209.94,47,3.72
1778412967,97,10428,67,209.80,47,3.72
1778412968,97,10428,67,210.06,47,3.72
1778412970,97,10428,67,209.85,47,3.72
1778412971,97,10428,67,209.67,47,3.59
1778412973,97,10428,67,209.95,47,3.59
1778412974,97,10428,67,209.89,47,3.59
1778412975,97,10428,67,210.15,47,3.38
1778412977,97,10428,67,209.77,47,3.38
1778412978,97,10428,67,209.96,47,3.38
1778412980,97,10428,67,209.96,47,3.38
1778412981,97,10428,67,209.44,47,4.15
1778412982,97,10428,67,209.28,47,4.15
1778412984,96,10428,67,209.17,47,4.15
1778412985,96,10428,67,209.48,47,4.15
1778412987,97,10428,67,209.29,47,3.98
1778412988,97,10428,67,209.52,47,3.98
1778412989,97,10428,67,209.65,47,3.98
1778412991,97,10428,67,209.49,47,3.90
1778412992,97,10428,67,209.59,47,3.90
1778412993,97,10428,67,209.37,47,3.90
1778412995,97,10428,67,209.51,47,3.90
