ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778412999,30,10609,52,24.02,47,4.47
1778413001,20,11354,52,35.26,45,4.19
1778413002,4,11354,52,48.02,42,4.19
1778413004,12,11354,51,37.07,39,4.19
1778413005,29,11356,50,36.05,37,4.19
1778413007,24,11356,50,35.79,35,3.93
1778413008,77,11356,53,69.28,33,3.93
1778413010,15,11364,52,74.95,31,3.93
1778413011,51,11364,49,48.27,30,3.70
1778413012,15,11364,51,69.54,30,3.70
1778413014,27,11364,49,49.00,30,3.70
1778413015,15,11366,51,63.16,30,3.48
1778413017,27,11366,49,49.02,30,3.48
1778413018,23,11366,49,34.33,30,3.48
1778413020,31,11366,48,34.09,30,3.48
1778413021,34,11366,48,33.61,30,3.28
1778413023,33,11366,48,33.22,30,3.28
1778413024,30,11366,47,32.90,30,3.28
1778413026,31,11366,47,32.86,30,3.10
1778413027,42,11366,47,32.66,30,3.10
1778413029,46,11366,47,32.38,30,3.10
1778413030,45,11366,46,32.27,30,3.10
1778413032,34,11366,46,31.79,30,3.09
1778413033,35,11366,46,32.00,30,3.09
1778413034,43,11366,46,31.51,30,3.09
1778413036,34,11366,45,32.01,30,3.00
1778413037,33,11366,45,31.89,30,3.00
1778413039,35,11366,45,31.39,30,3.00
1778413040,34,11366,44,31.62,30,3.00
1778413042,31,11366,44,31.90,30,2.92
1778413043,78,11366,44,30.09,30,2.92
1778413045,18,11366,45,35.68,30,2.92
1778413046,15,11366,46,65.16,30,2.93
1778413047,16,11366,46,61.03,30,2.93
1778413049,20,11366,45,57.07,30,2.93
1778413050,22,11366,44,32.95,30,2.93
1778413052,25,11366,44,32.53,30,2.77
1778413053,32,11366,43,32.37,30,2.77
1778413055,36,11366,44,31.97,30,2.77
1778413056,35,11366,43,31.21,30,2.63
1778413058,7,11366,42,30.25,30,2.63
1778413059,30,11366,43,31.76,30,2.63
1778413061,36,11366,43,30.95,30,2.50
1778413062,36,11366,43,31.07,30,2.50
1778413063,29,11366,42,28.21,31,2.50
1778413065,67,11366,42,30.15,0,2.50
1778413066,13,11366,45,55.36,0,2.38
1778413068,22,11366,43,42.62,0,2.38
1778413069,50,11366,45,40.83,0,2.38
1778413071,15,11366,45,60.88,0,2.67
1778413072,31,11366,43,32.48,0,2.67
1778413074,28,11366,43,31.83,0,2.67
1778413075,32,11366,43,31.51,0,2.67
1778413076,36,11366,44,31.09,0,2.62
1778413078,32,11366,43,30.65,0,2.62
1778413079,36,11366,43,30.64,0,2.62
1778413081,37,11366,43,30.47,0,2.73
1778413082,38,11366,44,30.73,0,2.73
1778413084,41,11366,44,30.60,0,2.73
1778413085,35,11366,44,30.40,0,2.73
1778413087,40,11366,44,30.50,0,2.99
1778413088,39,11366,44,30.65,0,2.99
1778413090,35,11366,44,30.54,0,2.99
1778413091,38,11366,44,30.75,0,2.83
1778413092,33,11366,45,30.42,0,2.83
1778413094,38,11366,45,30.84,0,2.83
1778413095,40,11366,45,30.72,0,2.83
1778413097,34,11366,45,30.56,0,2.84
1778413098,40,11366,45,30.80,0,2.84
1778413100,41,11366,45,30.93,0,2.84
1778413101,38,11366,45,30.82,0,2.77
1778413103,39,11366,45,30.47,0,2.77
1778413104,30,11366,45,28.50,0,2.77
1778413106,80,11366,46,33.21,0,2.77
1778413107,12,11366,47,60.67,0,2.71
1778413109,23,11366,46,35.41,0,2.71
1778413110,28,11366,45,32.03,0,2.71
1778413111,29,11366,45,31.39,0,2.98
1778413113,29,11366,45,30.78,0,2.98
1778413114,37,11366,46,31.00,0,2.98
1778413116,37,11366,46,27.91,0,2.90
1778413117,28,11366,46,31.11,0,2.90
1778413119,27,11366,46,30.57,0,2.90
1778413120,39,11366,46,30.98,0,2.90
1778413122,30,11366,46,30.65,0,2.82
1778413123,41,11366,46,31.05,0,2.82
1778413125,39,11366,47,30.92,0,2.82
1778413126,85,11366,48,38.16,0,3.08
1778413128,86,11366,49,80.79,0,3.08
1778413129,81,11366,50,81.45,0,3.08
1778413130,71,11366,53,83.36,0,3.08
1778413132,12,11366,50,61.21,0,3.15
1778413134,26,11366,48,32.83,0,3.15
1778413135,30,11366,48,33.93,0,3.15
1778413136,31,11366,48,33.46,0,3.14
1778413138,82,11366,51,70.05,0,3.14
1778413139,86,11366,51,81.33,0,3.14
1778413141,87,11366,51,81.61,0,3.14
1778413142,79,11366,52,82.45,0,2.97
1778413144,14,11366,52,60.79,0,2.97
1778413145,29,11366,49,39.97,0,2.97
1778413147,35,11366,49,35.00,0,3.05
1778413148,28,11366,49,34.32,0,3.05
1778413150,18,11366,49,33.72,0,3.05
1778413151,94,11366,59,90.53,0,4.33
1778413152,82,11366,53,91.73,0,4.33
1778413154,82,11366,53,91.20,0,4.33
