ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778413201,33,11368,51,22.47,0,3.36
1778413202,83,11368,55,77.09,0,3.33
1778413204,20,11368,54,69.68,0,3.33
1778413205,85,11368,54,56.46,0,3.33
1778413206,15,11368,55,65.71,0,3.70
1778413208,29,11368,54,56.89,0,3.70
1778413209,30,11368,53,35.43,0,3.70
1778413211,24,11368,53,34.74,0,3.70
1778413212,28,11368,53,34.01,0,3.57
1778413214,38,11368,53,34.05,0,3.57
1778413215,35,11368,53,33.70,0,3.57
1778413217,42,11368,53,33.36,0,3.44
1778413218,33,11368,53,32.91,0,3.44
1778413220,38,11368,53,33.49,0,3.44
1778413221,36,11368,53,33.14,0,3.44
1778413223,37,11368,53,33.38,0,3.33
1778413224,41,11368,53,33.26,0,3.33
1778413225,33,11368,53,33.19,0,3.33
1778413227,41,11368,53,33.06,0,3.22
1778413228,42,11368,53,31.93,0,3.22
1778413230,15,11368,56,74.81,0,3.22
1778413231,44,11368,53,50.19,0,3.04
1778413233,19,11368,55,64.53,0,3.04
1778413234,18,11368,57,72.93,0,3.04
1778413235,80,11368,61,62.46,0,3.04
1778413237,14,11368,56,64.10,0,2.88
1778413238,19,11368,56,51.52,0,2.88
1778413240,23,11368,54,56.80,0,2.88
1778413241,97,11368,58,63.81,0,2.81
1778413243,14,11368,56,65.75,0,2.81
1778413244,26,11368,55,45.76,0,2.81
1778413246,26,11368,55,34.23,0,2.81
1778413247,28,11368,54,33.74,0,2.66
1778413249,30,11368,54,33.22,0,2.66
1778413250,35,11368,54,33.22,0,2.66
1778413252,30,11368,54,32.91,0,2.53
1778413253,40,11368,54,32.54,0,2.53
1778413254,39,11368,54,32.84,0,2.53
1778413256,31,11368,54,32.77,0,2.53
1778413257,29,11368,54,32.71,0,2.41
1778413259,38,11368,54,32.74,0,2.41
1778413260,28,11368,54,32.31,0,2.41
1778413262,33,11368,54,32.52,0,2.29
1778413263,28,11368,54,32.20,0,2.29
1778413265,40,11368,54,32.47,0,2.29
1778413266,40,11368,54,32.13,0,2.29
1778413268,38,11368,54,32.06,0,2.19
1778413269,40,11368,54,32.43,0,2.19
1778413271,27,11368,54,32.65,0,2.19
