ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778413471,36,11353,54,23.32,0,2.27
1778413473,84,11353,58,78.46,0,2.33
1778413474,18,11353,57,68.75,0,2.33
1778413475,25,11353,56,53.38,0,2.33
1778413477,30,11353,55,36.47,0,2.22
1778413478,32,11353,55,36.10,0,2.22
1778413480,34,11353,55,35.36,0,2.22
1778413481,33,11353,56,35.10,0,2.22
1778413483,34,11353,56,34.89,0,2.12
1778413484,40,11353,55,34.87,0,2.12
1778413486,37,11353,55,34.11,0,2.12
1778413487,33,11353,55,34.09,0,1.95
1778413489,37,11353,55,33.79,0,1.95
1778413490,36,11353,55,33.89,0,1.95
1778413491,39,11353,55,34.03,0,1.95
1778413493,42,11353,55,34.20,0,1.88
1778413494,34,11353,55,33.87,0,1.88
1778413496,42,11353,55,33.99,0,1.88
1778413497,46,11353,55,33.77,0,1.80
1778413499,33,11353,55,33.73,0,1.80
1778413500,37,11353,55,33.88,0,1.80
1778413502,43,11353,55,33.97,0,1.80
1778413503,34,11353,55,33.69,0,1.74
1778413505,38,11353,55,33.78,0,1.74
1778413506,18,11353,58,65.16,0,1.74
1778413507,19,11353,58,65.77,0,2.24
1778413509,19,11353,58,67.03,0,2.24
1778413511,23,11353,56,44.95,0,2.24
1778413512,24,11353,56,35.85,0,2.22
1778413514,30,11353,56,35.14,0,2.22
1778413515,19,11353,58,58.16,0,2.22
1778413517,17,11353,58,63.31,0,2.22
1778413518,31,11353,56,36.22,0,2.12
1778413520,25,11353,56,35.30,0,2.12
1778413521,18,11353,58,69.77,0,2.12
1778413523,27,11353,56,53.36,0,2.11
1778413524,24,11353,56,36.00,0,2.11
1778413526,27,11353,56,35.22,0,2.11
1778413527,35,11353,56,34.53,0,2.11
1778413528,31,11353,56,34.21,0,2.02
1778413530,37,11353,56,33.88,0,2.02
1778413531,38,11353,56,33.90,0,2.02
1778413533,37,11353,56,33.73,0,1.94
1778413534,39,11353,56,34.00,0,1.94
1778413536,39,11353,56,33.94,0,1.94
1778413537,37,11353,56,33.98,0,1.87
1778413539,39,11353,56,34.02,0,1.87
1778413540,42,11353,56,33.93,0,1.87
1778413541,40,11353,56,34.07,0,1.87
1778413543,37,11369,56,33.79,0,1.96
1778413544,35,11369,56,33.60,0,1.96
1778413546,40,11369,56,33.83,0,1.96
1778413547,38,11369,56,33.43,0,1.88
1778413549,40,11369,56,33.63,0,1.88
1778413550,36,11369,56,33.51,0,1.88
1778413552,39,11369,56,33.27,0,1.88
1778413553,39,11369,56,33.29,0,1.89
1778413555,40,11369,56,33.65,0,1.89
1778413556,38,11369,56,33.70,0,1.89
1778413557,41,11369,56,33.44,0,1.82
1778413559,40,11369,56,33.43,0,1.82
1778413560,39,11369,56,33.43,0,1.82
1778413562,41,11369,56,33.35,0,1.82
1778413563,37,11369,56,33.43,0,1.75
1778413565,35,11369,56,33.04,0,1.75
1778413566,39,11369,56,33.03,0,1.75
1778413568,39,11369,56,33.39,0,1.69
1778413569,41,11369,56,33.49,0,1.69
1778413571,39,11369,56,33.41,0,1.69
1778413572,36,11369,55,33.38,0,1.69
1778413573,41,11369,56,33.08,0,1.80
1778413575,39,11369,56,33.11,0,1.80
1778413576,40,11369,56,33.41,0,1.80
1778413578,41,11369,56,33.07,0,1.81
1778413579,34,11369,55,33.45,0,1.81
1778413581,42,11369,56,33.01,0,1.81
1778413582,39,11369,56,33.24,0,1.81
1778413584,85,11369,59,66.68,0,2.07
1778413585,14,11369,58,88.36,0,2.07
1778413586,19,11369,59,64.27,0,2.07
1778413588,25,11369,56,35.00,0,2.14
1778413589,29,11369,56,34.67,0,2.14
1778413591,28,11369,56,34.04,0,2.14
1778413592,30,11369,56,34.06,0,2.05
1778413594,37,11369,56,33.70,0,2.05
1778413595,14,11369,58,64.84,0,2.05
1778413597,23,11369,58,59.17,0,2.05
1778413598,25,11369,57,35.17,0,1.97
1778413600,29,11369,56,34.29,0,1.97
1778413601,31,11369,56,33.65,0,1.97
1778413603,35,11369,56,33.43,0,2.45
1778413604,26,11369,56,33.12,0,2.45
1778413606,30,11369,57,33.02,0,2.45
1778413607,40,11369,56,33.22,0,2.45
1778413609,37,11369,57,33.20,0,2.81
1778413610,33,11369,56,33.35,0,2.81
1778413612,39,11369,56,33.28,0,2.81
1778413613,43,11369,56,34.70,0,2.67
1778413614,31,11369,56,35.22,0,2.67
1778413616,34,11369,56,35.06,0,2.67
1778413617,32,11369,56,34.97,0,2.67
1778413619,34,11369,56,35.27,0,2.53
1778413620,35,11369,56,34.80,0,2.53
1778413622,34,11369,56,34.99,0,2.53
1778413623,35,11369,56,34.86,0,2.41
1778413625,86,11369,60,61.40,0,2.41
1778413626,85,11369,61,93.00,0,2.41
1778413627,85,11369,60,84.60,0,2.41
1778413629,18,11369,60,90.18,30,2.62
1778413630,44,11369,58,64.03,30,2.62
1778413632,15,11369,59,68.41,30,2.62
1778413633,87,11369,57,57.26,30,2.49
1778413635,84,11369,59,94.94,30,2.49
1778413636,83,11369,59,95.05,30,2.49
1778413638,82,11369,58,84.27,30,2.37
1778413639,20,11369,57,66.83,30,2.37
1778413641,83,11369,57,80.41,30,2.37
1778413642,82,11369,57,82.84,30,2.37
1778413643,84,11369,57,85.03,30,2.50
1778413645,97,11369,63,94.86,30,2.50
1778413646,14,11369,55,75.72,30,2.50
1778413648,85,11369,56,64.98,30,2.78
1778413649,82,11369,56,83.47,30,2.78
1778413650,87,11369,56,94.55,30,2.78
1778413652,77,11369,56,94.65,30,2.78
1778413653,15,11369,54,61.90,30,2.56
1778413655,90,11369,54,61.90,30,2.56
1778413656,92,11369,63,95.55,30,2.56
1778413658,18,11369,55,77.07,30,2.67
1778413659,86,11369,52,52.74,30,2.67
1778413660,86,11369,54,82.09,30,2.67
1778413662,94,11369,58,91.65,30,2.67
1778413663,97,11369,59,94.94,30,2.78
1778413665,14,11369,52,61.40,30,2.78
1778413666,25,11369,50,34.00,30,2.78
1778413668,24,11369,50,32.76,30,2.63
1778413669,24,11369,49,31.96,30,2.63
1778413671,26,11369,48,31.36,30,2.63
1778413672,42,11369,48,33.38,30,2.63
1778413674,38,11369,48,33.32,30,2.50
1778413675,39,11369,47,33.26,30,2.50
1778413677,33,11369,47,33.06,30,2.50
1778413678,39,11369,47,33.09,30,2.38
1778413679,35,11369,47,32.87,30,2.38
1778413681,37,11369,46,32.40,30,2.38
1778413682,41,11369,46,32.23,30,2.38
1778413684,39,11369,46,32.26,30,2.35
1778413685,36,11369,45,31.81,0,2.35
1778413687,40,11369,45,31.66,0,2.35
1778413688,35,11369,46,31.66,0,2.88
1778413689,37,11369,46,31.85,0,2.88
1778413691,38,11369,46,31.54,0,2.88
1778413692,37,11369,46,31.82,0,2.88
1778413694,39,11369,46,31.64,0,3.05
1778413695,38,11369,46,31.73,0,3.05
1778413697,42,11369,46,31.33,0,3.05
1778413698,36,11369,46,31.13,0,3.05
1778413700,39,11369,46,31.45,0,3.05
1778413701,38,11369,46,31.73,0,3.05
1778413703,38,11369,46,31.35,0,3.05
1778413704,37,11369,47,31.90,0,3.04
1778413705,39,11369,47,32.08,0,3.04
1778413707,35,11369,47,31.74,0,3.04
1778413708,39,11369,47,31.35,0,3.12
1778413710,39,11369,47,31.50,0,3.12
1778413711,39,11369,47,31.71,0,3.12
1778413713,38,11369,47,31.89,0,3.11
1778413714,41,11369,47,31.65,0,3.11
1778413716,40,11369,47,31.63,0,3.11
1778413717,36,11369,47,31.61,0,3.11
