ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778413925,36,11369,51,22.86,0,2.21
1778413927,83,11369,56,91.26,0,2.21
1778413928,17,11369,55,66.07,0,2.21
1778413930,25,11369,53,44.23,0,2.11
1778413931,23,11369,53,35.48,0,2.11
1778413933,27,11369,53,34.81,0,2.11
1778413934,36,11369,53,34.56,0,2.02
1778413936,30,11369,53,33.95,0,2.02
1778413937,32,11369,53,33.97,0,2.02
1778413939,39,11369,53,33.92,0,2.02
1778413940,32,11369,53,33.88,0,1.94
1778413942,34,11369,53,33.61,0,1.94
1778413943,40,11369,53,33.35,0,1.94
1778413945,33,11369,53,33.38,0,2.02
1778413946,33,11369,53,33.45,0,2.02
1778413948,34,11369,53,33.31,0,2.02
1778413949,42,11369,53,33.11,0,1.94
1778413950,35,11369,53,32.93,0,1.94
1778413952,42,11369,53,33.60,0,1.94
1778413953,33,11369,53,33.29,0,1.94
1778413955,39,11369,53,33.25,0,1.95
1778413956,42,11369,53,33.42,0,1.95
1778413958,35,11369,53,32.87,0,1.95
1778413959,42,11369,53,32.86,0,2.19
1778413961,32,11369,53,33.29,0,2.19
1778413962,37,11369,53,33.30,0,2.19
1778413964,35,11369,53,33.06,0,2.19
1778413965,40,11369,53,32.85,0,2.09
1778413966,36,11369,53,33.01,0,2.09
1778413968,37,11369,53,32.87,0,2.09
1778413969,39,11369,53,32.51,0,2.01
1778413971,41,11369,53,32.47,0,2.01
1778413972,40,11369,53,32.74,0,2.01
1778413974,34,11369,53,32.72,0,2.01
1778413975,36,11369,53,30.69,0,2.01
1778413977,40,11369,53,33.06,0,2.01
1778413978,37,11369,53,32.48,0,2.01
1778413979,37,11369,53,32.59,0,1.93
1778413981,36,11369,53,32.68,0,1.93
1778413983,36,11369,53,32.80,0,1.93
1778413984,39,11369,53,32.61,0,1.93
1778413985,39,11369,53,32.63,0,1.93
1778413987,39,11369,53,32.67,0,1.93
1778413988,39,11369,53,32.58,0,1.93
1778413990,39,11369,53,32.84,0,1.94
1778413991,38,11369,53,32.42,0,1.94
1778413993,40,11369,53,32.51,0,1.94
1778413994,40,11369,53,32.34,0,1.94
1778413996,38,11369,53,32.39,0,1.94
1778413997,35,11369,53,32.62,0,1.94
1778413998,36,11369,53,32.68,0,1.94
1778414000,37,11369,53,32.44,0,1.87
1778414001,35,11369,53,32.51,0,1.87
1778414003,36,11369,53,32.45,0,1.87
1778414004,38,11369,53,32.46,0,1.87
1778414006,38,11369,53,32.64,0,1.96
1778414007,38,11369,53,32.53,0,1.96
1778414009,34,11369,53,32.36,0,1.96
1778414010,40,11369,53,32.81,0,1.96
1778414012,36,11369,53,32.90,0,1.96
1778414013,40,11369,53,32.82,0,1.96
1778414014,38,11369,54,32.69,0,1.96
1778414016,34,11369,53,32.37,0,1.88
1778414017,38,11369,53,32.64,0,1.88
1778414019,34,11369,53,32.40,0,1.88
1778414020,34,11369,53,32.45,0,1.81
1778414022,36,11369,53,32.72,0,1.81
1778414023,33,11369,53,32.63,0,1.81
1778414025,40,11369,54,32.83,0,1.81
1778414026,39,11369,53,32.94,0,1.75
1778414028,31,11369,53,32.71,0,1.75
1778414029,40,11369,53,32.59,0,1.75
1778414031,37,11369,53,32.82,0,1.61
1778414032,35,11369,53,33.10,0,1.61
1778414033,36,11369,53,32.42,0,1.61
1778414035,40,11369,54,32.83,0,1.72
1778414036,9,11369,53,31.87,0,1.72
1778414038,92,11369,60,87.29,0,1.72
1778414039,14,11369,56,70.57,0,1.72
1778414041,14,11369,54,49.92,0,1.74
1778414042,14,11369,56,65.53,0,1.74
1778414043,5,11369,54,43.05,0,1.74
1778414045,25,11369,54,33.55,0,1.68
1778414046,24,11369,54,33.29,0,1.68
1778414048,32,11369,54,33.00,0,1.68
1778414049,28,11369,54,32.83,0,1.68
1778414051,39,11369,54,32.92,0,1.71
1778414052,35,11369,54,32.62,0,1.71
1778414054,37,11369,54,32.77,0,1.71
1778414055,37,11369,54,32.85,0,1.89
1778414057,40,11369,54,32.80,0,1.89
1778414058,39,11369,54,32.66,0,1.89
1778414060,40,11369,54,32.71,0,1.89
1778414061,29,11369,54,32.58,0,1.90
1778414063,41,11369,54,33.79,0,1.90
1778414064,33,11369,54,35.08,0,1.90
1778414066,34,11369,54,35.14,0,1.83
1778414067,33,11369,54,35.10,0,1.83
1778414068,40,11369,54,34.68,0,1.83
1778414070,34,11369,54,35.10,0,1.83
1778414071,42,11369,55,35.07,0,1.76
1778414073,35,11369,54,35.04,0,1.76
1778414074,37,11369,55,34.95,0,1.76
1778414076,35,11369,54,34.69,0,1.86
1778414077,36,11369,54,34.75,0,1.86
1778414079,37,11369,54,34.43,0,1.86
1778414080,36,11369,55,34.52,0,1.86
1778414082,36,11369,54,34.51,0,1.87
1778414083,38,11369,54,34.10,0,1.87
1778414085,38,11369,54,34.10,0,1.87
1778414086,39,11369,54,34.16,0,1.88
1778414087,39,11369,54,34.03,0,1.88
1778414089,38,11369,55,34.05,0,1.88
1778414090,38,11369,55,33.93,0,1.88
1778414092,39,11369,54,33.77,0,1.81
1778414093,39,11369,55,33.93,0,1.81
1778414095,41,11369,54,34.12,0,1.81
1778414096,84,11369,56,39.90,0,1.82
1778414098,93,11369,62,93.73,0,1.82
1778414099,85,11369,60,95.18,0,1.82
1778414101,13,11369,59,89.51,0,1.82
1778414102,14,11369,57,63.95,0,1.84
1778414103,14,11369,58,77.22,0,1.84
1778414105,23,11369,56,54.07,0,1.84
1778414106,25,11369,56,34.72,0,1.85
1778414108,29,11369,56,34.17,0,1.85
1778414109,29,11369,56,33.81,0,1.85
1778414111,30,11369,55,33.65,0,1.86
1778414112,36,11369,55,33.51,0,1.86
1778414114,31,11369,55,33.39,0,1.86
1778414115,40,11369,55,33.28,0,1.86
1778414117,37,11369,56,33.21,0,1.79
1778414118,35,11369,55,32.94,0,1.79
1778414120,38,11369,56,33.18,0,1.79
1778414121,28,11369,55,33.49,0,1.89
1778414123,39,11369,55,33.36,0,1.89
1778414124,38,11369,55,33.25,0,1.89
1778414125,35,11369,56,35.31,0,1.89
1778414127,41,11369,56,35.13,0,1.90
1778414128,78,11369,59,64.31,0,1.90
1778414130,83,11369,59,93.73,0,1.90
1778414131,79,11369,60,94.51,0,1.99
1778414133,17,11369,58,69.44,0,1.99
1778414134,14,11369,59,75.26,0,1.99
1778414136,24,11369,57,60.31,0,2.07
1778414137,25,11369,57,35.27,0,2.07
1778414139,28,11369,56,34.62,0,2.07
1778414140,32,11369,57,34.64,0,2.07
1778414142,30,11369,56,34.03,0,1.98
1778414143,37,11370,56,33.67,0,1.98
1778414144,38,11370,56,33.47,0,1.98
1778414146,31,11370,57,33.65,0,1.98
1778414147,38,11370,56,33.59,0,1.98
1778414149,38,11370,56,33.88,0,1.98
1778414150,19,11370,58,64.52,0,1.98
1778414152,19,11370,58,64.31,0,1.90
1778414153,27,11370,57,31.84,0,1.90
1778414155,74,11370,57,33.77,0,1.90
1778414156,15,11370,59,64.45,0,1.83
1778414158,24,11370,57,44.02,0,1.83
1778414159,30,11370,58,36.82,0,1.83
1778414161,28,11370,57,36.44,0,1.83
1778414162,30,11370,57,36.08,0,2.00
1778414163,38,11370,57,35.52,0,2.00
1778414165,35,11370,57,35.67,0,2.00
1778414166,68,11370,59,46.50,0,2.00
1778414168,89,11370,60,87.68,0,2.00
1778414169,94,11370,68,98.32,30,2.00
1778414171,86,11370,62,100.02,30,2.00
1778414172,15,11370,59,77.45,30,2.00
1778414174,24,11370,57,52.30,30,2.00
1778414175,26,11370,56,37.17,30,2.00
1778414177,26,11370,55,36.42,30,2.00
1778414178,38,11370,54,35.90,30,2.00
1778414179,31,11370,54,35.73,30,2.00
1778414181,31,11370,53,34.96,30,2.00
1778414182,33,11370,53,35.02,30,2.00
1778414184,35,11370,52,34.93,30,2.00
1778414185,35,11370,52,34.30,30,2.00
1778414187,36,11370,51,33.74,30,1.92
1778414188,39,11370,51,33.70,30,1.92
1778414190,51,11370,50,32.08,30,1.92
1778414191,86,11370,54,91.61,30,1.93
1778414192,85,11370,53,81.91,30,1.93
1778414194,82,11370,54,84.39,30,1.93
1778414195,14,11370,53,85.09,30,1.93
1778414197,25,11370,50,53.85,30,2.01
1778414199,26,11370,49,33.10,30,2.01
1778414200,28,11370,49,32.15,30,2.01
1778414202,33,11370,48,32.19,30,1.93
1778414203,31,11370,48,31.89,30,1.93
1778414205,33,11370,48,31.35,30,1.93
1778414207,27,11370,47,31.31,30,1.94
1778414208,38,11370,47,31.44,30,1.94
1778414210,39,11370,46,31.08,30,1.94
1778414211,40,11370,46,30.93,30,2.02
1778414213,42,11370,46,30.99,30,2.02
1778414214,87,11370,46,29.51,0,2.02
1778414216,83,11370,49,90.25,0,2.02
1778414217,78,11370,49,87.86,0,1.94
1778414219,76,11370,49,79.96,0,1.94
1778414220,14,11370,49,59.92,0,1.94
