ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778414446,31,11370,48,16.89,0,1.69
1778414448,19,11370,51,69.64,0,1.71
1778414449,29,11370,50,54.05,0,1.71
1778414451,30,11370,49,35.10,0,1.71
1778414452,32,11370,49,34.24,0,1.66
1778414454,27,11370,49,33.75,0,1.66
1778414455,29,11370,49,33.27,0,1.66
1778414456,39,11370,49,33.27,0,1.66
1778414458,40,11370,49,32.99,0,2.32
1778414459,41,11370,49,32.70,0,2.32
1778414461,37,11370,49,32.84,0,2.32
1778414462,42,11370,49,32.73,0,2.22
1778414464,33,11370,50,32.65,0,2.22
1778414465,34,11370,50,32.23,0,2.22
1778414467,39,11370,50,32.32,0,2.22
1778414468,41,11370,50,32.69,0,2.12
1778414470,32,11370,50,32.56,0,2.12
1778414471,9,11370,49,29.44,0,2.12
1778414472,37,11370,50,32.34,0,2.11
1778414474,33,11370,50,32.80,0,2.11
1778414475,35,11370,50,32.26,0,2.11
1778414477,33,11370,50,32.42,0,2.10
1778414478,36,11370,50,32.62,0,2.10
1778414480,35,11370,50,32.46,0,2.10
1778414481,34,11370,50,32.20,0,2.10
1778414483,39,11370,50,32.21,0,2.01
1778414484,34,11370,50,32.20,0,2.01
1778414486,35,11370,50,32.36,0,2.01
1778414487,34,11370,50,32.33,0,3.21
1778414489,35,11370,50,32.54,0,3.21
1778414490,40,11370,50,32.43,0,3.21
1778414491,40,11370,51,32.54,0,3.21
1778414493,34,11370,50,32.48,0,4.32
1778414494,34,11370,50,32.25,0,4.32
1778414496,41,11370,51,32.50,0,4.32
1778414498,38,11370,51,32.49,0,4.05
1778414499,36,11370,50,32.48,0,4.05
1778414501,34,11370,51,32.51,0,4.05
1778414502,35,11370,50,32.44,0,3.89
1778414504,40,11370,51,32.31,0,3.89
1778414505,37,11370,50,32.40,0,3.89
1778414507,38,11370,50,32.21,0,3.89
1778414508,40,11370,50,32.17,0,3.65
1778414510,36,11370,50,32.17,0,3.65
1778414511,38,11370,51,32.11,0,3.65
1778414513,37,11370,50,32.27,0,3.52
1778414514,39,11370,50,32.41,0,3.52
1778414515,38,11370,51,32.41,0,3.52
1778414517,39,11370,50,32.04,0,3.32
1778414518,73,11370,53,74.08,0,3.32
1778414520,19,11370,54,63.32,0,3.32
1778414521,71,11370,52,41.33,0,3.32
1778414523,14,11370,55,62.98,0,3.53
1778414524,15,11370,53,39.64,0,3.53
1778414526,17,11370,54,63.04,0,3.53
1778414527,30,11370,52,34.67,0,3.49
1778414529,27,11370,52,33.73,0,3.49
1778414530,34,11370,52,33.46,0,3.49
1778414531,36,11370,52,33.06,0,3.49
1778414533,30,11370,51,32.54,0,3.29
1778414534,38,11370,52,32.58,0,3.29
1778414536,39,11370,52,32.69,0,3.29
1778414537,39,11370,52,32.38,0,3.11
1778414539,39,11370,52,32.16,0,3.11
1778414540,34,11370,51,31.87,0,3.11
1778414542,38,11370,52,31.83,0,3.11
1778414543,39,11370,52,32.04,0,3.02
1778414545,39,11370,52,32.28,0,3.02
1778414546,39,11370,52,32.35,0,3.02
1778414548,34,11370,52,32.44,0,2.94
1778414549,39,11370,52,32.12,0,2.94
1778414551,33,11370,52,32.35,0,2.94
1778414552,38,11370,52,32.38,0,2.78
1778414554,39,11370,52,32.28,0,2.78
1778414555,31,11370,52,32.49,0,2.78
1778414556,38,11370,52,32.61,0,2.78
1778414558,37,11370,52,32.27,0,2.64
1778414559,35,11370,52,31.91,0,2.64
1778414561,40,11370,52,32.36,0,2.64
1778414563,38,11370,52,32.37,0,2.67
1778414565,40,11370,52,32.50,0,2.67
1778414566,29,11370,52,32.08,0,2.67
1778414568,36,11370,52,32.32,0,2.61
1778414570,39,11370,52,32.14,0,2.61
1778414572,40,11370,52,32.04,0,2.61
1778414573,30,11370,52,32.32,0,2.48
1778414575,39,11370,52,32.69,0,2.48
1778414576,39,11370,52,32.29,0,2.48
1778414577,10,11370,52,28.19,0,2.44
1778414579,33,11370,52,32.62,0,2.44
1778414580,86,11370,55,61.76,0,2.44
1778414582,83,11370,56,94.05,0,2.44
1778414583,78,11370,56,93.58,0,2.33
1778414585,14,11370,55,63.01,0,2.33
1778414586,25,11370,53,42.52,0,2.33
1778414588,28,11370,54,33.76,0,2.38
1778414589,30,11370,53,33.42,0,2.38
1778414591,28,11370,53,33.04,0,2.38
1778414592,25,11370,53,32.46,0,2.38
1778414593,37,11370,53,32.83,0,2.51
1778414595,27,11370,53,32.23,0,2.51
1778414596,36,11370,53,32.45,0,2.51
1778414598,26,11370,53,31.80,0,2.47
1778414599,31,11370,53,32.18,0,2.47
1778414601,34,11370,53,32.01,0,2.47
1778414602,34,11370,53,32.30,0,2.43
1778414604,35,11370,53,32.06,0,2.43
1778414605,38,11370,53,32.21,0,2.43
1778414607,39,11370,53,32.21,0,2.43
1778414608,36,11370,53,32.36,0,2.32
1778414610,39,11370,53,32.03,0,2.32
1778414611,31,11370,53,30.44,0,2.32
1778414612,28,11370,53,32.80,0,2.21
1778414614,82,11370,56,75.63,0,2.21
1778414615,86,11370,57,84.49,0,2.21
1778414617,18,11370,56,75.55,0,2.21
1778414618,24,11370,55,43.58,0,2.11
1778414620,30,11370,54,34.42,0,2.11
1778414622,29,11370,54,33.22,0,2.11
1778414623,30,11370,54,33.28,0,2.03
1778414625,35,11370,54,33.20,0,2.03
1778414626,39,11370,54,32.92,0,2.03
1778414628,38,11370,54,32.87,0,1.94
1778414629,38,11370,54,32.63,0,1.94
1778414631,39,11370,54,32.61,0,1.94
1778414632,39,11370,54,32.59,0,1.87
