ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778414839,31,11370,52,23.10,0,3.16
1778414841,4,1361,52,32.18,0,3.16
1778414842,29,10422,54,48.62,0,3.16
1778414844,31,10422,53,47.23,0,2.99
1778414845,97,10428,66,187.57,30,2.99
1778414847,94,10428,66,211.45,30,2.99
1778414848,96,10428,67,210.48,30,2.99
1778414849,97,10428,67,211.36,30,2.83
1778414851,97,10428,67,211.58,30,2.83
1778414852,96,10428,68,212.06,34,2.83
1778414854,96,10428,68,212.32,38,3.49
1778414855,97,10428,68,212.89,41,3.49
1778414856,96,10428,68,213.17,43,3.49
1778414858,96,10428,68,212.96,44,3.49
1778414859,97,10428,68,212.42,45,3.29
1778414861,97,10428,68,213.09,45,3.29
1778414862,97,10428,67,213.38,46,3.29
1778414863,97,10428,67,213.23,46,3.26
1778414865,96,10428,67,212.71,46,3.26
1778414866,96,10428,67,212.74,46,3.26
1778414868,97,10428,67,212.65,46,3.26
1778414869,96,10428,67,212.83,46,3.08
1778414870,96,10428,68,212.59,46,3.08
1778414872,97,10428,67,212.84,46,3.08
1778414873,97,10428,67,213.15,46,3.08
1778414875,97,10428,67,213.49,46,2.91
1778414876,96,10428,67,213.22,46,2.91
1778414877,97,10428,66,213.24,46,2.91
1778414879,97,10428,67,213.13,46,2.76
1778414880,96,10428,67,213.15,46,2.76
1778414882,97,10428,67,213.07,46,2.76
1778414883,97,10428,66,188.58,46,2.76
1778414884,96,10428,67,213.93,46,2.86
1778414886,97,10428,66,214.15,46,2.86
1778414887,97,10428,67,214.13,46,2.86
1778414889,97,10428,67,214.11,46,2.79
1778414890,97,10428,66,213.93,46,2.79
1778414891,97,10428,67,214.32,46,2.79
1778414893,97,10428,67,214.34,46,2.79
1778414894,97,10428,67,214.47,46,2.65
1778414896,96,10428,67,214.71,46,2.65
