ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778414901,100,10428,52,22.30,45,2.84
1778414902,96,10428,63,167.14,43,2.84
1778414903,96,10428,64,210.69,41,2.93
1778414905,97,10428,65,211.85,40,2.93
1778414906,97,10428,65,212.29,39,2.93
1778414908,97,10428,65,212.18,38,2.93
1778414909,96,10428,65,212.29,37,2.85
1778414910,97,10428,65,213.10,37,2.85
1778414912,97,10428,65,213.22,38,2.85
1778414913,97,10428,66,213.45,38,2.85
1778414915,97,10428,66,213.46,38,2.79
1778414916,96,10428,66,211.81,39,2.79
1778414917,96,10428,66,211.89,39,2.79
1778414919,97,10428,66,212.12,40,3.04
1778414920,96,10430,65,188.77,40,3.04
1778414922,97,10430,66,211.90,40,3.04
1778414923,97,10430,66,212.40,41,3.04
1778414924,96,10430,67,211.93,41,2.88
1778414926,96,10430,67,212.38,41,2.88
1778414927,97,10430,66,212.56,41,2.88
1778414929,97,10430,67,212.27,41,2.73
1778414930,97,10430,66,212.80,42,2.73
1778414931,97,10430,67,212.79,42,2.73
1778414933,97,10430,67,213.49,42,2.73
1778414934,96,10430,66,213.22,42,2.59
1778414936,95,10430,67,213.39,43,2.59
1778414937,96,10430,67,213.11,43,2.59
1778414938,97,10430,67,213.63,43,2.46
1778414940,96,10430,67,213.42,43,2.46
1778414941,96,10430,67,213.85,43,2.46
1778414943,97,10430,67,213.41,44,2.46
1778414944,97,10430,67,213.88,44,2.75
