ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778414949,19,10430,51,24.35,43,2.69
1778414950,97,10430,64,204.15,41,2.69
1778414952,97,10430,64,211.84,39,2.69
1778414953,96,10430,65,212.07,38,2.69
1778414955,97,10430,65,212.01,37,2.63
1778414956,97,10430,65,212.24,37,2.63
1778414957,97,10430,66,212.74,37,2.63
1778414959,97,10430,65,213.13,37,2.50
1778414960,97,10430,66,213.31,38,2.50
1778414962,96,10430,66,213.01,38,2.50
1778414963,96,10430,66,213.69,39,2.50
1778414964,97,10430,66,214.04,40,2.38
1778414966,97,10430,66,214.01,40,2.38
1778414967,96,10430,67,213.96,41,2.38
1778414969,97,10430,67,214.50,41,2.35
1778414970,96,10430,67,214.41,41,2.35
1778414971,97,10430,67,214.54,42,2.35
1778414973,96,10430,67,214.72,42,2.35
1778414974,96,10430,67,215.35,42,2.32
1778414976,96,10430,67,215.43,43,2.32
1778414977,97,10430,67,215.58,43,2.32
1778414978,97,10430,67,215.49,43,2.32
1778414980,97,10430,67,215.77,43,2.29
1778414981,97,10430,67,215.60,44,2.29
1778414983,96,10430,67,215.50,44,2.29
1778414984,96,10428,68,215.90,44,2.19
1778414986,95,10428,67,215.42,44,2.19
1778414987,97,10428,67,215.46,44,2.19
1778414988,97,10428,67,216.03,44,2.19
1778414990,96,10428,67,216.05,45,2.09
1778414991,97,10428,67,216.02,45,2.09
1778414993,97,10428,67,216.23,45,2.09
1778414994,97,10428,68,216.12,45,2.17
1778414995,96,10428,68,216.28,45,2.17
1778414997,96,10428,67,215.93,45,2.17
1778414998,97,10428,67,216.01,45,2.17
1778415000,96,10428,68,216.15,45,2.15
1778415001,97,10428,68,216.35,45,2.15
1778415002,97,10428,67,216.61,45,2.15
1778415004,96,10428,67,216.08,46,3.02
1778415005,97,10428,68,216.13,46,3.02
1778415007,96,10428,68,216.53,46,3.02
1778415008,96,10428,68,216.11,45,3.02
1778415009,97,10428,67,216.21,46,2.86
1778415011,3,10428,56,101.24,46,2.86
1778415012,97,10428,67,218.21,46,2.86
1778415014,97,10428,67,215.37,45,2.86
1778415015,97,10428,67,215.60,46,2.71
1778415016,97,10428,67,215.65,46,2.71
1778415018,96,10428,67,215.81,46,2.71
1778415019,96,10428,67,215.75,46,2.73
1778415021,97,10428,67,215.81,46,2.73
1778415022,96,10428,67,215.97,46,2.73
