ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778415026,12,10428,52,24.60,45,2.67
1778415028,97,10428,64,200.62,44,2.67
1778415029,97,10428,64,211.73,42,2.54
1778415031,97,10428,65,212.04,41,2.54
1778415032,96,10428,65,212.23,40,2.54
1778415033,97,10428,66,212.71,39,2.54
1778415035,96,10428,66,212.62,39,2.42
1778415036,96,10428,66,213.21,39,2.42
1778415038,97,10428,66,212.86,39,2.42
1778415039,97,10428,66,213.94,39,2.30
1778415040,97,10428,66,214.35,40,2.30
1778415042,97,10428,66,213.89,40,2.30
1778415043,97,10428,67,214.13,40,2.30
1778415045,97,10428,67,214.36,41,2.36
1778415046,96,10428,67,214.85,41,2.36
1778415047,97,10428,67,215.02,42,2.36
1778415049,96,10428,67,214.99,42,2.36
1778415050,96,10428,67,215.32,43,2.25
1778415052,97,10428,67,215.36,43,2.25
1778415053,97,10428,67,215.17,43,2.25
1778415054,96,10428,67,215.70,44,2.15
1778415056,96,10428,67,215.40,44,2.15
1778415057,97,10428,67,215.47,44,2.15
1778415059,97,10428,67,215.69,44,2.15
1778415060,97,10428,67,215.58,44,2.14
1778415061,96,10428,67,215.69,45,2.14
1778415063,97,10428,67,216.14,45,2.14
1778415064,97,10428,68,215.60,45,2.21
1778415066,97,10428,68,215.63,45,2.21
1778415067,97,10428,68,215.66,45,2.21
1778415068,96,10428,67,215.90,45,2.21
1778415070,96,10428,68,216.32,45,2.11
1778415071,97,10428,67,215.92,46,2.11
1778415073,97,10428,68,216.20,46,2.11
1778415074,97,10428,68,215.96,46,2.18
1778415075,96,10428,68,216.02,46,2.18
1778415077,97,10428,68,216.33,46,2.18
1778415078,97,10428,68,216.70,46,2.18
1778415080,97,10428,68,216.06,46,2.33
1778415081,97,10428,68,216.39,46,2.33
1778415082,97,10428,68,216.07,46,2.33
1778415084,96,10428,67,216.22,46,2.33
1778415085,97,10428,67,215.74,46,2.22
1778415087,97,10428,68,216.10,46,2.22
1778415088,96,10428,68,216.04,46,2.22
1778415089,97,10428,68,216.74,46,2.20
1778415091,97,10428,67,216.32,46,2.20
1778415092,97,10428,68,216.72,46,2.20
1778415094,97,10428,68,216.50,46,2.20
1778415095,96,10428,68,216.66,47,2.27
1778415096,97,10428,68,216.12,46,2.27
1778415098,97,10428,68,216.70,46,2.27
1778415099,97,10428,68,215.74,47,2.24
1778415101,96,10428,68,216.51,47,2.24
1778415102,97,10428,68,216.65,47,2.24
1778415103,97,10413,67,211.15,47,2.24
1778415105,97,10413,67,209.70,47,2.14
1778415106,96,10413,67,209.62,47,2.14
1778415108,97,10413,67,209.51,47,2.14
1778415110,97,10413,67,209.56,47,2.05
1778415111,97,10413,67,209.12,47,2.05
1778415113,96,10413,67,209.62,47,2.05
1778415115,97,10413,67,209.47,47,1.97
1778415116,97,10413,67,209.16,47,1.97
1778415118,97,10413,67,208.77,47,1.97
1778415119,97,10413,67,209.25,47,1.89
1778415120,97,10413,67,209.12,47,1.89
1778415122,97,10413,67,208.97,47,1.89
1778415124,97,10413,66,208.84,47,1.89
1778415125,97,10413,67,208.96,47,1.82
1778415127,97,10413,66,208.94,47,1.82
1778415129,97,10413,67,209.22,47,1.82
1778415130,97,10413,67,209.16,47,2.55
1778415132,97,10413,67,208.96,47,2.55
1778415134,97,10413,66,209.16,47,2.55
1778415135,97,10413,67,209.22,47,2.43
1778415137,97,10413,67,209.07,47,2.43
1778415138,97,10413,67,209.06,47,2.43
1778415140,97,10413,67,209.56,47,2.31
1778415142,97,10413,67,209.42,47,2.31
1778415144,97,10413,67,209.22,47,2.31
1778415145,97,10413,67,209.57,47,2.21
1778415147,97,10413,67,209.37,47,2.21
1778415148,97,10413,67,209.53,47,2.21
1778415150,97,10413,66,209.28,47,2.43
1778415151,97,10413,67,209.38,47,2.43
1778415153,97,10413,67,209.53,47,2.43
1778415154,97,10413,66,208.59,47,2.43
1778415155,96,10413,67,209.09,47,2.40
1778415157,97,10413,67,208.90,47,2.40
1778415158,97,10413,67,208.97,47,2.40
1778415160,97,10413,67,209.15,47,2.29
1778415161,97,10413,67,209.33,47,2.29
1778415162,97,10413,67,209.19,47,2.29
1778415164,97,10413,66,208.96,47,2.29
1778415165,97,10413,66,209.41,47,2.18
1778415167,96,10413,66,208.87,47,2.18
1778415168,97,10413,66,209.23,47,2.18
1778415169,96,10413,66,209.03,47,2.09
1778415171,97,10413,67,208.91,47,2.09
1778415172,97,10413,66,208.74,47,2.09
1778415174,97,10413,67,209.04,47,2.09
1778415175,96,10413,66,209.05,47,2.16
1778415176,96,10413,66,208.94,47,2.16
1778415178,97,10413,67,208.83,47,2.16
1778415179,97,10413,66,208.90,47,2.15
1778415181,97,10413,66,209.19,47,2.15
1778415183,97,10413,66,208.66,47,2.15
1778415184,97,10413,67,208.91,47,2.15
