ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778415221,27,10413,51,21.61,47,1.84
1778415222,97,10413,63,199.59,44,1.84
1778415224,97,10413,64,204.56,43,1.84
1778415225,97,10413,64,205.35,41,1.77
1778415226,97,10413,65,205.43,40,1.77
1778415228,96,10413,64,205.39,39,1.77
1778415229,96,10413,65,204.54,39,1.77
1778415231,96,10413,65,203.52,38,1.71
1778415232,97,10413,65,204.04,38,1.71
1778415234,96,10413,65,204.47,39,1.71
1778415235,96,10413,65,204.44,39,1.73
1778415237,97,10413,66,204.77,39,1.73
1778415238,97,10413,66,204.77,39,1.73
1778415239,97,10413,66,204.94,39,1.73
1778415241,97,10413,66,205.18,39,1.67
1778415242,96,10413,66,205.47,39,1.67
1778415244,97,10413,66,205.63,39,1.67
1778415245,96,10413,66,205.96,40,1.78
1778415247,97,10413,66,205.73,40,1.78
1778415248,97,10413,66,206.17,41,1.78
1778415250,97,10413,67,206.51,41,1.80
1778415251,97,10413,67,206.76,41,1.80
1778415253,97,10413,67,206.53,42,1.80
1778415254,97,10413,67,206.54,42,1.80
1778415256,97,10413,67,206.59,42,1.73
1778415257,97,10413,67,206.83,42,1.73
1778415258,96,10413,67,206.69,43,1.73
1778415260,97,10413,67,207.11,43,1.67
1778415261,97,10413,67,207.07,43,1.67
1778415263,97,10413,67,206.88,43,1.67
1778415264,96,10413,67,207.12,43,1.67
1778415266,96,10413,67,206.96,43,1.62
1778415267,97,10413,67,207.07,44,1.62
1778415268,97,10413,67,207.23,44,1.62
1778415270,97,10413,67,207.63,44,1.57
1778415271,96,10413,67,207.57,44,1.57
1778415273,97,10413,67,207.93,44,1.57
1778415274,96,10413,67,207.34,44,1.57
1778415275,97,10413,67,207.36,44,1.52
1778415277,97,10413,67,207.58,44,1.52
1778415278,96,10413,67,207.53,44,1.52
1778415280,96,10413,67,207.41,44,1.48
1778415281,97,10413,67,208.79,44,1.48
1778415283,97,10413,67,209.67,44,1.48
1778415284,96,10413,67,209.53,45,1.48
1778415285,97,10413,67,209.56,45,1.44
1778415287,97,10413,67,209.31,45,1.44
1778415288,97,10413,67,209.78,45,1.44
1778415290,97,10413,67,209.42,45,1.44
1778415291,97,10413,67,209.60,45,1.41
1778415292,97,10413,67,209.79,45,1.41
1778415294,97,10413,67,209.91,45,1.41
1778415295,97,10413,67,209.56,45,1.46
1778415297,97,10413,67,209.65,45,1.46
1778415298,96,10413,67,209.14,45,1.46
1778415300,97,10413,67,209.13,45,1.42
1778415301,97,10413,67,209.14,45,1.42
1778415303,97,10413,67,209.49,45,1.42
1778415304,96,10413,67,209.45,45,1.42
1778415305,97,10413,67,209.33,46,1.46
1778415307,96,10413,67,209.26,45,1.46
1778415308,97,10413,67,209.21,46,1.46
1778415309,97,10413,68,209.78,45,1.46
1778415311,97,10413,67,209.61,46,1.51
1778415312,97,10413,67,209.61,46,1.51
1778415314,97,10413,67,209.36,46,1.51
1778415315,97,10413,67,209.41,46,1.55
1778415317,97,10413,67,209.53,46,1.55
1778415318,96,10413,67,209.23,46,1.55
1778415319,97,10413,67,210.12,46,1.55
1778415321,97,10413,67,209.25,46,1.58
1778415322,97,10413,67,209.65,46,1.58
1778415323,97,10413,67,209.59,46,1.58
1778415325,97,10413,66,209.65,46,2.66
1778415326,97,10413,67,210.09,46,2.66
1778415328,97,10413,67,210.16,46,2.66
1778415329,97,10413,67,209.57,46,2.66
1778415331,97,10413,67,209.41,46,2.52
1778415332,97,10413,67,210.06,46,2.52
1778415333,97,10413,67,209.54,46,2.52
1778415335,97,10413,67,209.65,46,2.48
1778415336,97,10413,67,209.99,46,2.48
1778415338,96,10413,67,209.67,46,2.48
1778415339,96,10413,67,209.75,46,2.48
1778415340,96,10413,67,209.78,46,2.36
1778415342,96,10413,67,209.59,46,2.36
1778415343,96,10413,67,210.21,46,2.36
1778415345,97,10421,67,209.50,46,2.36
1778415346,96,10420,67,209.65,46,2.25
1778415348,97,10420,67,209.80,46,2.25
1778415349,97,10420,67,209.53,46,2.25
1778415350,97,10420,67,209.02,46,2.15
1778415352,97,10420,67,209.35,46,2.15
1778415353,97,10420,67,209.59,46,2.15
1778415355,96,10420,67,209.37,46,2.15
