ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778415359,25,10420,52,22.24,46,2.22
1778415361,97,10420,64,182.82,44,2.20
1778415362,97,10420,64,205.25,43,2.20
1778415364,97,10420,65,206.49,42,2.20
1778415365,97,10420,65,206.00,41,3.47
1778415367,97,10420,65,205.57,40,3.47
1778415368,97,10420,65,206.07,40,3.47
1778415369,97,10420,66,206.01,40,3.47
1778415371,97,10420,66,206.17,40,3.35
1778415372,97,10420,66,206.00,40,3.35
1778415374,97,10420,66,206.45,40,3.35
1778415375,97,10420,66,206.67,40,3.40
1778415377,97,10420,66,207.37,40,3.40
1778415378,97,10420,66,207.32,40,3.40
1778415379,97,10420,66,203.40,41,3.40
1778415381,96,10420,67,208.05,41,3.21
1778415382,97,10420,67,207.97,41,3.21
1778415383,97,10420,67,207.88,41,3.21
1778415385,97,10420,67,207.66,42,3.21
1778415386,96,10420,67,208.01,42,3.03
1778415388,96,10420,67,208.48,42,3.03
1778415389,96,10420,67,208.63,43,3.03
1778415391,96,10420,67,208.59,43,2.95
1778415392,97,10420,67,209.02,43,2.95
1778415393,97,10420,67,209.22,43,2.95
1778415395,97,10420,67,209.38,43,2.95
1778415396,97,10420,67,209.49,44,2.79
1778415398,96,10420,67,209.52,44,2.79
1778415399,96,10420,67,209.17,44,2.79
1778415401,97,10420,67,209.58,44,2.73
1778415402,97,10420,67,209.75,44,2.73
1778415403,97,10420,67,209.64,44,2.73
1778415405,97,10420,67,209.23,45,2.73
1778415406,97,10420,68,209.67,45,2.59
1778415408,96,10420,67,209.51,45,2.59
1778415409,97,10420,67,209.36,45,2.59
1778415410,97,10420,67,209.43,45,2.46
1778415412,97,10420,67,210.01,45,2.46
1778415413,97,10420,67,209.77,45,2.46
1778415415,97,10420,67,209.36,45,2.46
1778415416,97,10420,67,209.72,45,2.51
1778415417,97,10420,67,209.43,45,2.51
1778415419,97,10420,67,209.57,45,2.51
1778415420,97,10420,67,209.38,45,2.38
1778415422,97,10420,67,209.29,46,2.38
1778415423,97,10420,67,209.46,46,2.38
1778415425,96,10420,67,209.59,46,2.38
1778415426,97,10420,67,209.56,46,2.35
1778415427,97,10420,67,209.54,46,2.35
1778415429,97,10420,67,209.44,46,2.35
1778415430,97,10420,67,209.40,46,2.25
1778415432,97,10420,67,209.18,46,2.25
1778415433,97,10420,67,209.38,46,2.25
1778415434,97,10420,67,209.13,46,2.25
1778415436,97,10420,67,209.34,46,2.15
1778415437,97,10420,67,209.12,46,2.15
1778415439,97,10420,67,209.30,46,2.15
1778415440,97,10420,67,209.15,46,2.05
1778415442,97,10420,67,209.65,46,2.05
1778415443,97,10420,68,209.61,46,2.05
1778415444,97,10420,67,209.42,46,2.05
1778415446,97,10420,67,209.48,46,1.97
1778415447,97,10420,67,209.79,46,1.97
1778415449,97,10420,67,209.70,46,1.97
1778415450,97,10420,67,209.62,46,1.97
1778415451,97,10420,67,209.30,46,1.89
1778415453,97,10420,67,209.70,46,1.89
1778415454,96,10420,67,209.70,46,1.89
1778415456,96,10420,67,209.29,46,1.82
1778415457,97,10420,67,209.67,46,1.82
1778415459,96,10420,67,209.72,46,1.82
1778415460,97,10420,67,209.82,46,1.82
1778415461,97,10420,68,209.67,46,1.75
