ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778415467,10,10601,52,25.23,46,1.85
1778415468,4,11346,52,34.74,45,1.85
1778415469,3,11346,52,48.03,42,1.85
1778415471,22,11346,51,35.15,39,1.86
1778415473,24,11348,50,36.08,37,1.86
1778415474,5,11348,50,35.56,35,1.86
1778415475,53,11348,52,49.46,33,1.88
1778415477,15,11356,51,73.54,31,1.88
1778415478,58,11356,50,48.03,30,1.88
1778415480,50,11358,51,62.43,30,1.88
1778415481,20,11358,51,64.85,30,1.81
1778415483,28,11358,49,41.01,30,1.81
1778415484,29,11358,48,34.55,30,1.81
1778415486,33,11358,48,33.90,30,1.82
1778415487,29,11358,48,33.09,30,1.82
1778415489,8,11358,47,29.63,30,1.82
1778415490,31,11358,48,33.26,30,1.82
1778415491,36,11358,47,32.97,30,1.75
1778415493,29,11358,47,32.64,30,1.75
1778415494,31,11358,46,32.19,30,1.75
1778415496,34,11358,46,32.53,30,1.85
1778415497,32,11358,46,32.03,30,1.85
1778415499,33,11358,46,32.40,30,1.85
1778415500,39,11358,45,31.66,30,1.85
1778415502,45,11358,46,31.77,30,1.87
1778415503,33,11358,45,31.51,30,1.87
1778415505,34,11358,45,32.00,30,1.87
1778415506,32,11358,44,31.66,30,1.96
1778415508,7,11358,44,30.39,30,1.96
1778415509,38,11358,44,31.73,30,1.96
1778415510,60,11358,46,30.25,30,1.96
1778415512,20,11358,44,33.67,30,1.96
1778415513,15,11358,46,60.72,30,1.96
1778415515,15,11358,46,71.28,30,1.96
1778415516,16,11358,45,61.97,30,1.88
1778415518,22,11358,44,32.90,30,1.88
1778415519,25,11358,43,32.46,30,1.88
1778415521,28,11358,43,31.91,30,1.81
1778415522,32,11358,43,31.49,30,1.81
1778415524,33,11358,43,30.77,30,1.81
1778415525,35,11358,43,28.67,30,1.81
1778415526,33,11358,43,30.75,0,1.83
1778415528,36,11358,42,30.45,0,1.83
1778415529,34,11358,43,30.18,0,1.83
1778415531,36,11358,43,30.81,0,1.84
1778415532,36,11358,43,30.53,0,1.84
1778415534,35,11358,43,31.07,0,1.84
1778415535,32,11358,43,30.99,0,1.84
1778415537,35,11358,43,30.65,0,1.77
1778415538,38,11358,44,30.82,0,1.77
1778415540,37,11358,43,27.73,0,1.77
1778415541,31,11358,43,30.69,0,1.71
1778415542,18,11358,44,37.63,0,1.71
1778415544,5,11358,44,32.75,0,1.71
1778415545,32,11358,44,33.29,0,1.71
1778415547,55,11358,44,31.22,0,1.97
1778415548,26,11358,45,33.99,0,1.97
1778415550,27,11358,44,32.32,0,1.97
1778415551,28,11358,45,31.59,0,2.70
1778415553,28,11358,44,31.10,0,2.70
1778415554,32,11358,44,31.06,0,2.70
