ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778415559,73,11358,44,17.93,0,2.72
1778415561,19,11358,47,71.08,0,2.66
1778415562,60,11358,46,53.31,0,2.66
1778415564,59,11358,48,67.90,0,2.66
1778415565,15,11358,48,63.11,0,2.66
1778415567,28,11358,46,34.27,0,2.53
1778415568,31,11358,46,33.78,0,2.53
1778415569,26,11358,47,32.97,0,2.53
1778415571,30,11358,46,32.58,0,2.41
1778415572,36,11358,47,32.26,0,2.41
1778415574,32,11358,46,32.34,0,2.41
1778415575,38,11358,46,31.85,0,2.41
1778415577,38,11358,46,31.53,0,2.29
1778415578,33,11358,46,32.22,0,2.29
1778415580,40,11358,46,32.36,0,2.29
1778415581,45,11358,47,32.29,0,2.19
1778415582,33,11358,46,32.08,0,2.19
1778415584,35,11358,47,31.96,0,2.19
1778415585,46,11358,47,32.16,0,2.19
1778415587,33,11358,47,31.74,0,2.25
1778415588,45,11358,47,31.94,0,2.25
1778415590,50,11358,47,29.70,0,2.25
1778415591,31,11358,47,32.16,0,2.47
1778415593,35,11358,47,32.15,0,2.47
1778415594,35,11358,47,32.13,0,2.47
1778415596,32,11358,47,32.09,0,2.47
1778415597,37,11358,47,31.91,0,2.36
1778415598,36,11358,47,32.01,0,2.36
1778415600,35,11358,47,31.99,0,2.36
1778415601,41,11358,47,32.00,0,2.25
1778415603,41,11358,48,31.86,0,2.25
1778415604,36,11358,47,32.00,0,2.25
1778415606,33,11358,47,32.08,0,2.15
1778415607,36,11358,48,32.00,0,2.15
1778415609,35,11358,47,31.73,0,2.15
1778415610,41,11358,48,31.55,0,2.15
1778415612,35,11358,48,31.64,0,2.05
1778415613,40,11358,48,32.01,0,2.05
1778415615,34,11358,48,31.99,0,2.05
1778415616,36,11358,48,31.81,0,1.97
1778415618,37,11358,48,29.20,0,1.97
1778415619,65,11358,48,31.98,0,1.97
1778415620,23,11358,49,36.29,0,1.97
1778415622,61,11358,48,32.75,0,1.97
1778415623,15,11358,50,62.06,0,1.97
1778415625,12,11358,50,42.01,0,1.97
1778415626,16,11358,51,63.02,0,1.89
1778415628,23,11358,49,33.65,0,1.89
