ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778415910,28,11357,51,17.74,0,2.50
1778415911,53,11357,55,75.90,0,2.50
1778415912,17,11357,55,64.58,0,2.38
1778415914,30,11357,53,41.36,0,2.38
1778415915,31,11357,52,35.18,0,2.38
1778415917,34,11357,52,34.62,0,2.27
1778415918,36,11357,52,33.94,0,2.27
1778415920,38,11357,52,33.77,0,2.27
1778415921,38,11357,52,33.26,0,2.27
1778415923,41,11357,53,33.45,0,2.09
1778415924,30,11357,52,33.15,0,2.09
1778415926,33,11357,53,33.07,0,2.09
1778415927,33,11357,53,32.92,0,2.24
1778415929,36,11357,53,32.80,0,2.24
1778415930,36,11357,52,32.46,0,2.24
1778415931,41,11357,52,32.47,0,2.24
1778415933,33,11357,52,32.43,0,2.14
1778415934,43,11357,53,32.63,0,2.14
1778415936,35,11357,52,32.65,0,2.14
1778415937,40,11357,53,32.90,0,2.05
1778415939,32,11357,52,32.80,0,2.05
1778415940,35,11357,52,32.53,0,2.05
1778415942,45,11357,52,32.69,0,1.96
1778415943,19,11357,55,54.43,0,1.96
1778415944,17,11369,55,64.31,0,1.96
1778415946,44,11369,53,32.95,0,1.96
1778415947,26,11368,53,34.40,0,1.89
1778415949,30,11368,53,33.84,0,1.89
1778415950,34,11368,53,33.33,0,1.89
1778415952,38,11368,53,32.88,0,1.90
1778415953,44,11368,53,31.23,0,1.90
1778415955,32,11368,53,32.82,0,1.90
1778415956,42,11368,53,32.96,0,1.90
1778415958,34,11368,53,32.67,0,1.74
1778415959,18,11368,55,49.55,0,1.74
1778415961,26,11368,54,61.58,0,1.74
1778415962,23,11368,53,34.88,0,1.84
1778415964,25,11368,54,34.05,0,1.84
1778415965,32,11368,53,33.86,0,1.84
1778415967,37,11368,53,32.95,0,2.18
1778415968,32,11368,54,32.90,0,2.18
1778415970,36,11368,54,32.79,0,2.18
1778415971,39,11368,53,32.64,0,2.18
1778415973,35,11368,53,32.47,0,2.40
1778415974,36,11368,53,32.65,0,2.40
1778415976,37,11368,53,32.59,0,2.40
1778415977,38,11368,53,32.39,0,2.69
1778415979,39,11368,53,32.43,0,2.69
1778415980,39,11368,54,32.51,0,2.69
1778415981,38,11368,53,32.69,0,2.71
1778415983,40,11368,53,33.04,0,2.71
1778415984,38,11368,53,32.44,0,2.71
1778415986,40,11368,53,32.67,0,2.71
1778415987,39,11368,53,32.23,0,2.74
1778415989,36,11368,53,32.26,0,2.74
1778415990,39,11368,53,32.52,0,2.74
1778415992,39,11368,53,32.51,0,2.68
1778415993,39,11368,53,32.42,0,2.68
1778415995,37,11368,53,32.45,0,2.68
1778415996,34,11368,53,32.30,0,2.68
1778415998,37,11368,53,32.24,0,2.70
1778415999,39,11368,53,32.41,0,2.70
1778416001,34,11368,53,32.38,0,2.70
1778416002,38,11368,53,32.38,0,2.65
1778416004,32,11368,53,32.34,0,2.65
1778416005,35,11368,54,32.41,0,2.65
1778416007,33,11368,54,32.29,0,2.83
1778416008,39,11368,54,32.94,0,2.83
1778416010,38,11368,53,32.69,0,2.83
1778416011,39,11368,53,32.56,0,2.83
1778416012,40,11368,53,32.60,0,2.85
1778416014,39,11368,53,32.80,0,2.85
1778416015,41,11368,53,32.58,0,2.85
1778416017,35,11368,53,32.54,0,2.86
1778416018,55,11368,56,63.39,0,2.86
1778416020,15,11368,56,75.07,0,2.86
1778416021,22,11368,55,58.69,0,2.86
1778416023,25,11368,55,34.73,0,2.79
1778416024,27,11368,54,33.74,0,2.79
1778416026,30,11368,54,33.34,0,2.79
1778416027,33,11368,54,33.39,0,2.73
1778416029,68,11368,55,33.26,0,2.73
1778416030,15,11368,56,63.37,0,2.73
1778416032,25,11368,54,34.31,0,2.83
1778416033,27,11368,54,33.79,0,2.83
1778416035,30,11368,54,33.67,0,2.83
1778416036,34,11368,54,32.81,0,2.83
1778416037,36,11368,54,33.21,0,2.76
1778416039,40,11368,54,32.98,0,2.76
1778416041,37,11368,54,32.27,0,2.76
1778416042,31,11368,54,32.57,0,2.62
1778416044,39,11368,54,32.77,0,2.62
1778416045,32,11368,54,32.43,0,2.62
1778416047,34,11368,54,32.85,0,2.49
1778416048,34,11368,54,32.45,0,2.49
1778416050,39,11368,54,32.45,0,2.49
1778416051,42,11368,54,32.68,0,2.49
1778416053,39,11368,54,32.63,0,2.45
1778416054,11,11368,54,31.71,0,2.45
1778416055,38,11368,54,33.42,0,2.45
1778416057,38,11368,54,34.17,0,2.50
1778416058,37,11368,54,34.60,0,2.50
1778416060,36,11368,54,34.64,0,2.50
1778416061,34,11368,54,34.38,0,2.50
1778416063,39,11368,54,34.42,0,2.46
1778416064,39,11368,54,34.45,0,2.46
1778416066,35,11368,54,34.18,0,2.46
