ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778416071,93,11368,53,19.22,0,2.34
1778416073,57,11368,64,81.65,0,2.31
1778416074,18,11368,57,76.08,0,2.31
1778416076,28,11368,55,50.10,0,2.31
1778416077,27,11368,55,35.89,0,2.53
1778416078,33,11368,55,35.58,0,2.53
1778416080,28,11368,54,34.88,0,2.53
1778416082,38,11368,55,34.64,0,2.53
1778416083,40,11368,55,34.84,0,2.56
1778416085,34,11368,54,34.28,0,2.56
1778416086,44,11368,55,34.19,0,2.56
1778416088,40,11368,54,33.89,0,2.44
1778416089,39,11368,55,33.56,0,2.44
1778416091,32,11368,55,33.67,0,2.44
1778416092,34,11368,54,33.51,0,2.64
1778416093,41,11368,55,33.81,0,2.64
1778416095,33,11368,54,33.75,0,2.64
1778416096,32,11368,54,33.58,0,2.64
1778416098,39,11368,55,33.72,0,2.59
1778416099,37,11368,55,33.46,0,2.59
1778416101,45,11368,55,33.82,0,2.38
1778416103,35,11368,54,33.46,0,2.38
1778416105,34,11368,54,33.25,0,2.38
1778416106,43,11368,55,33.65,0,2.38
1778416108,33,11368,55,33.28,0,2.59
1778416109,34,11368,54,33.24,0,2.59
1778416111,34,11368,54,33.23,0,2.59
1778416112,41,11368,55,33.07,0,2.71
1778416114,41,11368,55,33.43,0,2.71
1778416115,33,11368,54,33.38,0,2.71
1778416117,32,11368,55,33.10,0,2.65
1778416118,42,11368,55,33.38,0,2.65
1778416120,33,11368,55,33.40,0,2.65
1778416121,34,11368,55,33.53,0,2.65
1778416123,37,11368,54,33.36,0,2.60
1778416124,38,11368,54,33.47,0,2.60
1778416126,40,11368,55,34.11,0,2.60
1778416127,35,11368,55,33.87,0,2.87
1778416129,42,11368,55,33.96,0,2.87
1778416130,38,11368,55,33.77,0,2.87
1778416132,35,11368,54,33.50,0,3.12
1778416133,37,11368,55,33.70,0,3.12
1778416135,37,11368,54,33.39,0,3.12
1778416136,34,11368,55,33.26,0,3.12
1778416138,37,11368,54,33.81,0,3.03
1778416139,36,11368,54,33.53,0,3.03
1778416141,39,11368,55,33.56,0,3.03
1778416142,39,11368,55,33.26,0,2.95
1778416144,37,11368,55,33.47,0,2.95
1778416145,39,11368,55,33.63,0,2.95
1778416147,39,11368,55,33.41,0,2.79
1778416148,37,11368,54,33.18,0,2.79
1778416150,38,11368,55,33.51,0,2.79
1778416151,40,11368,55,33.85,0,2.79
1778416153,38,11368,54,33.32,0,2.81
1778416154,33,11368,54,33.21,0,2.81
1778416156,39,11368,55,33.53,0,2.81
1778416157,38,11368,55,33.58,0,2.66
1778416159,39,11368,55,33.55,0,2.66
1778416160,34,11368,55,33.32,0,2.66
1778416162,36,11368,55,33.87,0,2.66
1778416163,39,11368,54,33.58,0,2.61
1778416165,41,11368,54,33.25,0,2.61
1778416166,40,11368,54,33.30,0,2.61
1778416168,38,11368,54,33.33,0,2.48
1778416169,41,11368,54,33.14,0,2.48
1778416170,37,11368,54,33.22,0,2.48
1778416172,32,11368,55,33.16,0,2.52
1778416173,39,11368,55,33.35,0,2.52
1778416175,40,11368,54,33.32,0,2.52
1778416176,41,11368,55,33.22,0,2.52
1778416178,37,11368,55,33.36,0,2.48
1778416179,37,11368,54,33.00,0,2.48
1778416181,39,11368,55,33.19,0,2.48
1778416182,39,11368,54,33.16,0,2.36
1778416184,38,11368,55,33.30,0,2.36
1778416185,41,11368,54,33.19,0,2.36
1778416187,32,11368,54,33.19,0,2.57
1778416188,34,11368,55,32.82,0,2.57
1778416190,37,11368,55,33.13,0,2.57
1778416191,40,11368,55,33.26,0,2.57
1778416193,39,11368,55,33.32,0,2.53
1778416194,42,11368,55,33.03,0,2.53
1778416196,37,11368,55,33.06,0,2.53
1778416197,31,11368,54,32.82,0,2.64
1778416199,38,11368,55,33.13,0,2.64
1778416200,33,11368,55,32.81,0,2.64
1778416202,39,11270,54,33.21,0,2.51
1778416203,23,11270,55,31.96,0,2.51
1778416205,35,11270,54,31.41,0,2.51
1778416206,40,11270,54,31.88,0,2.51
1778416208,33,11270,54,31.62,0,2.47
1778416210,30,11270,54,31.23,0,2.47
1778416211,42,11270,54,31.19,0,2.47
1778416212,22,11270,54,31.43,0,2.51
1778416214,40,11270,55,31.52,0,2.51
1778416215,39,11270,55,31.86,0,2.51
1778416217,23,11270,55,31.36,0,2.63
1778416218,25,11270,55,31.13,0,2.63
1778416220,24,11270,55,30.96,0,2.63
1778416221,44,11270,54,30.92,0,2.63
1778416223,39,11270,55,33.09,0,2.74
1778416224,39,11270,54,32.78,0,2.74
1778416226,37,11270,55,33.00,0,2.74
1778416227,39,11270,54,32.78,0,2.84
1778416229,35,11270,55,32.75,0,2.84
1778416230,39,11270,54,33.15,0,2.84
1778416231,38,11270,54,33.09,0,2.84
1778416233,39,11270,55,33.19,0,2.69
1778416234,39,11270,55,33.01,0,2.69
1778416236,34,11270,55,32.95,0,2.69
1778416237,39,11270,55,32.93,0,2.72
1778416239,38,11270,55,33.33,0,2.72
1778416240,36,11270,55,33.08,0,2.72
1778416241,35,11270,54,33.00,0,2.72
1778416243,39,11270,54,32.68,0,2.82
1778416244,36,11270,55,32.49,0,2.82
1778416246,38,11270,54,32.75,0,2.82
1778416247,39,11270,55,32.68,0,2.75
1778416249,36,11270,55,32.74,0,2.75
1778416250,39,11270,54,32.60,0,2.75
1778416252,33,11270,54,32.76,0,2.75
1778416253,39,11270,55,32.88,0,2.77
1778416255,40,11270,54,32.96,0,2.77
1778416256,40,11270,54,32.53,0,2.77
1778416258,39,11270,54,32.75,0,2.87
1778416259,39,11270,54,32.60,0,2.87
1778416261,39,11270,55,32.77,0,2.87
1778416262,40,11270,55,32.81,0,2.88
1778416263,32,11400,55,32.68,0,2.88
1778416265,21,11400,56,46.50,0,2.88
