ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778416492,35,11401,54,18.43,0,3.85
1778416494,51,11401,58,80.96,0,3.85
1778416496,18,11401,57,66.74,0,3.85
1778416497,30,11401,56,40.03,0,3.54
1778416499,28,11401,56,35.37,0,3.54
1778416501,34,11401,55,34.81,0,3.42
1778416504,39,11401,55,34.53,0,3.42
1778416508,37,11401,55,34.32,0,3.39
1778416510,36,11401,55,34.12,0,3.39
1778416512,34,11401,55,33.79,0,3.83
1778416515,34,11401,55,33.99,0,3.83
1778416517,33,11401,55,34.26,0,3.85
1778416519,36,11401,56,34.07,0,3.85
1778416521,36,11401,55,33.71,0,3.85
1778416523,33,11401,55,33.88,0,3.94
1778416524,44,11401,56,34.12,0,3.94
1778416526,38,11401,55,33.91,0,3.94
1778416527,34,11401,55,33.77,0,3.70
1778416530,43,11401,56,33.64,0,3.70
1778416533,35,11401,56,33.97,0,4.21
1778416535,61,11401,64,72.87,0,4.21
1778416537,14,11401,59,65.71,0,4.11
1778416538,27,11401,56,36.17,0,4.11
1778416540,33,11401,56,35.34,0,4.11
1778416542,28,11401,56,34.12,0,3.86
1778416544,32,11401,56,34.27,0,3.86
1778416546,34,11401,56,33.94,0,3.86
1778416547,39,11401,56,33.82,0,3.87
1778416550,36,11401,56,33.80,0,3.87
1778416552,37,11401,56,33.60,0,3.72
1778416554,35,11401,56,33.39,0,3.72
1778416556,38,11401,56,33.51,0,3.72
1778416557,38,11401,56,33.95,0,4.38
1778416559,40,11401,56,33.83,0,4.38
1778416561,37,11401,56,33.77,0,4.38
1778416562,38,11401,56,33.88,0,4.43
1778416565,38,11401,56,33.66,0,4.43
1778416566,38,11401,56,33.85,0,4.43
1778416568,38,11401,56,33.75,0,4.40
1778416572,35,11401,56,33.49,0,4.29
1778416573,35,11401,56,33.41,0,4.29
1778416575,37,11401,56,33.75,0,4.29
1778416577,36,11401,55,33.58,0,4.29
1778416578,40,11401,56,33.34,0,4.18
1778416580,40,11401,56,33.38,0,4.18
1778416582,39,11401,56,33.25,0,4.81
1778416584,37,11401,56,33.51,0,4.81
1778416585,33,11401,56,33.38,0,4.81
1778416587,21,11401,56,40.82,0,7.63
1778416590,26,11401,56,34.74,0,7.63
1778416592,29,11401,56,34.14,0,7.18
1778416594,33,11401,56,33.88,0,7.18
1778416596,32,11401,55,33.38,0,7.18
1778416598,39,11401,56,33.54,0,7.08
1778416600,32,11401,55,33.59,0,7.08
1778416602,32,11401,55,32.93,0,6.67
1778416604,40,11401,56,33.28,0,6.67
1778416607,32,11401,55,33.00,0,6.46
1778416609,41,11401,56,33.33,0,6.46
1778416611,34,11401,55,32.90,0,6.46
1778416613,39,11401,55,33.24,0,6.10
1778416614,40,11401,56,33.12,0,6.10
1778416616,34,11401,55,32.88,0,6.10
1778416618,38,11401,56,32.82,0,5.77
