ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778416702,34,11401,48,16.79,0,4.67,15.5,68.9,75
1778416704,23,11401,51,63.95,0,5.17,13.5,69.0,75
1778416706,27,11401,49,35.55,0,5.17,12.7,68.9,75
1778416708,32,11401,50,34.50,0,5.16,14.2,68.9,75
1778416710,28,11401,50,33.51,0,5.16,12.5,69.1,75
1778416711,37,11401,49,33.47,0,5.16,12.2,69.0,75
1778416713,32,11401,49,32.94,0,4.83,13.4,69.0,75
1778416715,39,11401,49,32.80,0,4.83,12.3,69.0,75
1778416717,37,11401,49,32.37,0,4.83,13.0,68.9,75
1778416719,44,11401,49,32.55,0,4.52,13.4,69.0,75
1778416721,45,11401,50,32.71,0,4.52,13.2,69.1,75
1778416722,44,11401,49,32.45,0,4.48,13.2,69.0,75
1778416724,8,11401,49,29.98,0,4.48,13.0,69.0,75
1778416726,31,11401,50,32.65,0,4.48,13.8,69.0,75
1778416728,33,11401,50,32.38,0,4.44,14.9,69.0,75
1778416730,39,11401,50,32.35,0,4.44,13.9,69.1,75
1778416732,40,11401,50,32.35,0,4.44,14.9,69.3,75
1778416734,33,11401,50,32.39,0,4.32,13.8,69.2,75
1778416735,34,11401,50,32.05,0,4.32,16.5,69.2,75
1778416737,44,11401,50,32.24,0,4.30,13.8,69.1,75
1778416739,33,11401,50,32.18,0,4.30,13.3,69.1,75
1778416741,35,11401,50,32.61,0,4.30,14.4,69.2,75
1778416743,44,11401,50,32.20,0,4.51,18.6,69.2,75
1778416744,43,11401,50,32.08,0,4.51,15.5,69.4,75
1778416746,34,11401,51,32.25,0,4.51,12.6,69.0,75
1778416748,34,11401,50,32.16,0,4.15,13.6,69.0,75
1778416750,8,11401,50,30.08,0,4.15,17.5,69.1,75
1778416751,36,11401,50,32.41,0,4.15,14.1,69.0,75
1778416753,28,11401,51,35.33,0,4.22,13.8,69.1,75
1778416755,29,11401,51,35.14,0,4.22,14.7,69.2,75
1778416757,19,11401,54,63.01,0,4.22,15.6,69.1,75
1778416758,31,11401,51,42.48,0,3.88,14.7,69.1,75
1778416761,27,11401,51,33.11,0,3.88,12.3,69.1,75
1778416763,38,11401,51,32.83,0,3.89,12.7,69.1,75
1778416765,34,11401,51,32.40,0,3.89,19.2,67.4,75
1778416768,36,11401,51,32.43,0,4.14,19.3,67.4,75
