ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778417229,28,11582,53,23.42,30,5.40,18.9,69.7,75
1778417231,3,1405,53,32.52,30,5.40,18.4,69.8,75
1778417232,32,11358,53,51.68,30,5.40,16.1,69.8,75
1778417234,34,11358,52,41.59,30,5.44,16.0,69.7,75
1778417236,3,11358,51,35.22,30,5.44,18.1,69.7,75
1778417237,24,11362,54,73.89,30,5.33,18.2,69.8,75
1778417239,39,11362,52,52.52,30,5.33,15.8,69.8,75
1778417241,35,11362,51,43.49,30,5.33,17.5,69.8,75
1778417243,31,11362,51,42.88,30,5.54,16.1,69.8,75
1778417244,30,11362,49,42.05,30,5.54,17.5,69.8,75
1778417247,43,11362,49,41.99,30,5.18,15.1,69.8,75
1778417250,32,11362,49,41.23,30,5.18,17.1,69.9,75
1778417251,37,11362,48,41.18,30,5.18,16.4,69.8,75
1778417253,32,11362,48,40.74,30,5.08,16.2,69.8,75
1778417256,36,11362,47,40.54,30,5.08,15.8,69.8,75
1778417257,35,11362,47,40.51,30,4.76,15.2,69.8,75
1778417260,37,11362,47,40.53,30,4.76,16.5,69.9,75
1778417261,41,11362,47,40.37,30,4.76,16.4,70.0,75
1778417263,,,,,,4.62,13.5,69.9,75
1778417266,45,11362,46,40.17,0,4.62,16.0,69.8,75
1778417268,43,11362,46,39.93,0,4.41,16.1,69.8,75
1778417270,45,11362,46,40.23,0,4.41,15.1,69.9,75
1778417272,5,1392,46,30.18,0,4.41,17.2,69.8,75
1778417274,31,10634,47,50.43,0,4.37,16.6,69.7,75
1778417275,87,10634,56,46.72,0,4.37,16.6,69.7,75
1778417277,96,10640,60,206.47,0,4.37,15.7,69.7,75
1778417279,96,10640,61,207.87,0,4.42,15.5,69.7,75
1778417281,97,10640,62,210.91,30,4.42,14.5,69.7,75
1778417282,96,10640,63,208.95,30,4.23,15.6,69.7,75
1778417284,95,10640,63,209.61,30,4.23,16.6,69.7,75
1778417286,96,10640,64,210.04,30,4.23,16.3,69.7,75
1778417288,97,10640,64,210.81,30,4.13,17.8,69.7,75
1778417289,96,10640,64,211.37,31,4.13,17.0,69.7,75
1778417291,97,10640,65,212.22,33,4.13,15.7,69.7,75
1778417292,97,10640,65,211.89,34,4.28,14.7,69.9,75
1778417294,95,10640,65,211.99,35,4.28,16.2,69.9,75
1778417296,95,10640,65,212.20,36,4.28,23.4,76.1,75
1778417297,96,10640,66,212.60,37,4.28,22.9,84.9,75
1778417299,97,10640,66,212.88,37,4.42,17.7,88.2,75
1778417301,97,10640,65,213.48,38,4.42,17.1,88.1,75
1778417302,96,10640,66,213.57,39,4.30,18.8,88.1,75
1778417304,97,10640,66,213.65,39,4.30,16.0,88.1,75
1778417306,97,10640,66,213.69,39,4.30,16.8,88.1,75
1778417308,96,10640,66,214.07,40,4.60,18.2,88.1,75
1778417309,97,10640,66,214.15,40,4.60,18.2,88.2,75
1778417311,97,10640,66,214.33,41,4.60,33.1,88.2,75
1778417313,97,10640,66,215.05,41,8.07,33.4,88.3,75
1778417315,97,10640,67,214.74,41,8.07,23.3,88.6,75
1778417316,97,10640,67,215.22,42,8.07,21.8,88.5,75
1778417318,97,10640,67,214.78,42,7.99,24.1,88.4,75
1778417320,97,10640,67,215.30,42,7.99,17.9,88.6,75
1778417322,96,10640,67,203.36,42,7.99,18.0,88.5,75
1778417323,96,10640,67,211.53,42,7.59,18.0,88.5,75
1778417325,97,10640,66,212.37,43,7.59,15.5,88.6,75
1778417327,96,10640,66,211.96,43,7.59,20.2,88.5,75
1778417329,96,10640,66,212.48,43,7.54,23.8,88.5,75
1778417331,96,10640,66,212.93,43,7.54,17.7,88.5,75
1778417332,97,10640,66,212.15,43,7.54,17.0,88.5,75
1778417334,97,10640,67,212.53,43,7.10,18.2,88.5,75
1778417336,97,10640,67,212.57,43,7.10,16.6,88.5,75
1778417338,96,10640,67,212.65,43,6.69,20.3,88.5,75
1778417339,97,10640,66,212.84,43,6.69,21.6,88.6,75
1778417341,97,10640,67,212.58,43,6.69,26.9,88.5,75
