ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778417347,17,10640,51,24.31,42,6.55,16.2,88.7,75
1778417349,62,11356,50,35.41,39,6.67,18.8,88.8,75
1778417351,3,11358,51,53.16,35,6.67,16.4,88.8,75
1778417353,21,11362,52,85.82,32,6.38,16.4,88.8,75
1778417354,23,11362,50,62.98,31,6.38,23.5,89.1,75
1778417356,41,11362,50,45.39,30,6.38,31.6,89.0,75
1778417358,36,11362,50,42.81,30,6.67,32.3,89.1,75
1778417360,41,11362,49,42.67,30,6.67,34.1,89.4,75
1778417361,31,11362,48,41.70,30,6.67,32.4,89.5,75
1778417363,43,11362,48,42.19,30,6.69,32.5,89.6,75
1778417365,31,11362,47,41.13,30,6.69,31.3,89.9,75
1778417367,41,11362,48,41.67,30,6.69,31.2,89.9,75
1778417368,36,11362,48,41.17,30,7.84,33.2,90.0,75
1778417370,40,11362,47,41.37,30,7.84,33.1,90.4,75
1778417372,34,11362,46,40.81,30,7.84,33.0,90.3,75
1778417374,36,11362,47,40.54,30,8.41,33.4,90.4,75
1778417375,43,11362,45,40.78,30,8.54,47.5,93.8,75
1778417380,38,11362,46,40.73,30,8.54,33.8,91.1,75
1778417382,39,11362,45,40.77,30,8.54,30.6,91.0,75
1778417384,31,11362,45,40.19,30,8.25,31.7,90.9,75
1778417386,8,1400,44,32.99,30,8.25,33.1,91.0,75
1778417387,53,10634,45,49.38,30,8.25,27.2,91.2,75
1778417389,93,10640,56,132.53,30,7.83,27.5,91.2,75
1778417391,96,10640,57,205.61,30,7.83,37.6,91.3,75
1778417392,96,10640,58,206.63,30,9.69,34.5,92.3,75
1778417394,97,10640,59,207.12,30,9.69,42.5,90.2,75
1778417396,97,10640,59,207.19,30,9.69,35.6,90.2,75
1778417398,97,10640,60,208.55,30,10.27,34.6,90.8,75
1778417400,96,10640,61,208.43,30,10.27,32.5,90.3,75
1778417401,97,10640,61,209.28,30,10.27,32.5,90.1,75
1778417403,96,10640,62,210.00,30,10.09,24.7,90.1,75
1778417405,96,10640,62,209.86,30,10.09,27.8,90.2,75
1778417406,97,10642,62,206.68,30,10.09,21.2,89.9,75
1778417408,96,10642,63,210.46,30,15.77,47.2,90.4,75
1778417410,96,10642,63,210.80,30,15.77,33.6,90.6,75
1778417411,96,10642,63,211.19,30,15.77,78.4,90.7,75
1778417413,96,10642,64,211.50,31,15.31,33.2,91.5,75
1778417414,97,10642,64,212.04,32,15.31,27.6,91.4,75
1778417416,95,10642,64,211.99,33,15.31,32.3,91.3,75
1778417418,97,10642,65,212.72,34,14.40,30.8,90.6,75
1778417419,96,10642,65,212.84,35,14.40,29.3,72.1,75
1778417421,97,10642,65,213.38,36,14.40,29.7,71.8,75
1778417423,97,10642,66,213.72,37,16.45,36.4,71.7,75
1778417424,97,10642,66,213.43,37,16.45,23.1,69.0,75
1778417426,96,10642,66,213.97,38,16.45,39.0,68.1,75
1778417428,95,10642,66,214.01,39,15.45,29.5,68.5,75
1778417430,97,10642,67,214.63,39,15.45,29.5,68.4,75
1778417431,97,10642,66,214.49,40,15.45,30.7,68.5,75
1778417433,96,10642,66,215.00,40,14.54,29.8,69.2,75
1778417435,96,10642,66,214.36,40,14.54,38.2,70.1,75
1778417436,97,10642,66,214.79,41,14.54,34.1,71.7,75
1778417438,97,10642,67,214.93,41,15.85,23.3,71.7,75
1778417440,97,10642,67,213.20,41,15.85,21.3,71.6,75
1778417441,97,10642,67,214.63,42,15.85,30.7,71.6,75
1778417443,97,10642,67,215.07,42,14.98,33.2,71.4,75
1778417445,95,10642,67,214.99,42,14.98,32.5,71.9,75
1778417447,97,10642,67,214.88,43,14.98,32.7,72.0,75
1778417448,97,10642,67,215.52,43,16.35,32.3,72.8,75
1778417450,97,10642,67,214.79,43,16.35,24.3,73.1,75
1778417452,4,10642,58,180.49,43,16.35,32.5,73.0,75
