ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778417458,32,10642,50,17.20,41,16.80,26.1,73.2,75
1778417459,97,11356,50,36.02,38,16.80,25.7,73.3,75
1778417461,3,11358,51,52.42,34,16.80,26.7,73.2,75
1778417463,22,11362,52,87.77,32,15.77,23.8,73.1,75
1778417465,22,11362,50,59.52,30,15.77,22.2,73.2,75
1778417467,36,11362,50,43.78,30,15.77,24.3,73.1,75
1778417469,42,11362,49,42.99,30,14.59,26.2,73.0,75
1778417471,42,11362,48,42.72,30,14.59,37.6,74.0,75
1778417472,37,11362,48,41.99,30,18.71,37.6,74.2,75
1778417474,35,11362,48,41.66,30,18.71,18.3,74.3,75
1778417476,38,11362,48,41.84,30,18.71,19.1,74.1,75
1778417479,34,11362,47,41.21,30,18.73,19.1,74.0,75
1778417481,43,11362,46,41.48,30,18.73,18.3,74.0,75
1778417482,43,11362,46,40.81,30,18.73,20.4,74.1,75
1778417484,42,11362,47,40.44,30,17.55,18.2,74.0,75
1778417486,42,11362,46,40.67,30,17.55,19.2,73.9,75
1778417488,44,11362,45,40.65,30,16.31,20.3,74.1,75
1778417492,40,11362,45,40.52,30,16.31,18.0,74.0,75
1778417494,44,11362,44,40.28,30,15.56,17.2,74.1,75
1778417495,33,11362,44,40.28,30,15.56,17.4,74.1,75
1778417497,44,11362,45,40.32,30,15.56,28.5,74.4,75
1778417499,38,11362,45,40.54,30,15.11,18.1,73.9,75
1778417501,44,11362,44,40.68,30,15.11,16.4,73.9,75
1778417503,45,11362,43,40.51,30,14.38,19.1,74.1,75
1778417504,32,11362,44,40.23,30,14.38,19.4,74.2,75
1778417506,32,11362,44,40.53,30,14.38,17.9,74.1,75
1778417508,46,11362,43,40.34,30,13.39,17.7,74.2,75
1778417510,32,11362,43,40.31,30,13.39,15.6,74.1,75
1778417512,32,11362,43,40.17,30,13.39,16.5,73.9,75
1778417513,40,11362,43,40.34,30,12.96,18.5,73.9,75
1778417515,45,11362,43,40.51,30,12.96,17.0,73.7,75
1778417517,34,11362,42,40.62,30,12.96,14.2,73.2,75
1778417519,31,11362,42,40.62,30,12.24,16.3,73.5,75
1778417520,45,11362,43,40.48,30,12.24,13.8,73.4,75
1778417522,44,11362,42,40.11,0,12.24,16.9,73.6,75
1778417524,32,11362,42,39.98,0,12.14,22.8,73.5,75
1778417526,36,11362,42,40.22,0,12.14,12.8,74.1,75
1778417527,11,1573,42,29.77,0,12.14,17.3,73.8,75
1778417529,61,10634,43,49.43,0,11.49,15.5,73.4,75
