ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778417709,27,10835,50,17.04,44,4.70,18.4,75.5,75
1778417711,47,11358,52,48.54,39,4.70,16.9,75.4,75
1778417713,4,11358,51,51.41,36,4.64,18.7,75.6,75
1778417715,21,11362,53,81.53,32,4.64,18.4,75.6,75
1778417717,38,11362,50,49.49,30,4.64,20.6,75.6,75
1778417719,41,11362,50,42.90,30,4.59,21.4,75.5,75
1778417721,42,11361,49,42.95,30,4.59,20.4,75.5,75
1778417723,42,11361,48,43.00,30,4.46,19.2,75.7,75
1778417724,31,11361,48,41.63,30,4.46,19.5,75.5,75
1778417726,30,11361,48,41.53,30,4.46,19.4,75.5,75
1778417728,44,11361,47,41.46,30,4.35,22.9,75.6,75
1778417730,36,11361,47,41.22,30,4.35,17.5,75.5,75
1778417731,44,11361,47,41.68,30,4.35,21.0,75.3,75
1778417733,39,11361,47,41.24,30,4.32,26.1,75.6,75
1778417735,40,11361,47,41.16,30,4.32,19.5,75.6,75
1778417737,31,11361,47,40.80,30,4.32,19.1,75.4,75
1778417738,39,11361,47,40.55,30,4.29,19.5,75.7,75
1778417740,32,11361,46,40.41,30,4.29,19.9,75.8,75
1778417742,33,11361,46,40.28,30,4.29,19.1,75.5,75
1778417744,32,11361,45,40.31,30,4.35,17.7,75.8,75
1778417745,35,11361,46,39.97,30,4.35,19.6,75.7,75
1778417747,35,11361,46,40.32,30,4.35,20.4,75.4,75
1778417749,43,11361,45,40.18,30,4.00,19.1,75.5,75
1778417751,44,11361,44,40.03,30,4.00,20.3,75.5,75
1778417753,44,11361,44,40.21,30,4.08,19.8,75.6,75
1778417754,39,11361,44,40.21,30,4.08,17.5,75.4,75
1778417756,34,11361,44,39.90,30,4.08,17.5,75.3,75
1778417758,36,11361,44,40.01,30,4.07,19.3,75.5,75
1778417760,44,11361,43,40.13,30,4.07,21.1,75.5,75
1778417762,34,11361,43,39.56,30,4.07,18.7,75.3,75
1778417763,38,11361,44,39.70,30,3.91,19.7,75.6,75
1778417765,41,11361,43,39.86,30,3.91,21.1,75.5,75
1778417767,43,11361,43,39.66,0,3.91,19.0,75.4,75
1778417769,6,11542,42,34.53,0,3.75,17.7,75.6,75
1778417771,26,10631,43,35.63,0,3.75,17.4,75.6,75
1778417772,100,10633,57,103.50,0,3.75,20.4,75.6,75
1778417774,96,10639,57,202.19,0,3.93,17.3,75.6,75
1778417776,96,10639,58,206.23,0,3.93,19.3,75.6,75
1778417777,97,10639,59,207.09,0,3.93,21.0,75.6,75
1778417779,96,10639,60,210.29,30,4.58,17.9,75.5,75
1778417781,96,10639,61,208.79,30,4.58,18.5,75.4,75
1778417783,97,10639,61,209.21,30,4.58,19.2,75.5,75
1778417784,97,10639,61,209.76,30,4.37,20.1,75.5,75
1778417786,97,10639,62,209.76,30,4.37,17.3,75.5,75
1778417788,97,10639,63,210.61,30,4.18,17.7,75.6,75
1778417790,97,10639,64,210.82,30,4.18,17.6,75.4,75
1778417792,97,10639,64,211.21,31,4.18,17.1,75.3,75
1778417793,97,10639,64,212.37,31,4.17,17.3,75.4,75
1778417795,95,10639,64,212.04,32,4.17,18.1,75.4,75
1778417797,97,10639,65,212.91,33,4.17,16.5,75.1,75
1778417799,97,10639,65,212.98,34,4.15,17.1,75.4,75
1778417800,97,10639,65,213.19,36,4.15,16.7,75.1,75
1778417803,97,10639,65,213.45,37,3.98,17.5,75.3,75
1778417806,97,10639,66,213.76,38,3.98,17.0,75.3,75
1778417807,96,10639,66,213.40,38,3.98,20.1,75.4,75
1778417809,97,10639,66,213.92,39,3.98,17.1,75.3,75
1778417811,97,10639,66,214.33,39,3.98,16.1,75.5,75
1778417812,96,10639,66,214.41,40,3.98,18.8,75.3,75
1778417814,96,10639,66,208.37,42,3.90,28.3,75.6,75
1778417823,96,10639,66,208.12,42,3.75,18.2,75.4,75
1778417825,97,10639,66,208.12,42,3.75,17.2,75.3,75
1778417826,97,10639,66,208.04,42,3.75,16.4,75.4,75
1778417828,96,10639,66,208.05,42,4.17,17.3,75.4,75
1778417830,,,,,,4.17,14.6,75.4,75
1778417833,97,10639,66,208.45,42,4.15,18.0,75.5,75
1778417837,97,10639,66,208.65,43,4.15,17.4,75.1,75
1778417839,97,10639,67,208.66,43,3.98,17.6,75.1,75
1778417843,97,10639,66,208.67,43,3.98,17.4,75.3,75
1778417844,97,10639,67,208.89,43,4.22,17.3,75.5,75
1778417846,97,10639,67,209.16,43,4.22,19.2,75.3,75
1778417848,97,10639,66,208.69,43,5.00,20.2,75.4,75
1778417850,97,10639,66,208.90,43,5.00,83.2,75.4,75
1778417851,97,10639,66,208.60,43,5.00,65.4,75.1,75
1778417853,96,10639,67,208.65,43,5.24,51.3,75.3,75
1778417855,97,10639,67,208.81,43,5.24,52.5,74.7,75
1778417856,96,10639,67,209.07,43,5.24,50.9,74.6,75
1778417858,96,10639,67,208.99,43,5.22,50.9,74.8,75
1778417860,96,10639,66,208.40,43,5.22,22.2,74.4,75
1778417862,97,10639,67,208.22,43,5.22,18.5,74.3,75
1778417863,97,10639,67,208.90,44,4.97,18.7,74.6,75
1778417865,97,10639,67,208.65,44,4.97,21.2,74.6,75
1778417867,97,10639,67,208.62,44,4.97,18.8,74.3,75
1778417869,97,10639,67,208.88,44,4.97,20.0,74.3,75
1778417870,97,10639,67,208.05,44,4.97,17.4,74.5,75
1778417872,96,10639,66,208.37,44,4.97,40.3,74.6,75
1778417874,97,10639,67,208.28,44,4.65,28.2,74.7,75
1778417875,96,10639,67,208.48,44,4.65,30.0,74.9,75
1778417877,97,10639,67,208.82,44,4.65,21.3,74.4,75
1778417879,97,10639,67,208.46,44,5.24,29.5,74.3,75
1778417880,97,10639,67,208.46,44,5.24,30.8,74.5,75
1778417882,97,10639,67,208.41,44,5.24,30.6,74.3,75
1778417884,97,10639,67,208.44,44,5.70,29.0,74.3,75
1778417885,97,10639,67,208.77,44,5.70,32.9,74.5,75
1778417887,97,10639,67,208.52,44,5.70,21.6,74.5,75
1778417889,97,10639,67,208.91,44,5.40,18.7,74.3,75
1778417890,97,10639,66,208.73,44,5.40,18.4,74.5,75
1778417892,97,10639,67,208.92,45,5.40,21.0,74.5,75
1778417894,97,10639,67,208.90,44,5.13,18.3,74.3,75
1778417896,96,10639,67,208.53,45,5.13,17.7,74.4,75
1778417897,96,10639,67,208.27,44,5.13,23.8,74.5,75
1778417899,97,10639,67,208.71,45,4.96,20.3,74.4,75
1778417901,96,10639,67,208.59,45,4.96,20.4,74.4,75
1778417902,97,10639,67,208.67,45,4.96,22.4,74.6,75
1778417904,96,10639,67,208.54,45,5.44,22.6,74.4,75
1778417906,97,10639,67,208.46,45,5.44,21.2,74.5,75
1778417908,97,10639,67,208.58,45,5.44,22.5,74.6,75
1778417909,97,10639,67,208.99,45,5.41,23.1,74.6,75
1778417911,96,10639,67,208.61,45,5.41,25.5,74.4,75
1778417913,96,10639,67,208.89,45,5.21,25.2,74.6,75
1778417915,97,10639,67,209.15,45,5.21,21.2,74.5,75
1778417916,97,10639,67,208.75,45,5.21,23.0,74.4,75
1778417918,97,10639,67,209.29,45,5.04,22.2,74.6,75
1778417920,97,10639,67,208.91,45,5.04,21.8,74.6,75
1778417921,97,10639,67,208.95,45,5.04,20.4,74.4,75
1778417923,97,10639,67,208.66,45,5.03,25.1,74.8,75
1778417925,97,10639,67,209.03,45,5.03,20.2,74.8,75
1778417926,97,10639,67,209.13,45,5.03,20.9,74.6,75
1778417928,97,10639,67,208.71,45,4.95,19.2,75.1,75
1778417930,97,10639,67,208.61,45,4.95,21.9,75.0,75
1778417932,97,10639,67,208.96,45,4.95,20.4,74.9,75
1778417933,97,10639,67,208.67,45,5.03,22.5,75.1,75
1778417935,96,10639,67,208.75,45,5.03,19.6,75.1,75
1778417937,93,10639,67,208.49,45,5.03,21.1,74.9,75
1778417939,97,10639,67,209.49,45,5.27,18.4,75.2,75
1778417940,97,10639,67,208.84,45,5.27,22.5,75.3,75
1778417942,97,10639,67,208.52,45,5.27,18.2,77.2,75
1778417944,97,10639,67,208.99,46,5.09,21.8,77.5,75
1778417946,97,10639,67,209.08,46,5.09,17.7,77.5,75
1778417947,96,10639,66,208.82,46,5.09,19.5,77.5,75
1778417949,97,10639,67,209.19,46,5.00,17.0,77.3,75
1778417951,97,10639,67,209.30,45,5.00,15.3,77.2,75
1778417953,97,10639,67,209.53,45,4.92,14.5,77.4,75
1778417955,97,10639,67,209.61,46,4.92,15.4,77.3,75
1778417957,97,10639,67,209.13,46,4.92,15.7,77.2,75
1778417959,97,10639,67,209.40,46,4.85,15.3,77.3,75
1778417961,97,10639,67,209.41,46,4.85,13.7,77.3,75
1778417962,97,10639,66,209.01,46,4.85,15.4,77.5,75
1778417964,97,10639,67,208.93,46,4.54,15.2,77.5,75
