ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778417970,29,10639,51,17.79,44,4.58,19.6,80.3,75
1778417972,44,11357,52,46.92,40,4.58,16.9,80.4,75
1778417974,3,11357,51,48.13,36,4.53,15.2,80.3,75
1778417976,21,11361,52,76.31,34,4.53,12.8,80.2,75
1778417978,37,11361,51,50.03,32,4.41,17.2,77.2,75
1778417980,31,11361,50,43.06,31,4.41,15.0,76.1,75
1778417982,32,11361,50,42.46,30,4.37,12.7,76.3,75
1778417985,43,11361,49,42.50,30,4.37,11.5,75.4,75
1778417987,38,11361,48,41.82,30,4.37,11.8,75.1,75
1778417989,40,11361,49,41.63,30,4.18,10.7,75.2,75
1778417990,31,11361,48,41.34,30,4.18,10.3,75.2,75
1778417992,32,11361,48,41.44,30,4.18,14.8,75.2,75
1778417994,36,11361,47,41.59,30,3.93,11.6,75.1,75
1778417996,43,11361,47,41.54,30,3.93,10.5,75.2,75
1778417998,43,11361,46,41.25,30,4.01,13.4,75.3,75
1778418000,31,11361,47,40.96,30,4.01,12.6,75.2,75
1778418001,33,11361,46,41.08,30,4.01,11.2,75.1,75
1778418003,40,11361,46,41.18,30,3.85,10.5,75.4,75
1778418005,35,11361,45,40.87,30,3.70,15.7,75.3,75
1778418014,39,11361,45,41.15,30,3.41,12.4,75.1,75
1778418016,32,11361,44,40.69,30,3.41,12.4,75.1,75
1778418018,44,11361,44,40.83,30,3.41,19.7,75.1,75
1778418019,34,11361,44,40.32,30,3.37,10.2,74.9,75
1778418021,34,11361,45,40.46,30,3.37,10.1,74.8,75
1778418023,34,11361,44,40.70,30,3.37,11.7,75.0,75
1778418024,44,11361,43,40.40,30,3.26,13.0,75.0,75
1778418026,42,11361,44,40.40,30,3.26,10.4,74.9,75
1778418028,40,11361,43,40.42,30,3.40,12.7,75.0,75
1778418030,44,11361,43,40.17,30,3.40,11.3,74.9,75
1778418031,35,11361,43,40.15,30,3.40,10.5,74.9,75
1778418033,7,11574,42,35.35,30,3.37,10.6,75.0,75
1778418035,27,10633,43,45.14,30,3.37,11.4,75.0,75
1778418036,98,10633,57,107.73,0,3.37,11.5,74.8,75
1778418038,96,10639,56,203.37,0,3.74,10.1,75.0,75
1778418040,97,10639,57,205.86,0,3.74,12.7,74.9,75
1778418042,96,10639,58,206.13,0,3.74,10.5,74.1,75
1778418043,97,10639,59,209.46,30,3.60,13.9,74.4,75
1778418045,97,10639,60,208.27,30,3.60,13.2,74.3,75
1778418047,96,10639,60,208.24,30,3.60,12.6,74.2,75
1778418048,96,10639,61,209.05,30,3.47,11.3,74.3,75
1778418050,97,10639,61,210.11,30,3.47,14.0,74.3,75
1778418052,97,10639,61,210.61,30,3.47,12.9,74.0,75
1778418053,97,10639,62,210.91,30,3.27,14.3,74.2,75
1778418055,97,10639,63,210.98,30,3.27,13.2,74.1,75
1778418057,96,10639,63,211.71,30,3.27,13.5,74.0,75
1778418058,95,10639,63,211.49,30,3.25,12.3,74.2,75
1778418060,97,10639,64,211.45,31,3.25,15.1,74.1,75
1778418062,96,10639,64,211.85,32,3.25,11.8,74.0,75
1778418063,97,10639,65,211.89,33,3.55,12.7,74.3,75
1778418065,97,10639,65,212.79,34,3.55,12.4,74.1,75
1778418067,96,10639,65,212.94,35,3.55,13.8,74.0,75
1778418068,96,10639,66,213.58,36,3.83,14.7,74.3,75
1778418070,97,10639,66,213.63,37,3.83,12.7,74.2,75
1778418072,96,10639,66,213.87,38,3.83,12.2,74.0,75
1778418074,97,10639,66,214.13,38,3.76,12.3,74.3,75
1778418075,97,10639,66,214.30,39,3.76,12.8,74.3,75
1778418077,97,10639,66,214.49,39,3.76,12.7,74.2,75
1778418079,97,10639,66,214.74,40,3.54,12.1,74.1,75
1778418080,96,10639,67,214.49,40,3.54,11.8,74.0,75
1778418082,96,10639,67,214.45,41,3.54,18.3,74.2,75
1778418084,96,10639,66,208.16,41,3.34,16.8,74.0,75
1778418086,97,10639,66,208.62,41,3.34,11.7,74.1,75
1778418087,97,10639,66,208.79,42,3.34,19.6,74.3,75
1778418089,97,10639,66,208.54,42,3.23,12.8,74.2,75
1778418091,97,10639,66,208.53,42,3.23,14.3,74.3,75
1778418093,97,10639,66,208.28,42,3.23,12.9,74.4,75
1778418094,97,10639,66,208.93,42,3.05,11.4,74.2,75
1778418096,97,10639,66,208.96,42,3.05,11.7,74.3,75
1778418098,96,10639,66,209.11,42,3.05,11.7,74.4,75
1778418099,97,10639,67,208.97,42,2.89,12.1,74.3,75
1778418101,97,10639,67,209.56,42,2.89,13.7,74.3,75
1778418103,97,10639,66,209.13,42,2.89,12.5,74.4,75
1778418104,97,10639,66,208.88,42,2.89,14.3,74.3,75
1778418106,97,10639,67,209.34,43,2.89,19.3,74.3,75
1778418108,96,10639,67,208.64,43,2.89,23.8,75.3,75
1778418109,97,10639,66,208.99,43,2.98,20.0,75.5,75
1778418111,97,10639,67,209.06,43,2.98,15.6,75.5,75
1778418113,97,10639,67,209.43,43,2.98,21.0,75.7,75
1778418115,97,10639,66,209.20,43,3.14,16.4,75.6,75
1778418116,97,10639,67,209.34,43,3.14,14.5,75.4,75
1778418118,96,10639,67,209.53,43,3.29,16.9,75.9,75
1778418120,97,10639,67,209.70,43,3.29,16.8,75.9,75
1778418121,97,10639,67,209.41,43,3.29,20.4,75.9,75
1778418123,97,10639,67,209.16,43,4.07,21.2,76.1,75
1778418125,97,10639,67,209.28,44,4.07,32.6,76.1,75
1778418126,97,10639,67,209.69,44,4.07,20.1,76.1,75
1778418128,97,10639,67,209.50,44,3.90,14.2,76.4,75
1778418130,97,10639,67,209.54,44,3.90,12.5,76.3,75
1778418132,97,10639,67,209.42,44,3.90,13.2,76.3,75
1778418133,97,10639,67,209.54,44,3.75,19.5,76.4,75
1778418135,97,10639,67,208.93,44,3.75,14.6,76.3,75
1778418137,97,10639,67,209.10,44,3.75,17.1,76.3,75
1778418138,97,10639,66,208.87,44,3.69,14.5,76.4,75
1778418140,96,10639,67,209.04,44,3.69,16.3,76.3,75
1778418142,97,10639,67,208.98,44,3.69,13.2,76.0,75
