ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778418240,20,10647,51,24.21,44,2.47,15.2,75.2,75
1778418242,4,10901,51,35.18,41,2.47,15.5,75.6,75
1778418244,30,10903,52,53.86,37,2.43,26.7,76.5,75
1778418246,4,10903,51,47.77,34,2.43,18.0,76.4,75
1778418247,21,10907,52,73.05,32,2.43,21.3,76.4,75
1778418249,37,10907,51,45.51,31,2.39,15.3,76.4,75
1778418251,29,10907,50,41.18,30,2.39,26.8,72.8,75
1778418253,32,10907,49,39.94,30,2.39,41.0,73.2,75
1778418255,35,10907,49,39.83,30,4.52,29.0,75.6,75
1778418257,43,10907,48,40.01,30,4.52,17.3,75.4,75
1778418259,31,10907,48,39.07,30,5.60,20.8,75.5,75
1778418261,37,10907,48,38.83,30,5.60,28.6,75.9,75
1778418262,33,10907,47,38.81,30,5.60,25.1,76.3,75
1778418264,35,10907,48,38.67,30,5.79,17.8,76.8,75
1778418266,33,10907,47,38.66,30,5.79,19.3,77.0,75
1778418267,33,10907,47,38.41,30,5.79,18.3,76.8,75
1778418269,38,10907,46,38.33,30,6.29,25.2,73.1,75
1778418271,41,10907,46,38.23,30,6.29,19.8,73.2,75
1778418273,42,10907,46,38.21,30,6.29,15.3,73.3,75
1778418274,43,10907,45,38.22,30,6.51,11.8,73.2,75
1778418276,45,10907,45,38.35,30,6.51,13.3,73.3,75
1778418278,40,10907,45,38.04,30,6.51,12.5,73.9,75
1778418279,35,10907,45,37.91,30,6.15,22.8,74.0,75
1778418281,33,10907,45,37.93,30,6.15,15.5,73.9,75
1778418283,32,10907,45,37.94,30,6.15,12.7,73.6,75
1778418285,40,10907,45,38.05,30,5.89,11.3,73.7,75
1778418286,37,10907,45,38.21,30,5.89,12.4,73.6,75
1778418288,47,10907,44,38.28,30,5.74,11.8,73.6,75
1778418290,43,10907,44,37.98,30,5.74,10.3,73.7,75
1778418292,43,10907,43,38.09,30,5.74,13.0,73.6,75
1778418293,33,10907,43,38.08,30,5.52,12.3,73.6,75
1778418295,7,11120,43,34.41,30,5.52,11.1,73.7,75
1778418297,29,10639,44,44.26,30,5.52,12.5,73.6,75
1778418299,3,10641,44,52.37,30,5.48,22.5,74.1,75
1778418300,97,10647,56,205.58,30,5.48,11.2,73.9,75
1778418302,95,10647,57,205.73,30,5.48,12.3,73.6,75
1778418304,96,10647,58,206.50,30,5.12,11.3,73.6,75
1778418305,97,10647,58,206.95,30,5.12,12.7,73.6,75
1778418307,96,10647,59,207.24,30,5.12,13.2,73.5,75
1778418309,95,10647,59,207.88,30,4.87,13.3,73.5,75
1778418310,97,10647,60,208.95,30,4.87,11.4,73.6,75
1778418312,96,10647,61,209.17,30,4.87,12.8,73.1,75
1778418314,96,10647,61,209.31,30,4.64,13.8,73.0,75
1778418315,96,10647,62,210.34,30,4.64,12.2,73.1,75
1778418317,96,10647,62,210.50,30,4.64,19.7,73.7,75
1778418319,97,10647,62,211.02,30,4.91,29.1,74.4,75
1778418320,97,10647,63,211.06,30,4.91,12.8,74.4,75
1778418322,97,10647,63,200.33,30,4.91,19.6,74.3,75
1778418324,96,10647,64,211.63,31,4.68,14.0,74.3,75
1778418326,97,10647,64,212.01,32,4.68,12.2,74.4,75
1778418327,97,10647,64,212.60,33,4.68,11.9,74.3,75
1778418329,97,10647,65,212.66,34,4.38,13.5,74.3,75
1778418331,97,10647,65,213.54,35,4.38,12.5,73.8,75
1778418332,21,10647,57,202.02,36,4.38,12.1,73.9,75
