ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778418338,27,10647,49,16.75,36,4.19,11.4,74.2,75
1778418340,4,10901,49,34.59,34,3.94,15.5,74.3,75
1778418341,3,10903,50,53.16,32,3.94,12.5,74.2,75
1778418343,21,10907,52,72.58,31,3.62,12.2,74.0,75
1778418345,21,10907,50,62.49,30,3.62,13.4,74.1,75
1778418347,40,10907,49,47.85,30,3.62,11.2,73.9,75
1778418348,33,10922,48,40.07,30,3.33,12.8,74.0,75
1778418350,40,10922,48,40.29,30,3.33,13.9,74.1,75
1778418352,42,10922,48,40.06,30,3.33,12.4,73.9,75
1778418354,31,10922,47,39.94,30,3.30,10.5,73.9,75
1778418355,43,10922,47,39.43,30,3.30,12.1,74.0,75
1778418357,42,10922,47,38.99,30,3.30,14.0,73.9,75
1778418359,44,10922,47,38.34,30,3.28,11.5,74.0,75
1778418361,33,10922,46,38.31,30,3.28,13.7,74.1,75
1778418363,33,10922,46,38.07,30,3.28,12.5,74.0,75
1778418364,38,10922,46,38.03,30,3.18,11.8,74.0,75
1778418366,44,10922,46,38.03,30,3.18,12.1,74.0,75
1778418368,45,10922,45,38.28,30,3.18,13.8,74.0,75
1778418369,5,1412,44,32.49,30,3.00,13.4,74.1,75
1778418371,3,11248,45,37.88,30,3.00,12.4,74.0,75
1778418373,4,11248,44,41.71,30,3.00,14.8,74.0,75
1778418375,27,11250,44,34.97,30,2.92,15.6,74.1,75
1778418376,4,11250,44,34.79,30,2.92,12.9,73.8,75
1778418378,70,11250,46,72.38,30,2.92,14.5,73.8,75
1778418380,16,11258,46,72.61,30,3.17,12.8,73.9,75
1778418381,73,11258,45,51.39,30,3.17,13.4,73.6,75
1778418383,30,11260,45,60.66,30,3.31,13.2,73.6,75
1778418385,14,11260,45,61.65,30,3.31,12.4,73.8,75
1778418387,29,11260,43,32.92,30,3.31,12.7,73.6,75
1778418388,25,11260,43,31.98,0,3.21,16.2,73.7,75
1778418390,25,11260,43,31.72,0,3.21,25.3,73.8,75
1778418392,29,11260,43,31.32,0,3.21,12.7,73.7,75
1778418394,28,11260,43,30.08,0,3.03,13.8,73.7,75
1778418395,13,11260,45,53.18,0,3.03,14.9,73.9,75
1778418397,15,11260,44,61.06,0,3.03,9.5,73.8,75
1778418399,15,11260,45,57.19,0,2.95,9.5,73.7,75
1778418400,22,11260,44,33.17,0,2.95,10.5,73.8,75
1778418402,33,11260,44,31.92,0,2.95,11.0,73.3,75
1778418404,34,11260,44,31.15,0,2.71,11.9,73.3,75
1778418406,31,11260,44,31.14,0,2.71,12.1,73.4,75
1778418407,36,11260,45,30.91,0,2.71,17.5,73.2,75
