ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778418413,33,11260,43,15.63,0,2.49,11.7,73.4,75
1778418415,4,1418,44,28.21,0,2.37,12.3,73.6,75
1778418416,29,10918,46,46.64,0,2.37,11.7,73.5,75
1778418418,32,10918,45,42.53,0,2.37,9.8,73.5,75
1778418420,4,10918,45,34.21,0,2.26,11.1,73.6,75
1778418421,21,10922,48,85.27,0,2.26,10.8,73.5,75
1778418423,28,10922,46,46.69,0,2.24,10.3,73.4,75
1778418425,34,10922,46,40.31,0,2.24,10.9,73.4,75
1778418427,40,10922,46,40.22,0,2.24,9.7,73.3,75
1778418428,40,10922,47,39.40,0,2.14,9.2,73.3,75
1778418430,31,10922,46,38.78,0,2.14,10.6,73.4,75
1778418432,31,10922,46,38.61,0,2.14,11.8,73.3,75
1778418434,31,10922,46,38.48,0,2.13,11.6,73.3,75
1778418435,33,10922,46,38.50,0,2.13,14.4,73.4,75
1778418437,43,10922,47,38.61,0,2.13,14.2,73.7,75
1778418439,43,10922,47,38.29,0,2.20,24.6,74.7,75
1778418441,43,10922,47,38.58,0,2.20,15.4,75.0,75
1778418442,38,10922,47,38.58,0,2.20,20.2,74.8,75
1778418444,45,10922,48,38.54,0,2.18,17.4,75.2,75
1778418446,36,10922,47,38.13,0,2.18,15.9,75.1,75
1778418448,32,10922,47,38.54,0,2.18,18.2,75.2,75
1778418450,38,10922,47,38.95,0,2.65,19.5,75.5,75
1778418451,46,10922,48,38.96,0,2.65,17.2,75.4,75
1778418453,7,1412,47,33.07,0,2.65,13.8,75.2,75
1778418455,3,11248,48,40.51,0,2.68,14.2,75.4,75
1778418457,4,11248,47,40.02,0,2.68,15.5,75.3,75
1778418459,29,11250,48,35.51,0,2.94,12.1,75.3,75
1778418460,5,11250,47,32.11,0,2.94,12.9,75.5,75
1778418462,52,11250,50,67.21,0,2.94,14.2,75.2,75
1778418464,15,11228,52,72.70,0,3.75,20.3,75.3,75
1778418466,16,11228,49,52.67,0,3.75,14.6,75.4,75
1778418467,14,11230,51,65.62,0,3.75,30.7,76.6,75
1778418469,28,11230,49,54.94,0,3.69,11.4,76.4,75
1778418471,23,11230,49,33.43,0,3.69,10.7,76.2,75
1778418473,31,11230,49,32.41,0,3.69,17.7,76.4,75
1778418475,37,11230,49,32.29,0,4.51,14.2,76.5,75
1778418476,37,11230,49,32.02,0,4.51,15.3,76.4,75
1778418478,43,11230,49,32.21,0,4.51,16.3,76.5,75
1778418480,38,11230,49,31.69,0,4.55,15.5,76.9,75
1778418482,35,11230,49,31.70,0,4.55,15.8,77.0,75
1778418484,39,11230,49,31.79,0,4.67,15.7,77.1,75
1778418485,38,11230,49,31.58,0,4.67,13.5,77.3,75
1778418487,36,11230,49,31.41,0,4.67,14.5,76.5,75
1778418489,38,11230,49,31.39,0,4.85,19.7,76.6,75
1778418491,36,11230,49,31.54,0,4.85,12.7,76.5,75
1778418493,37,11230,49,31.35,0,4.85,13.3,76.0,75
1778418494,31,11230,49,32.67,0,4.47,13.7,76.2,75
1778418496,86,11230,51,39.30,0,4.47,14.2,76.1,75
1778418498,15,11230,51,61.49,0,4.47,12.5,76.1,75
1778418500,22,11230,50,38.69,0,4.67,14.1,76.2,75
1778418501,28,11230,49,32.04,0,4.67,13.1,76.1,75
1778418503,13,11230,51,43.29,0,4.67,13.7,76.0,75
1778418505,16,11230,52,68.36,0,4.45,12.7,76.2,75
1778418507,22,11230,50,53.80,0,4.45,13.2,76.0,75
1778418509,23,11230,50,32.36,0,4.18,12.6,76.0,75
1778418510,30,11230,50,31.65,0,4.18,23.1,76.5,75
1778418512,32,11230,51,31.72,0,4.18,15.7,76.4,75
1778418514,37,11230,50,31.62,0,4.08,20.2,76.4,75
1778418516,38,11230,51,31.24,0,4.08,18.8,76.4,75
1778418517,40,11230,50,31.41,0,4.08,17.5,76.1,75
