ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778418523,33,11230,49,16.85,0,4.64,42.7,77.2,75
1778418525,7,1388,50,34.49,0,4.64,35.1,77.4,75
1778418527,31,11350,52,51.59,0,4.64,17.1,77.2,75
1778418529,30,11350,51,37.91,0,4.67,27.6,77.2,75
1778418530,93,11350,52,41.31,0,4.67,19.6,77.9,75
1778418532,21,11354,53,76.50,0,4.67,16.5,77.8,75
1778418534,40,11354,52,43.68,0,5.09,22.8,77.8,75
1778418536,38,11354,52,43.50,0,5.09,22.1,77.9,75
1778418537,41,11354,52,43.36,0,5.09,16.3,77.2,75
1778418539,42,11354,52,43.20,0,4.68,15.9,77.2,75
1778418541,31,11354,52,42.47,0,4.68,55.8,77.8,75
1778418543,42,11354,52,42.77,0,4.68,19.4,77.8,75
1778418544,35,11354,52,42.44,0,4.55,17.7,77.9,75
1778418546,42,11354,52,43.17,0,4.55,27.2,78.0,75
1778418548,32,11354,52,42.41,0,4.55,14.1,78.2,75
1778418550,42,11354,52,42.43,0,4.34,14.3,78.2,75
1778418552,35,11354,53,42.10,0,4.34,30.3,78.1,75
1778418553,33,11354,52,41.87,0,6.48,15.4,78.0,75
1778418555,44,11354,52,42.34,0,6.48,18.8,78.1,75
1778418557,43,11354,52,41.95,0,6.48,14.3,78.0,75
1778418559,40,11354,53,42.25,0,6.60,14.8,78.0,75
1778418560,44,11354,52,42.60,0,6.60,17.2,78.2,75
1778418562,43,11354,53,42.33,0,6.60,15.7,78.2,75
1778418564,38,11354,53,42.16,0,6.63,16.5,78.2,75
1778418566,43,11354,53,42.48,0,6.63,16.6,78.1,75
1778418568,34,11354,53,42.52,0,6.63,18.1,78.0,75
1778418569,31,11354,53,42.54,0,6.34,13.1,78.1,75
1778418571,42,11354,53,42.76,0,6.34,15.9,78.3,75
1778418573,4,1382,52,32.90,0,6.34,16.5,78.2,75
1778418575,3,11218,53,48.67,0,6.79,16.1,78.1,75
1778418577,4,11218,53,38.41,0,6.79,14.1,78.2,75
1778418578,33,11220,53,36.44,0,6.41,13.7,78.2,75
1778418580,7,11220,53,35.94,0,6.41,28.9,77.5,75
1778418582,70,11220,60,87.04,0,6.41,20.8,77.5,75
