ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778418836,34,11230,50,17.45,0,3.44,14.1,77.0,75
1778418838,4,1569,50,33.82,0,3.44,20.3,77.0,75
1778418839,36,11350,52,50.95,0,3.33,16.5,77.1,75
1778418841,34,11350,51,40.59,0,3.33,15.8,77.1,75
1778418843,42,11350,51,34.80,0,3.33,14.6,77.1,75
1778418845,22,11354,54,76.26,0,3.22,15.0,77.2,75
1778418846,34,11354,53,43.15,0,3.22,14.2,77.1,75
1778418848,33,11354,52,42.79,0,3.22,16.5,77.1,75
1778418850,42,11354,52,42.96,0,3.04,13.7,77.2,75
1778418852,42,11354,52,43.14,0,3.04,13.1,77.1,75
1778418853,29,11354,52,42.06,0,3.04,17.8,77.0,75
1778418855,41,11354,52,42.34,0,3.12,12.2,77.7,75
1778418857,40,11354,52,42.76,0,3.12,13.3,77.6,75
1778418859,31,11354,52,42.52,0,3.11,14.6,77.3,75
1778418861,41,11354,53,42.63,0,3.11,14.9,77.3,75
1778418862,43,11354,52,42.65,0,3.11,14.5,77.3,75
1778418864,32,11354,52,42.14,0,3.02,19.4,77.5,75
1778418866,31,11354,53,42.22,0,3.02,17.8,77.6,75
1778418868,42,11354,53,42.53,0,3.02,17.7,77.6,75
1778418870,44,11354,53,42.58,0,3.10,17.5,77.6,75
1778418871,44,11354,53,42.04,0,3.10,17.7,77.6,75
1778418873,45,11354,53,41.98,0,3.10,17.8,77.6,75
1778418875,44,11354,53,42.07,0,3.09,14.2,77.6,75
1778418877,42,11354,53,41.97,0,3.09,19.8,77.7,75
1778418878,33,11354,53,41.95,0,3.09,18.0,77.8,75
1778418880,41,11354,53,42.76,0,3.00,12.2,77.8,75
1778418882,33,11354,53,42.42,0,3.00,12.4,77.7,75
1778418884,32,11354,53,42.48,0,3.56,11.7,77.8,75
1778418885,43,11354,53,42.51,0,3.56,10.1,77.9,75
1778418887,39,11354,53,42.24,0,3.56,12.7,77.8,75
1778418889,44,11354,53,42.44,0,3.44,11.6,77.6,75
1778418891,37,11354,53,42.51,0,3.44,9.3,77.6,75
1778418893,35,11354,54,42.02,0,3.44,14.2,77.7,75
1778418895,33,11354,53,42.31,0,3.16,13.4,77.7,75
1778418897,36,11354,53,41.93,0,3.16,11.2,77.8,75
1778418899,42,11354,54,42.26,0,3.23,12.8,78.0,75
1778418901,7,11535,53,40.72,0,3.23,13.7,77.9,75
1778418903,4,11218,54,39.30,0,3.23,22.1,77.7,75
1778418905,4,11218,53,43.68,0,3.29,12.5,77.8,75
1778418907,32,11220,53,36.60,0,3.29,12.9,77.4,75
1778418909,29,11220,53,36.69,0,3.29,11.0,77.3,75
1778418910,80,11220,56,77.74,0,3.11,13.5,77.4,75
1778418912,82,11220,57,81.82,0,3.11,11.2,77.3,75
1778418914,15,11228,56,64.73,0,2.94,12.1,77.3,75
1778418916,29,11228,54,41.04,0,2.94,11.3,77.4,75
1778418917,34,11228,54,34.24,0,2.94,12.0,77.3,75
1778418919,34,11228,54,33.73,0,2.78,13.1,77.3,75
1778418921,40,11228,54,33.22,0,2.78,14.2,77.3,75
1778418923,34,11228,54,33.14,0,2.78,12.4,77.3,75
1778418925,34,11228,54,33.08,0,2.64,12.6,77.4,75
1778418926,36,11228,54,33.06,0,2.64,12.8,77.3,75
1778418928,36,11228,54,32.81,0,2.64,11.4,77.3,75
1778418930,36,11228,54,32.60,0,2.83,12.2,77.4,75
1778418932,37,11228,54,32.94,0,2.83,12.7,77.3,75
1778418933,41,11228,54,32.19,0,2.68,12.8,77.3,75
1778418936,39,11228,54,32.44,0,2.68,12.5,76.7,75
1778418937,36,11228,54,32.39,0,2.68,14.0,76.6,75
1778418939,34,11228,54,32.60,0,2.63,12.4,76.6,75
1778418941,38,11228,54,32.70,0,2.63,10.5,76.6,75
1778418943,33,11228,54,32.48,0,2.63,12.4,76.6,75
1778418944,41,11228,54,32.56,0,2.50,12.2,76.6,75
1778418946,35,11228,54,32.17,0,2.50,11.3,76.6,75
1778418948,39,11228,54,32.47,0,2.50,11.9,76.6,75
1778418949,41,11228,54,32.50,0,2.62,13.2,76.7,75
1778418951,39,11228,54,32.47,0,2.62,11.5,76.6,75
1778418953,34,11228,54,32.71,0,2.62,11.4,76.6,75
1778418955,39,11228,54,32.94,0,2.49,12.3,76.7,75
1778418956,38,11228,54,32.98,0,2.49,12.5,76.6,75
1778418958,38,11228,54,32.88,0,2.49,12.1,76.6,75
1778418960,40,11228,54,32.86,0,2.45,10.3,76.8,75
1778418962,41,11228,54,32.68,0,2.45,9.2,76.7,75
1778418964,40,11228,54,33.13,0,2.33,10.8,76.7,75
1778418966,37,11228,54,32.67,0,2.33,13.3,81.0,75
1778418967,31,11228,54,32.67,0,2.33,18.0,81.2,75
1778418969,40,11228,54,32.55,0,2.71,15.3,81.4,75
1778418971,32,11228,54,32.22,0,2.71,16.3,81.1,75
1778418973,39,11228,54,32.65,0,2.71,13.5,80.4,75
1778418975,40,11228,54,31.80,0,2.73,13.0,80.4,75
1778418978,40,11228,54,32.34,0,2.73,13.1,80.4,75
1778418980,44,11233,54,31.92,0,2.83,13.2,80.5,75
1778418982,39,11233,54,32.46,0,2.83,12.4,80.3,75
1778418984,41,11233,54,32.79,0,2.60,13.7,80.4,75
1778418986,39,11233,54,32.94,0,2.60,12.7,80.3,75
1778418988,41,11233,54,32.61,0,2.60,12.7,80.3,75
1778418990,39,11233,54,32.56,0,2.72,12.7,80.4,75
1778418992,31,11233,54,32.80,0,2.72,11.2,77.3,75
1778418994,38,11233,54,32.43,0,2.72,10.3,77.3,75
1778418995,31,11233,53,32.61,0,2.66,26.8,77.4,75
1778418997,43,11234,54,32.51,0,2.66,10.2,77.2,75
1778418999,25,11234,54,31.98,0,2.85,11.1,76.7,75
1778419001,28,11234,54,32.18,0,2.85,13.3,76.8,75
1778419003,40,11234,54,33.59,0,2.85,10.3,76.6,75
1778419004,37,11234,54,33.98,0,2.70,13.7,76.7,75
1778419006,37,11234,54,33.71,0,2.70,11.2,76.6,75
1778419008,39,11234,54,33.63,0,2.70,13.5,76.6,75
