ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778419014,30,11234,53,18.30,0,3.04,14.1,76.7,75
1778419016,4,1394,54,35.00,0,2.96,11.4,76.9,75
1778419017,29,11356,55,50.16,0,2.96,10.8,76.8,75
1778419019,31,11356,54,37.58,0,2.72,10.8,76.8,75
1778419021,74,11356,58,50.67,0,2.72,11.1,76.9,75
1778419023,23,11360,57,77.90,0,2.72,10.9,76.8,75
1778419024,37,11360,56,45.00,0,2.74,11.8,76.9,75
1778419026,37,11360,56,44.42,0,2.74,11.3,76.8,75
1778419028,42,11360,55,44.30,0,2.74,10.9,76.8,75
1778419030,31,11360,55,43.90,0,2.60,11.2,76.9,75
1778419032,41,11360,55,43.76,0,2.60,12.7,76.9,75
1778419034,31,11360,55,43.20,0,2.60,11.5,76.8,75
1778419036,42,11360,56,43.21,0,2.47,13.3,77.0,75
1778419037,34,11360,56,42.85,0,2.47,12.2,76.8,75
1778419039,31,11360,55,42.90,0,2.36,11.4,76.8,75
1778419041,38,11360,56,43.07,0,2.36,10.0,76.8,75
1778419043,41,11360,56,42.78,0,2.36,11.2,76.8,75
1778419045,37,11360,56,42.74,0,2.33,10.8,76.9,75
1778419046,44,11360,55,42.74,0,2.33,10.4,76.7,75
1778419048,45,11360,55,42.81,0,2.33,10.1,76.7,75
1778419050,35,11360,55,42.86,0,2.38,10.2,76.8,75
1778419052,45,11360,56,43.17,0,2.38,10.5,76.6,75
1778419054,43,11360,55,43.08,0,2.27,10.2,76.6,75
1778419056,33,11360,56,43.27,0,2.27,11.9,76.7,75
1778419058,43,11360,55,43.12,0,2.27,15.1,77.6,75
1778419060,8,1388,55,36.62,0,2.17,13.2,77.9,75
1778419061,3,11224,56,42.38,0,2.17,13.6,77.7,75
1778419063,2,11224,55,41.77,0,2.17,15.1,77.8,75
1778419066,30,11226,56,37.64,0,2.15,16.2,78.0,75
1778419067,55,11226,56,35.77,0,2.15,13.1,77.7,75
1778419069,92,11226,65,89.58,0,2.54,11.7,77.7,75
1778419071,12,11234,58,77.04,0,2.54,10.4,77.8,75
1778419073,28,11234,56,47.67,0,2.54,10.6,77.6,75
1778419075,31,11234,56,34.97,0,2.50,12.2,78.1,75
1778419077,25,11234,56,34.59,0,2.50,11.6,77.8,75
1778419078,30,11234,56,34.19,0,2.50,12.7,77.8,75
1778419080,38,11234,56,34.18,0,2.46,32.5,77.9,75
1778419082,31,11234,56,34.01,0,2.46,12.6,77.8,75
1778419084,33,11234,56,33.92,0,2.46,11.4,77.8,75
1778419086,36,11234,56,33.73,0,2.34,14.2,77.9,75
1778419087,37,11234,56,34.06,0,2.34,11.5,77.6,75
1778419089,42,11234,56,33.45,0,2.23,16.6,77.9,75
1778419091,38,11234,56,33.86,0,2.23,14.8,77.9,75
1778419093,40,11234,56,33.84,0,2.23,15.2,77.8,75
1778419095,40,11234,56,33.72,0,2.21,11.1,77.9,75
1778419098,36,11234,56,33.88,0,2.21,16.4,77.9,75
1778419099,34,11234,56,33.61,0,2.28,13.2,77.6,75
1778419101,38,11234,56,33.69,0,2.28,11.5,77.5,75
1778419103,37,11234,56,33.64,0,2.28,11.1,77.7,75
1778419105,41,11234,55,33.56,0,2.25,14.8,78.0,75
1778419107,40,11234,56,33.47,0,2.25,10.8,77.5,75
1778419109,39,11234,56,33.44,0,2.15,10.3,77.4,75
1778419111,39,11234,55,33.29,0,2.15,10.4,77.5,75
1778419113,40,11234,56,33.63,0,2.15,10.3,77.4,75
1778419115,96,11234,60,62.51,0,2.70,14.4,77.5,75
1778419116,12,11234,59,65.12,0,2.70,10.4,77.4,75
1778419118,15,11236,59,55.31,0,2.70,11.5,77.4,75
1778419120,23,11236,56,43.24,0,2.57,11.1,77.5,75
1778419122,15,11236,58,60.44,0,2.57,12.3,77.4,75
1778419124,74,11236,57,57.51,0,2.68,9.1,77.4,75
1778419126,12,11236,59,79.57,30,2.68,17.4,77.8,75
1778419128,28,11236,57,37.60,30,2.68,13.1,77.7,75
1778419130,15,11236,55,36.09,30,2.55,17.7,77.7,75
