ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778419135,30,11236,52,18.57,30,2.50,15.5,77.9,75
1778419137,4,1394,52,34.81,30,2.50,17.5,78.0,75
1778419139,31,11356,53,52.48,30,3.26,23.1,78.3,75
1778419141,30,11356,52,36.49,30,3.26,13.5,78.1,75
1778419143,96,11360,56,43.10,30,3.26,11.3,78.2,75
1778419144,21,11360,53,76.41,30,3.08,23.2,78.0,75
1778419146,41,11360,51,43.78,30,3.08,12.6,77.9,75
1778419148,42,11360,50,43.62,30,3.08,13.4,77.9,75
1778419150,41,11360,50,42.55,30,3.23,13.1,78.0,75
1778419152,43,11360,49,42.03,30,3.23,11.8,77.9,75
1778419154,31,11360,49,41.54,30,3.23,12.8,77.9,75
1778419155,30,11360,48,40.72,30,2.97,24.7,78.0,75
1778419157,43,11187,49,41.04,30,2.97,18.9,77.9,75
1778419159,26,11360,48,55.26,30,2.97,11.2,77.9,75
1778419161,22,11360,48,55.85,30,2.90,11.8,78.1,75
1778419163,24,11360,48,55.88,30,2.90,11.5,78.0,75
1778419164,34,11360,48,49.10,30,2.90,12.7,78.1,75
1778419166,32,11360,47,42.40,30,2.90,11.0,78.1,75
1778419168,41,11360,46,42.31,30,2.90,12.8,78.0,75
1778419170,31,11360,46,41.79,30,3.15,11.7,78.1,75
1778419171,39,11360,47,41.96,30,3.15,10.3,78.0,75
1778419173,42,11360,46,41.76,0,3.15,11.4,78.0,75
1778419175,43,11360,45,40.63,0,3.14,10.6,78.1,75
1778419177,43,11360,46,40.95,0,3.14,10.5,78.0,75
1778419178,41,11360,46,40.58,0,3.14,11.2,78.0,75
1778419180,7,1388,45,32.21,0,2.97,11.4,78.0,75
1778419182,3,11224,46,45.70,0,2.97,12.1,77.9,75
1778419184,24,11224,46,34.03,0,2.97,11.4,77.9,75
1778419186,31,11226,46,35.31,0,2.81,12.5,77.9,75
1778419187,44,11226,48,47.13,0,2.81,12.7,77.7,75
1778419189,49,11226,49,74.93,0,2.81,11.1,77.7,75
1778419191,15,11234,49,68.86,0,2.67,12.3,77.9,75
1778419193,26,11234,47,52.29,0,2.67,10.8,77.8,75
1778419194,27,11234,47,32.93,0,2.53,11.5,77.9,75
1778419196,34,11234,47,32.72,0,2.53,12.5,77.8,75
1778419198,34,11234,47,32.27,0,2.53,9.1,77.8,75
1778419200,41,11234,47,32.30,0,2.49,9.6,77.9,75
1778419202,39,11234,47,31.81,0,2.49,18.9,77.8,75
1778419203,33,11234,47,31.75,0,2.69,11.5,77.8,75
1778419206,35,11234,47,31.70,0,2.69,10.7,77.8,75
1778419208,23,11234,47,31.34,0,2.69,9.6,77.6,75
1778419209,84,11234,50,62.12,0,3.19,11.7,77.9,75
1778419211,14,11236,50,71.71,0,3.19,9.1,77.8,75
1778419213,11,11236,50,65.87,0,3.19,9.1,77.8,75
1778419215,11,11236,52,65.29,0,3.26,9.4,77.8,75
1778419217,24,11236,49,46.51,0,3.26,11.1,77.8,75
1778419218,24,11236,49,32.48,0,3.26,11.0,77.7,75
1778419221,30,11236,49,32.41,0,3.16,11.2,77.8,75
1778419222,32,11236,48,31.81,0,3.16,9.5,77.7,75
1778419224,37,11236,48,31.61,0,3.16,11.8,77.8,75
1778419226,39,11236,49,31.71,0,2.98,10.4,77.9,75
1778419228,39,11236,49,31.49,0,2.98,14.8,77.8,75
1778419229,37,11236,49,31.81,0,2.91,12.3,77.9,75
1778419231,37,11236,49,31.66,0,2.91,11.4,77.9,75
1778419233,37,11236,49,31.24,0,2.91,11.3,77.8,75
1778419235,88,11236,53,63.92,0,3.15,9.3,77.9,75
1778419236,15,11236,52,61.13,0,3.15,10.9,77.8,75
1778419238,23,11236,50,33.21,0,3.15,10.8,77.8,75
1778419240,29,11236,49,32.09,0,3.06,10.2,77.2,75
1778419242,31,11236,50,31.94,0,3.06,11.8,77.1,75
1778419243,36,11236,49,31.48,0,3.06,12.9,77.1,75
1778419245,31,11236,50,31.30,0,2.98,10.6,77.2,75
