ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778419305,33,11236,51,16.44,0,2.44,10.6,77.2,75
1778419306,25,9326,51,35.03,0,2.44,10.9,77.1,75
1778419308,29,10632,53,52.96,0,2.44,11.2,77.1,75
1778419310,96,10638,63,113.70,0,2.33,10.4,77.2,75
1778419312,97,10638,65,212.86,30,2.33,9.8,77.1,75
1778419313,97,10638,66,211.85,30,2.33,11.5,77.1,75
1778419315,96,10638,67,212.49,30,2.22,13.1,77.2,75
1778419317,96,10638,67,213.03,30,2.22,16.2,77.1,75
1778419319,96,10638,67,213.42,35,2.22,9.6,77.0,75
1778419320,95,10638,67,213.79,39,2.28,10.5,77.1,75
1778419322,97,10638,67,214.49,41,2.28,10.4,77.1,75
1778419324,96,10638,67,214.25,43,2.28,9.1,77.0,75
1778419325,96,10638,67,214.54,44,3.06,10.4,77.0,75
1778419327,97,10638,67,214.59,44,3.06,13.9,77.1,75
1778419329,97,10638,67,214.66,45,3.06,10.0,77.1,75
1778419331,97,10638,67,214.63,45,2.89,11.6,77.0,75
1778419332,97,10638,67,214.68,45,2.89,10.7,77.1,75
1778419334,97,10638,67,214.22,45,2.89,9.7,77.0,75
1778419336,97,10638,67,214.77,45,2.90,9.4,77.1,75
1778419337,97,10638,67,214.61,45,2.90,13.7,77.1,75
1778419339,97,10638,67,215.15,45,2.90,9.6,77.0,75
1778419341,96,10638,67,214.94,45,2.83,9.6,77.0,75
1778419343,95,10638,67,214.78,45,2.83,9.8,77.0,75
1778419344,96,10638,67,214.19,45,2.68,11.3,77.1,75
1778419346,97,10638,66,215.16,45,2.68,9.9,77.0,75
1778419348,96,10638,67,214.55,45,2.68,9.9,77.0,75
1778419350,97,10638,67,215.13,45,2.55,10.4,77.1,75
1778419351,96,10638,67,214.99,45,2.55,11.3,77.1,75
1778419353,97,10638,67,214.76,45,2.55,10.7,77.1,75
1778419355,97,10638,67,215.21,45,2.58,10.9,77.2,75
1778419357,97,10638,66,215.20,45,2.58,10.1,77.1,75
1778419359,96,10638,66,215.25,45,2.58,10.5,77.1,75
1778419361,97,10638,67,215.33,46,2.62,11.8,77.1,75
1778419362,97,10638,66,215.67,45,2.62,9.4,77.0,75
1778419364,96,10638,67,215.98,45,2.57,10.1,77.2,75
1778419366,96,10638,67,215.24,46,2.57,11.1,77.1,75
1778419368,97,10638,67,215.28,45,2.57,9.3,77.1,75
1778419370,96,10638,67,215.13,46,2.60,11.1,77.3,75
1778419372,97,10638,67,215.73,46,2.60,10.8,77.2,75
1778419373,97,10638,67,215.41,46,2.60,10.9,77.1,75
1778419375,96,10638,67,215.72,45,2.63,10.7,77.3,75
1778419377,96,10638,66,215.19,46,2.63,11.7,77.1,75
1778419379,96,10638,67,215.26,46,2.63,11.2,77.1,75
1778419380,96,10638,67,214.85,46,2.74,12.1,77.2,75
1778419382,97,10638,67,215.17,46,2.74,11.4,77.1,75
1778419384,97,10638,66,215.34,46,2.74,12.5,77.1,75
1778419385,97,10638,67,215.25,46,2.92,15.7,77.3,75
1778419387,97,10638,67,215.37,46,2.92,12.0,77.2,75
1778419389,97,10638,67,215.50,46,2.92,10.8,77.2,75
1778419391,97,10638,66,213.18,46,2.69,11.4,77.1,75
1778419392,96,10638,66,208.58,46,2.69,9.5,77.1,75
1778419394,97,10638,66,209.13,46,2.69,12.6,77.1,75
1778419396,97,10638,66,208.67,46,2.55,17.5,77.1,75
1778419397,97,10638,66,208.77,46,2.55,10.6,77.1,75
1778419399,96,10638,66,208.71,46,2.55,11.8,77.2,75
1778419401,96,10638,66,208.44,46,2.43,10.8,77.0,75
1778419403,96,10638,66,208.97,46,2.43,11.4,77.0,75
1778419405,97,10638,66,208.80,46,2.47,16.4,77.0,75
1778419407,96,10638,66,207.85,46,2.47,9.8,76.9,75
1778419409,97,10638,66,208.20,46,2.47,11.5,76.8,75
1778419410,97,10638,66,208.32,46,2.52,12.0,76.9,75
1778419412,97,10638,66,208.89,46,2.52,10.1,76.8,75
1778419414,97,10638,66,208.21,46,2.52,10.2,76.8,75
1778419416,97,10638,66,208.59,46,2.80,10.2,76.8,75
1778419417,97,10638,66,208.48,46,2.80,9.8,76.8,75
1778419419,97,10638,66,208.67,46,2.80,9.6,76.8,75
1778419421,97,10638,66,208.79,46,2.73,9.3,76.8,75
1778419423,97,10638,66,208.82,46,2.73,9.2,76.8,75
1778419424,97,10638,66,208.39,46,2.59,11.2,76.9,75
1778419426,97,10638,66,208.83,46,2.59,9.8,76.8,75
