ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778419712,24,10652,49,15.68,40,4.99,22.5,80.4,75
1778419714,24,10652,49,15.32,36,4.99,58.5,80.6,75
1778419716,4,1372,49,22.82,32,4.83,18.0,80.8,75
1778419717,3,9040,49,45.94,30,4.83,16.1,80.6,75
1778419719,17,9040,48,35.02,30,4.83,14.6,80.6,75
1778419721,16,9040,48,34.66,30,4.77,14.7,80.7,75
1778419723,7,9040,47,29.48,30,4.77,15.2,80.6,75
1778419724,24,9040,46,17.96,30,4.47,14.6,80.7,75
1778419726,63,10756,46,17.94,30,4.47,15.2,80.6,75
1778419728,23,10756,49,85.14,30,4.47,15.5,80.6,75
1778419730,41,10756,47,60.49,30,4.59,15.8,80.8,75
1778419732,44,10756,47,43.33,30,4.59,12.3,80.5,75
1778419734,12,10756,47,54.66,30,5.66,19.1,80.6,75
1778419737,20,10756,48,41.41,30,5.66,18.5,80.5,75
1778419739,9,10756,48,41.94,30,5.66,19.5,80.5,75
1778419741,24,10756,46,49.87,30,8.73,31.6,80.6,75
1778419742,9,10756,46,44.62,30,8.73,17.6,80.6,75
1778419744,13,10756,46,40.18,30,8.73,15.9,81.6,75
1778419746,13,10756,46,41.15,30,8.51,15.5,81.3,75
1778419748,23,10756,45,47.70,30,8.51,15.4,81.3,75
1778419750,39,10756,45,48.72,30,8.87,15.1,81.4,75
1778419752,38,10756,45,42.30,30,8.87,15.3,81.3,75
1778419754,23,10756,46,45.79,30,8.87,15.2,81.3,75
